quantidade,sexo,faixaEtaria
2,Masculino,25 a 29 anos
1,Feminino,25 a 29 anos
8,Masculino,30 a 34 anos
1,Feminino,30 a 34 anos
5,Masculino,35 a 39 anos
7,Masculino,40 a 44 anos
2,Feminino,40 a 44 anos
6,Masculino,45 a 49 anos
1,Feminino,45 a 49 anos
13,Masculino,50 a 54 anos
2,Feminino,50 a 54 anos
3,Masculino,55 a 59 anos
6,Feminino,55 a 59 anos
13,Masculino,60 a 64 anos
5,Feminino,60 a 64 anos
15,Masculino,65 a 69 anos
8,Feminino,65 a 69 anos
9,Masculino,70 a 74 anos
2,Feminino,70 a 74 anos
4,Masculino,75 a 79 anos
8,Feminino,75 a 79 anos
4,Masculino,80 anos ou mais
15,Feminino,80 anos ou mais
