Data,faixaEtaria,sexo,quantidadeObitos
2020-04-05,70 a 74 anos,Feminino,3
2020-04-05,75 a 79 anos,Masculino,6
2020-04-05,75 a 79 anos,Feminino,5
2020-04-05,80 anos ou mais,Masculino,5
2020-04-05,80 anos ou mais,Feminino,8
2020-04-06,0 a 4 anos,Masculino,1
2020-04-06,0 a 4 anos,Feminino,1
2020-04-06,30 a 34 anos,Masculino,1
2020-04-06,35 a 39 anos,Masculino,1
2020-04-06,40 a 44 anos,Masculino,3
2020-04-06,40 a 44 anos,Feminino,2
2020-04-06,45 a 49 anos,Masculino,3
2020-04-06,50 a 54 anos,Masculino,1
2020-04-06,50 a 54 anos,Feminino,1
2020-04-06,60 a 64 anos,Masculino,2
2020-04-06,60 a 64 anos,Feminino,5
2020-04-06,65 a 69 anos,Masculino,1
2020-04-06,65 a 69 anos,Feminino,2
2020-04-06,70 a 74 anos,Masculino,6
2020-04-06,70 a 74 anos,Feminino,4
2020-04-06,75 a 79 anos,Masculino,7
2020-04-06,75 a 79 anos,Feminino,5
2020-04-06,80 anos ou mais,Masculino,7
2020-04-06,80 anos ou mais,Feminino,9
2020-04-07,0 a 4 anos,Masculino,1
2020-04-07,0 a 4 anos,Feminino,1
2020-04-07,30 a 34 anos,Masculino,1
2020-04-07,35 a 39 anos,Masculino,1
2020-04-07,40 a 44 anos,Masculino,4
2020-04-07,40 a 44 anos,Feminino,2
2020-04-07,45 a 49 anos,Masculino,3
2020-04-07,50 a 54 anos,Masculino,1
2020-04-07,50 a 54 anos,Feminino,1
2020-04-07,60 a 64 anos,Masculino,2
2020-04-07,60 a 64 anos,Feminino,5
2020-04-07,65 a 69 anos,Masculino,1
2020-04-07,65 a 69 anos,Feminino,2
2020-04-07,70 a 74 anos,Masculino,7
2020-04-07,70 a 74 anos,Feminino,6
2020-04-07,75 a 79 anos,Masculino,8
2020-04-07,75 a 79 anos,Feminino,5
2020-04-07,80 anos ou mais,Masculino,8
2020-04-07,80 anos ou mais,Feminino,9
2020-04-08,0 a 4 anos,Masculino,1
2020-04-08,0 a 4 anos,Feminino,1
2020-04-08,30 a 34 anos,Masculino,1
2020-04-08,35 a 39 anos,Masculino,1
2020-04-08,40 a 44 anos,Masculino,4
2020-04-08,40 a 44 anos,Feminino,2
2020-04-08,45 a 49 anos,Masculino,3
2020-04-08,50 a 54 anos,Masculino,2
2020-04-08,50 a 54 anos,Feminino,1
2020-04-08,55 a 59 anos,Feminino,1
2020-04-08,60 a 64 anos,Masculino,2
2020-04-08,60 a 64 anos,Feminino,5
2020-04-08,65 a 69 anos,Masculino,2
2020-04-08,65 a 69 anos,Feminino,3
2020-04-08,70 a 74 anos,Masculino,7
2020-04-08,70 a 74 anos,Feminino,6
2020-04-08,75 a 79 anos,Masculino,8
2020-04-08,75 a 79 anos,Feminino,5
2020-04-08,80 anos ou mais,Masculino,10
2020-04-08,80 anos ou mais,Feminino,9
2020-04-09,0 a 4 anos,Masculino,1
2020-04-09,0 a 4 anos,Feminino,1
2020-04-09,25 a 29 anos,Masculino,1
2020-04-09,30 a 34 anos,Masculino,1
2020-04-09,30 a 34 anos,Feminino,1
2020-04-09,35 a 39 anos,Masculino,1
2020-04-09,40 a 44 anos,Masculino,4
2020-04-09,40 a 44 anos,Feminino,2
2020-04-09,45 a 49 anos,Masculino,3
2020-04-09,45 a 49 anos,Feminino,1
2020-04-09,50 a 54 anos,Masculino,2
2020-04-09,50 a 54 anos,Feminino,1
2020-04-09,55 a 59 anos,Masculino,1
2020-04-09,55 a 59 anos,Feminino,1
2020-04-09,60 a 64 anos,Masculino,2
2020-04-09,60 a 64 anos,Feminino,5
2020-04-09,65 a 69 anos,Masculino,2
2020-04-09,65 a 69 anos,Feminino,3
2020-04-09,70 a 74 anos,Masculino,7
2020-04-09,70 a 74 anos,Feminino,6
2020-04-09,75 a 79 anos,Masculino,8
2020-04-09,75 a 79 anos,Feminino,5
2020-04-09,80 anos ou mais,Masculino,11
2020-04-09,80 anos ou mais,Feminino,12
2020-04-10,0 a 4 anos,Masculino,1
2020-04-10,0 a 4 anos,Feminino,1
