Data,faixaEtaria,quantidadeObitos,sexo
2020-04-06,35 a 39 anos,1,Masculino
2020-04-06,40 a 44 anos,2,Masculino
2020-04-06,40 a 44 anos,2,Feminino
2020-04-06,45 a 49 anos,3,Masculino
2020-04-06,50 a 54 anos,1,Masculino
2020-04-06,60 a 64 anos,2,Masculino
2020-04-06,60 a 64 anos,5,Feminino
2020-04-06,65 a 69 anos,1,Masculino
2020-04-06,65 a 69 anos,2,Feminino
2020-04-06,70 a 74 anos,5,Masculino
2020-04-06,70 a 74 anos,3,Feminino
2020-04-06,75 a 79 anos,7,Masculino
2020-04-06,75 a 79 anos,5,Feminino
2020-04-06,80 anos ou mais,7,Masculino
2020-04-06,80 anos ou mais,9,Feminino
2020-04-07,0 a 4 anos,1,Masculino
2020-04-07,0 a 4 anos,1,Feminino
2020-04-07,30 a 34 anos,1,Masculino
2020-04-07,35 a 39 anos,1,Masculino
2020-04-07,40 a 44 anos,3,Masculino
2020-04-07,40 a 44 anos,2,Feminino
2020-04-07,45 a 49 anos,3,Masculino
2020-04-07,50 a 54 anos,1,Masculino
2020-04-07,60 a 64 anos,2,Masculino
2020-04-07,60 a 64 anos,5,Feminino
2020-04-07,65 a 69 anos,1,Masculino
2020-04-07,65 a 69 anos,2,Feminino
2020-04-07,70 a 74 anos,6,Masculino
2020-04-07,70 a 74 anos,5,Feminino
2020-04-07,75 a 79 anos,8,Masculino
2020-04-07,75 a 79 anos,5,Feminino
2020-04-07,80 anos ou mais,8,Masculino
2020-04-07,80 anos ou mais,9,Feminino
2020-04-08,0 a 4 anos,1,Masculino
2020-04-08,0 a 4 anos,1,Feminino
2020-04-08,30 a 34 anos,1,Masculino
2020-04-08,35 a 39 anos,1,Masculino
2020-04-08,40 a 44 anos,3,Masculino
2020-04-08,40 a 44 anos,2,Feminino
2020-04-08,45 a 49 anos,3,Masculino
2020-04-08,50 a 54 anos,2,Masculino
2020-04-08,55 a 59 anos,1,Feminino
2020-04-08,60 a 64 anos,2,Masculino
2020-04-08,60 a 64 anos,5,Feminino
2020-04-08,65 a 69 anos,2,Masculino
2020-04-08,65 a 69 anos,3,Feminino
2020-04-08,70 a 74 anos,6,Masculino
2020-04-08,70 a 74 anos,5,Feminino
2020-04-08,75 a 79 anos,8,Masculino
2020-04-08,75 a 79 anos,5,Feminino
2020-04-08,80 anos ou mais,10,Masculino
2020-04-08,80 anos ou mais,9,Feminino
2020-04-09,0 a 4 anos,1,Masculino
2020-04-09,0 a 4 anos,1,Feminino
2020-04-09,25 a 29 anos,1,Masculino
2020-04-09,30 a 34 anos,1,Masculino
