Data,idMunicipio,municipio,qtdConfirmado,tipo,Obitos
2020-03-30,230220,BEBERIBE,1,Confirmado,0
2020-03-30,230370,CAUCAIA,1,Confirmado,0
2020-03-30,230440,FORTALEZA,411,Confirmado,13
2020-03-30,230445,FORTIM,1,Confirmado,0
2020-03-30,230730,JUAZEIRO DO NORTE,1,Confirmado,0
2020-03-30,230765,MARACANAU,3,Confirmado,0
2020-03-30,230810,MAURITI,1,Confirmado,0
2020-03-30,231130,QUIXADA,2,Confirmado,0
2020-03-30,231220,SANTA QUITERIA,1,Confirmado,1
2020-03-30,231290,SOBRAL,5,Confirmado,0
2020-03-30,231340,TIANGUA,1,Confirmado,1
2020-03-31,230100.0,AQUIRAZ,13,Confirmado,0
2020-03-31,230220.0,BEBERIBE,1,Confirmado,0
2020-03-31,230370.0,CAUCAIA,1,Confirmado,0
2020-03-31,230440.0,FORTALEZA,437,Confirmado,14
2020-03-31,230445.0,FORTIM,1,Confirmado,0
2020-03-31,230625.0,ITAITINGA,1,Confirmado,0
2020-03-31,230730.0,JUAZEIRO DO NORTE,1,Confirmado,0
2020-03-31,230765.0,MARACANAU,4,Confirmado,0
2020-03-31,230810.0,MAURITI,1,Confirmado,0
2020-03-31,230970.0,PACATUBA,1,Confirmado,0
2020-03-31,231130.0,QUIXADA,2,Confirmado,0
2020-03-31,231220.0,SANTA QUITERIA,1,Confirmado,1
2020-03-31,231290.0,SOBRAL,5,Confirmado,0
2020-03-31,231340.0,TIANGUA,1,Confirmado,1
2020-03-31,,Sem informação,1,Confirmado,0
2020-04-01,230100.0,AQUIRAZ,13,Confirmado,0
2020-04-01,230220.0,BEBERIBE,1,Confirmado,0
2020-04-01,230370.0,CAUCAIA,1,Confirmado,0
2020-04-01,230440.0,FORTALEZA,494,Confirmado,15
2020-04-01,230445.0,FORTIM,1,Confirmado,0
2020-04-01,230540.0,ICO,2,Confirmado,0
2020-04-01,230625.0,ITAITINGA,1,Confirmado,0
2020-04-01,230640.0,ITAPIPOCA,1,Confirmado,0
2020-04-01,230730.0,JUAZEIRO DO NORTE,1,Confirmado,0
2020-04-01,230765.0,MARACANAU,5,Confirmado,0
2020-04-01,230810.0,MAURITI,1,Confirmado,0
2020-04-01,230970.0,PACATUBA,1,Confirmado,0
2020-04-01,231130.0,QUIXADA,2,Confirmado,0
2020-04-01,231220.0,SANTA QUITERIA,1,Confirmado,1
2020-04-01,231290.0,SOBRAL,5,Confirmado,0
2020-04-01,231340.0,TIANGUA,1,Confirmado,1
2020-04-01,,Sem informação,1,Confirmado,0
2020-04-02,230100.0,AQUIRAZ,17,Confirmado,0
2020-04-02,230220.0,BEBERIBE,1,Confirmado,0
2020-04-02,230280.0,CANINDE,1,Confirmado,0
2020-04-02,230330.0,CARIUS,1,Confirmado,0
2020-04-02,230370.0,CAUCAIA,4,Confirmado,0
2020-04-02,230440.0,FORTALEZA,606,Confirmado,21
2020-04-02,230445.0,FORTIM,1,Confirmado,0
2020-04-02,230540.0,ICO,2,Confirmado,0
2020-04-02,230625.0,ITAITINGA,2,Confirmado,0
2020-04-02,230630.0,ITAPAJE,1,Confirmado,0
2020-04-02,230640.0,ITAPIPOCA,1,Confirmado,0
2020-04-02,230690.0,JAGUARIBE,1,Confirmado,1
2020-04-02,230730.0,JUAZEIRO DO NORTE,1,Confirmado,0
2020-04-02,230765.0,MARACANAU,12,Confirmado,1
2020-04-02,230770.0,MARANGUAPE,1,Confirmado,0
2020-04-02,230810.0,MAURITI,1,Confirmado,0
2020-04-02,230970.0,PACATUBA,1,Confirmado,0
2020-04-02,231130.0,QUIXADA,2,Confirmado,0
2020-04-02,231220.0,SANTA QUITERIA,1,Confirmado,1
2020-04-02,231290.0,SOBRAL,5,Confirmado,0
2020-04-02,231340.0,TIANGUA,1,Confirmado,1
2020-04-02,,Sem informação,1,Confirmado,0
2020-04-03,230100.0,AQUIRAZ,19,Confirmado,0
2020-04-03,230220.0,BEBERIBE,1,Confirmado,0
2020-04-03,230280.0,CANINDE,1,Confirmado,0
2020-04-03,230330.0,CARIUS,1,Confirmado,0
2020-04-03,230370.0,CAUCAIA,5,Confirmado,0
2020-04-03,230430.0,FARIAS BRITO,1,Confirmado,1
2020-04-03,230440.0,FORTALEZA,696,Confirmado,27
2020-04-03,230445.0,FORTIM,1,Confirmado,0
2020-04-03,230540.0,ICO,2,Confirmado,0
2020-04-03,230565.0,IPAPORANGA,1,Confirmado,0
2020-04-03,230625.0,ITAITINGA,2,Confirmado,0
2020-04-03,230630.0,ITAPAJE,1,Confirmado,0
2020-04-03,230640.0,ITAPIPOCA,1,Confirmado,0
2020-04-03,230690.0,JAGUARIBE,1,Confirmado,1
2020-04-03,230730.0,JUAZEIRO DO NORTE,1,Confirmado,0
2020-04-03,230765.0,MARACANAU,14,Confirmado,1
2020-04-03,230770.0,MARANGUAPE,1,Confirmado,0
2020-04-03,230810.0,MAURITI,1,Confirmado,0
2020-04-03,230970.0,PACATUBA,1,Confirmado,0
2020-04-03,231130.0,QUIXADA,2,Confirmado,0
2020-04-03,231220.0,SANTA QUITERIA,1,Confirmado,1
2020-04-03,231290.0,SOBRAL,5,Confirmado,0
2020-04-03,231340.0,TIANGUA,1,Confirmado,1
2020-04-03,,Sem informação,5,Confirmado,0
2020-04-04,230100.0,AQUIRAZ,19,Confirmado,0
2020-04-04,230220.0,BEBERIBE,1,Confirmado,0
2020-04-04,230280.0,CANINDE,1,Confirmado,0
2020-04-04,230330.0,CARIUS,1,Confirmado,1
2020-04-04,230370.0,CAUCAIA,5,Confirmado,0
2020-04-04,230430.0,FARIAS BRITO,1,Confirmado,1
2020-04-04,230440.0,FORTALEZA,764,Confirmado,31
2020-04-04,230445.0,FORTIM,1,Confirmado,0
2020-04-04,230523.0,HORIZONTE,4,Confirmado,0
2020-04-04,230540.0,ICO,2,Confirmado,0
2020-04-04,230565.0,IPAPORANGA,1,Confirmado,0
2020-04-04,230625.0,ITAITINGA,2,Confirmado,0
2020-04-04,230630.0,ITAPAJE,1,Confirmado,0
2020-04-04,230640.0,ITAPIPOCA,1,Confirmado,0
2020-04-04,230690.0,JAGUARIBE,1,Confirmado,1
2020-04-04,230730.0,JUAZEIRO DO NORTE,1,Confirmado,0
2020-04-04,230765.0,MARACANAU,14,Confirmado,1
2020-04-04,230770.0,MARANGUAPE,1,Confirmado,0
2020-04-04,230810.0,MAURITI,1,Confirmado,0
2020-04-04,230970.0,PACATUBA,1,Confirmado,0
2020-04-04,231130.0,QUIXADA,2,Confirmado,0
2020-04-04,231220.0,SANTA QUITERIA,1,Confirmado,1
2020-04-04,231290.0,SOBRAL,5,Confirmado,0
2020-04-04,231340.0,TIANGUA,1,Confirmado,1
2020-04-04,,Sem informação,5,Confirmado,0
2020-04-05,230100.0,AQUIRAZ,19,Confirmado,0
2020-04-05,230220.0,BEBERIBE,1,Confirmado,0
2020-04-05,230280.0,CANINDE,1,Confirmado,0
2020-04-05,230330.0,CARIUS,1,Confirmado,1
2020-04-05,230370.0,CAUCAIA,8,Confirmado,0
2020-04-05,230430.0,FARIAS BRITO,1,Confirmado,1
2020-04-05,230440.0,FORTALEZA,916,Confirmado,34
2020-04-05,230445.0,FORTIM,1,Confirmado,0
2020-04-05,230523.0,HORIZONTE,6,Confirmado,0
2020-04-05,230540.0,ICO,2,Confirmado,0
2020-04-05,230550.0,IGUATU,2,Confirmado,1
2020-04-05,230565.0,IPAPORANGA,1,Confirmado,0
2020-04-05,230590.0,IPUEIRAS,1,Confirmado,0
2020-04-05,230625.0,ITAITINGA,2,Confirmado,0
2020-04-05,230630.0,ITAPAJE,1,Confirmado,0
2020-04-05,230640.0,ITAPIPOCA,1,Confirmado,0
2020-04-05,230690.0,JAGUARIBE,2,Confirmado,1
2020-04-05,230730.0,JUAZEIRO DO NORTE,3,Confirmado,0
2020-04-05,230760.0,LIMOEIRO DO NORTE,1,Confirmado,0
2020-04-05,230765.0,MARACANAU,14,Confirmado,1
2020-04-05,230770.0,MARANGUAPE,1,Confirmado,0
2020-04-05,230810.0,MAURITI,1,Confirmado,0
2020-04-05,230940.0,NOVO ORIENTE,2,Confirmado,0
2020-04-05,230970.0,PACATUBA,1,Confirmado,0
2020-04-05,231050.0,PEDRA BRANCA,1,Confirmado,0
2020-04-05,231085.0,PINDORETAMA,1,Confirmado,0
2020-04-05,231130.0,QUIXADA,4,Confirmado,0
2020-04-05,231140.0,QUIXERAMOBIM,1,Confirmado,0
2020-04-05,231220.0,SANTA QUITERIA,1,Confirmado,1
2020-04-05,231290.0,SOBRAL,7,Confirmado,0
2020-04-05,231340.0,TIANGUA,1,Confirmado,1
2020-04-05,,Sem informação,6,Confirmado,0
2020-04-06,230075.0,AMONTADA,1,Confirmado,0
2020-04-06,230100.0,AQUIRAZ,20,Confirmado,0
2020-04-06,230110.0,ARACATI,1,Confirmado,1
2020-04-06,230220.0,BEBERIBE,1,Confirmado,0
2020-04-06,230280.0,CANINDE,1,Confirmado,0
2020-04-06,230330.0,CARIUS,1,Confirmado,1
2020-04-06,230350.0,CASCAVEL,1,Confirmado,0
2020-04-06,230360.0,CATARINA,1,Confirmado,0
2020-04-06,230370.0,CAUCAIA,13,Confirmado,0
2020-04-06,230410.0,CRATEUS,1,Confirmado,0
2020-04-06,230423.0,CROATA,1,Confirmado,0
2020-04-06,230428.0,EUSEBIO,1,Confirmado,0
2020-04-06,230430.0,FARIAS BRITO,1,Confirmado,1
2020-04-06,230440.0,FORTALEZA,1000,Confirmado,39
2020-04-06,230445.0,FORTIM,1,Confirmado,0
2020-04-06,230500.0,GUARACIABA DO NORTE,1,Confirmado,0
2020-04-06,230523.0,HORIZONTE,6,Confirmado,0
2020-04-06,230540.0,ICO,3,Confirmado,0
2020-04-06,230550.0,IGUATU,2,Confirmado,1
2020-04-06,230565.0,IPAPORANGA,1,Confirmado,0
2020-04-06,230590.0,IPUEIRAS,1,Confirmado,0
2020-04-06,230625.0,ITAITINGA,3,Confirmado,1
2020-04-06,230630.0,ITAPAJE,1,Confirmado,0
2020-04-06,230640.0,ITAPIPOCA,1,Confirmado,0
2020-04-06,230690.0,JAGUARIBE,3,Confirmado,1
2020-04-06,230730.0,JUAZEIRO DO NORTE,3,Confirmado,0
2020-04-06,230750.0,LAVRAS DA MANGABEIRA,1,Confirmado,0
2020-04-06,230760.0,LIMOEIRO DO NORTE,1,Confirmado,0
2020-04-06,230765.0,MARACANAU,17,Confirmado,1
2020-04-06,230770.0,MARANGUAPE,2,Confirmado,0
2020-04-06,230810.0,MAURITI,1,Confirmado,0
2020-04-06,230940.0,NOVO ORIENTE,2,Confirmado,0
2020-04-06,230970.0,PACATUBA,2,Confirmado,0
2020-04-06,231050.0,PEDRA BRANCA,1,Confirmado,0
2020-04-06,231085.0,PINDORETAMA,1,Confirmado,0
2020-04-06,231130.0,QUIXADA,4,Confirmado,0
