Data,quantidade,faixaEtaria,sexo
2020-05-11,53,10 a 14 anos,Masculino
2020-05-11,48,10 a 14 anos,Feminino
2020-05-11,121,15 a 19 anos,Masculino
2020-05-11,120,15 a 19 anos,Feminino
2020-05-11,472,20 a 24 anos,Feminino
2020-05-11,313,20 a 24 anos,Masculino
2020-05-11,1,20 a 24 anos,Indefinido
2020-05-11,746,25 a 29 anos,Feminino
2020-05-11,600,25 a 29 anos,Masculino
2020-05-11,1,30 a 34 anos,Indefinido
2020-05-11,790,30 a 34 anos,Masculino
2020-05-11,997,30 a 34 anos,Feminino
2020-05-11,861,35 a 39 anos,Masculino
2020-05-11,1073,35 a 39 anos,Feminino
2020-05-11,1,35 a 39 anos,Indefinido
2020-05-11,959,40 a 44 anos,Feminino
2020-05-11,775,40 a 44 anos,Masculino
2020-05-11,730,45 a 49 anos,Masculino
2020-05-11,838,45 a 49 anos,Feminino
2020-05-11,786,50 a 54 anos,Feminino
2020-05-11,759,50 a 54 anos,Masculino
2020-05-11,601,55 a 59 anos,Feminino
2020-05-11,679,55 a 59 anos,Masculino
2020-05-11,629,60 a 64 anos,Masculino
2020-05-11,559,60 a 64 anos,Feminino
2020-05-11,519,65 a 69 anos,Masculino
2020-05-11,455,65 a 69 anos,Feminino
2020-05-11,399,70 a 74 anos,Feminino
2020-05-11,464,70 a 74 anos,Masculino
2020-05-11,320,75 a 79 anos,Feminino
2020-05-11,343,75 a 79 anos,Masculino
2020-05-11,1,80 ou mais,Indefinido
2020-05-11,42,05 a 09 anos,Feminino
2020-05-11,608,80 ou mais,Feminino
2020-05-11,24,Indefinido,Feminino
2020-05-11,146,00 a 04 anos,Masculino
2020-05-11,47,05 a 09 anos,Masculino
2020-05-11,550,80 ou mais,Masculino
2020-05-11,28,Indefinido,Masculino
2020-05-11,141,00 a 04 anos,Feminino
