Data,quantidade,faixaEtaria,sexo
2020-03-01,1,35 a 39 anos,Masculino
2020-03-02,1,35 a 39 anos,Masculino
2020-03-03,1,35 a 39 anos,Masculino
2020-03-04,1,35 a 39 anos,Masculino
2020-03-05,1,35 a 39 anos,Masculino
2020-03-06,1,35 a 39 anos,Masculino
2020-03-06,1,65 a 69 anos,Feminino
2020-03-07,1,35 a 39 anos,Masculino
2020-03-07,1,65 a 69 anos,Feminino
2020-03-08,1,35 a 39 anos,Masculino
2020-03-08,1,65 a 69 anos,Feminino
2020-03-09,1,25 a 29 anos,Feminino
2020-03-09,1,35 a 39 anos,Masculino
2020-03-09,1,65 a 69 anos,Feminino
2020-03-10,1,25 a 29 anos,Feminino
2020-03-10,1,35 a 39 anos,Masculino
2020-03-10,1,65 a 69 anos,Feminino
2020-03-10,1,80 anos ou mais,Feminino
2020-03-11,1,25 a 29 anos,Feminino
2020-03-11,1,30 a 34 anos,Feminino
2020-03-11,1,35 a 39 anos,Masculino
2020-03-11,1,35 a 39 anos,Masculino
2020-03-11,1,65 a 69 anos,Feminino
2020-03-11,1,75 a 79 anos,Masculino
2020-03-11,1,80 anos ou mais,Feminino
2020-03-12,1,25 a 29 anos,Feminino
2020-03-12,1,30 a 34 anos,Feminino
2020-03-12,1,35 a 39 anos,Masculino
2020-03-12,1,35 a 39 anos,Masculino
2020-03-12,1,40 a 44 anos,Feminino
2020-03-12,1,50 a 54 anos,Feminino
2020-03-12,1,65 a 69 anos,Feminino
2020-03-12,1,75 a 79 anos,Masculino
2020-03-12,1,80 anos ou mais,Feminino
2020-03-13,1,15 a 19 anos,Feminino
2020-03-13,1,25 a 29 anos,Feminino
2020-03-13,1,25 a 29 anos,Feminino
2020-03-13,1,30 a 34 anos,Feminino
2020-03-13,1,35 a 39 anos,Masculino
2020-03-13,3,35 a 39 anos,Masculino
2020-03-13,1,40 a 44 anos,Feminino
2020-03-13,2,50 a 54 anos,Feminino
2020-03-13,1,55 a 59 anos,Feminino
2020-03-13,1,55 a 59 anos,Masculino
2020-03-13,1,65 a 69 anos,Feminino
2020-03-13,1,75 a 79 anos,Feminino
2020-03-13,1,75 a 79 anos,Masculino
2020-03-13,1,80 anos ou mais,Feminino
2020-03-14,1,15 a 19 anos,Feminino
2020-03-14,1,25 a 29 anos,Feminino
2020-03-14,2,25 a 29 anos,Feminino
2020-03-14,1,30 a 34 anos,Feminino
2020-03-14,2,30 a 34 anos,Masculino
2020-03-14,2,35 a 39 anos,Feminino
2020-03-14,2,35 a 39 anos,Masculino
2020-03-14,3,35 a 39 anos,Masculino
2020-03-14,2,40 a 44 anos,Feminino
2020-03-14,1,40 a 44 anos,Masculino
2020-03-14,2,50 a 54 anos,Feminino
2020-03-14,1,55 a 59 anos,Feminino
2020-03-14,1,55 a 59 anos,Masculino
2020-03-14,1,55 a 59 anos,Masculino
2020-03-14,1,65 a 69 anos,Feminino
2020-03-14,1,70 a 74 anos,Feminino
2020-03-14,1,75 a 79 anos,Feminino
2020-03-14,1,75 a 79 anos,Masculino
2020-03-14,1,80 anos ou mais,Feminino
2020-03-15,1,0 a 4 anos,Masculino
2020-03-15,2,15 a 19 anos,Feminino
2020-03-15,1,25 a 29 anos,Feminino
2020-03-15,3,25 a 29 anos,Feminino
2020-03-15,1,30 a 34 anos,Feminino
2020-03-15,2,30 a 34 anos,Masculino
2020-03-15,2,35 a 39 anos,Feminino
2020-03-15,2,35 a 39 anos,Masculino
2020-03-15,3,35 a 39 anos,Masculino
2020-03-15,2,40 a 44 anos,Feminino
2020-03-15,1,40 a 44 anos,Masculino
2020-03-15,2,50 a 54 anos,Feminino
2020-03-15,2,50 a 54 anos,Masculino
2020-03-15,1,55 a 59 anos,Feminino
2020-03-15,1,55 a 59 anos,Masculino
2020-03-15,1,55 a 59 anos,Masculino
