Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1209,2,0.17,0.06,100,64.92,62.5,0,,,36.0,2,0,0
2020-03-25,1401,4,0.29,0.11,100,64.92,62.0,0,5.0,12.5,-9.0,4,0,0
2020-03-26,1577,7,0.44,0.19,85.71,64.92,83.0,0,5.0,-9.0,12.5,7,0,0
2020-03-27,1718,10,0.58,0.28,80,64.92,83.5,0,5.0,-1.5,8.33,9,1,0
2020-03-28,1816,12,0.66,0.33,83.33,64.92,77.5,0,5.0,8.33,-1.5,11,1,0
2020-03-29,1908,16,0.84,0.44,81.25,64.92,73.0,0,5.67,8.0,8.4,14,2,0
2020-03-30,2026,19,0.94,0.53,84.21,64.92,74.0,0,5.67,9.71,10.8,17,2,0
2020-03-31,2128,22,1.03,0.61,86.36,64.92,73.0,0,4.33,10.75,8.4,20,2,0
2020-04-01,2261,24,1.06,0.67,87.5,64.92,74.5,0,4.33,10.75,9.45,22,2,0
2020-04-02,2356,32,1.36,0.89,78.13,64.92,74.0,0,3.22,9.5,10.91,29,3,0
2020-04-03,2441,40,1.64,1.11,75,64.92,75.0,0,4.54,11.94,9.78,37,3,0
2020-04-04,2528,47,1.86,1.31,78.72,64.92,74.0,0,4.59,11.17,8.97,44,3,0
2020-04-05,2604,55,2.11,1.53,81.82,64.92,74.0,2,4.74,12.41,9.46,50,5,0
2020-04-06,2672,65,2.43,1.81,81.54,64.92,73.5,2,5.42,9.67,12.17,60,5,0
2020-04-07,2745,71,2.59,1.97,83.1,64.92,73.0,2,5.24,11.71,9.6,66,5,0
2020-04-08,2820,78,2.77,2.17,84.62,64.92,73.0,4,5.32,11.85,9.91,73,5,0
2020-04-09,2872,89,3.1,2.47,83.15,64.92,73.5,7,5.46,9.74,11.56,84,5,0
2020-04-10,2917,101,3.46,2.81,83.17,64.92,73.0,9,6.49,12.18,10.34,96,5,0
2020-04-11,2989,113,3.78,3.14,82.3,64.92,73.5,10,6.79,12.26,10.56,108,5,0
2020-04-12,3047,123,4.04,3.42,82.11,64.92,73.0,13,7.06,12.32,10.76,116,5,2
2020-04-13,3173,130,4.1,3.61,80,64.92,73.0,14,7.07,12.23,11.05,123,5,2
2020-04-14,3293,148,4.49,4.11,81.76,64.92,71.5,18,6.98,11.94,11.32,141,5,2
2020-04-15,3383,163,4.82,4.53,81.6,64.92,71.0,24,6.92,11.34,12.13,156,5,2
2020-04-16,3462,169,4.88,4.69,81.66,64.92,71.0,41,6.8100000000000005,12.0,11.58,162,5,2
2020-04-17,3478,184,5.29,5.11,80.98,64.92,71.0,49,6.49,11.86,11.8,177,5,2
2020-04-18,3481,191,5.49,5.31,80.63,64.92,71.0,56,6.5600000000000005,11.99,11.81,184,5,2
2020-04-19,3482,195,5.6,5.42,80.51,64.92,70.5,62,6.43,12.14,11.76,188,5,2
2020-04-20,3482,198,5.69,5.5,80.81,64.92,71.0,68,6.4,12.11,11.69,191,5,2
