Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1499,4,0.27,0.08,100,68.75,76.0,2,,36.0,11.0,2,1,1,0
2020-03-25,1688,6,0.36,0.12,100,68.75,75.5,2,,20.0,11.0,2,2,2,0
2020-03-26,1862,9,0.48,0.18,88.89,68.75,83.0,2,,11.0,20.0,4,2,3,0
2020-03-27,2004,12,0.6,0.24,83.33,68.75,83.5,2,6.0,9.67,11.0,4,3,5,0
2020-03-28,2115,14,0.66,0.27,85.71,68.75,77.5,2,6.0,9.67,11.0,5,3,6,0
2020-03-29,2214,18,0.81,0.35,83.33,68.75,73.0,2,4.5,9.0,11.83,7,4,7,0
2020-03-30,2357,22,0.93,0.43,81.82,68.75,75.5,2,4.5,9.42,13.0,10,4,8,0
2020-03-31,2477,25,1.01,0.49,84,68.75,74.0,2,4.5,8.6,12.22,11,4,10,0
2020-04-01,2680,27,1.01,0.53,85.19,68.75,75.0,2,4.5,12.22,9.31,12,4,11,0
2020-04-02,2829,36,1.27,0.71,75,68.75,74.5,2,3.38,9.13,13.31,16,6,13,1
2020-04-03,2953,45,1.52,0.88,71.11,68.75,75.0,2,4.85,9.42,13.37,18,6,20,1
2020-04-04,3111,52,1.67,1.02,75,68.75,74.0,2,5.0,12.63,8.84,18,6,27,1
2020-04-05,3267,60,1.84,1.18,78.33,68.75,74.0,4,5.16,13.72,9.3,18,8,33,1
2020-04-06,3465,72,2.08,1.41,79.17,68.75,74.0,4,5.65,13.53,9.36,21,9,41,1
2020-04-07,3677,79,2.15,1.55,81.01,68.75,73.0,4,5.72,9.23,12.92,24,9,45,1
2020-04-08,3928,87,2.21,1.71,82.76,68.75,73.0,4,5.8100000000000005,12.92,9.32,27,9,50,1
2020-04-09,4199,99,2.36,1.94,80.81,68.75,74.0,6,5.83,9.15,12.73,30,10,58,1
2020-04-10,4566,111,2.43,2.18,81.08,68.75,74.0,6,6.89,13.29,9.77,34,10,66,1
2020-04-11,4896,124,2.53,2.43,80.65,68.75,74.0,7,7.21,10.08,13.29,36,11,76,1
2020-04-12,5237,138,2.64,2.71,80.43,68.75,74.0,7,7.57,13.57,10.18,38,11,86,3
2020-04-13,5661,145,2.56,2.84,78.62,68.75,73.0,7,7.45,10.4,13.38,40,11,91,3
2020-04-14,6062,165,2.72,3.24,80,68.75,73.0,7,7.48,10.87,12.85,45,11,106,3
2020-04-15,6483,183,2.82,3.59,80.33,68.75,71.0,9,7.27,12.55,10.73,50,11,119,3
2020-04-16,6871,199,2.9,3.9,80.9,68.75,71.0,11,7.06,12.59,10.85,51,12,133,3
2020-04-17,7292,222,3.04,4.35,80.63,68.75,72.0,12,6.8,12.41,11.04,56,13,150,3
2020-04-18,7681,239,3.11,4.69,80.33,68.75,72.0,17,6.9,12.53,11.04,58,14,164,3
2020-04-19,8077,262,3.24,5.14,79.77,68.75,71.5,25,6.85,12.32,11.06,64,16,179,3
2020-04-20,8642,293,3.39,5.75,79.86,68.75,72.0,27,6.49,11.37,12.39,71,17,202,3
2020-04-21,8992,318,3.54,6.24,77.99,68.75,71.5,31,6.62,12.35,11.5,76,19,220,3
2020-04-22,9382,340,3.62,6.67,77.94,68.75,72.0,36,6.58,11.32,12.1,77,20,240,3
2020-04-23,9723,361,3.71,7.08,77.84,68.75,72.0,38,6.95,11.4,12.22,81,20,257,3
2020-04-24,10057,401,3.99,7.86,77.06,68.75,72.0,44,6.88,11.95,11.41,85,23,290,3
2020-04-25,10317,437,4.24,8.57,75.74,68.75,72.0,47,6.92,12.02,11.47,92,25,317,3
2020-04-26,10503,487,4.64,9.55,75.15,68.75,72.0,49,6.72,11.35,11.79,102,25,356,4
2020-04-27,10699,520,4.86,10.2,75.19,68.75,72.0,58,6.73,11.87,11.4,106,25,385,4
2020-04-28,10801,553,5.12,10.84,75.59,68.75,72.0,66,6.59,11.39,11.72,111,25,413,4
2020-04-29,10939,596,5.45,11.69,75.34,68.75,72.0,90,6.51,11.63,11.36,120,30,442,4
2020-04-30,11073,644,5.82,12.63,74.22,68.75,72.0,117,6.57,11.5,11.53,129,34,477,4
2020-05-01,11184,682,6.1,13.37,73.02,68.75,72.0,137,6.59,11.48,11.63,133,41,504,4
2020-05-02,11223,702,6.26,13.76,72.36,68.75,72.0,163,6.66,11.53,11.76,138,42,518,4
2020-05-03,11241,726,6.46,14.24,72.59,68.75,72.0,186,6.67,11.48,11.84,143,42,536,5
2020-05-04,11256,733,6.51,14.37,72.71,68.75,72.0,199,6.68,11.47,11.86,145,42,541,5
2020-05-05,11256,733,6.51,14.37,72.71,68.75,72.0,199,6.68,11.86,11.47,145,42,541,5
