Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1382,2,0.14,0.04,100,68.64,62.5,0,,6.0,,0,0,0
2020-03-25,1564,4,0.26,0.09,100,68.64,74.0,0,,5.0,,0,0,0
2020-03-26,1732,7,0.4,0.16,85.71,68.64,83.0,0,,,5.0,0,0,0
2020-03-27,1873,10,0.53,0.22,80,68.64,83.5,0,,6.0,4.25,0,0,0
2020-03-28,1978,12,0.61,0.27,83.33,68.64,77.5,0,,5.0,6.0,0,0,0
2020-03-29,2070,16,0.77,0.36,81.25,68.64,73.0,0,3.5,10.0,5.25,0,0,0
2020-03-30,2207,20,0.91,0.44,80,68.64,75.5,0,3.5,13.33,6.92,0,0,0
2020-03-31,2321,23,0.99,0.51,82.61,68.64,74.0,0,3.2,6.6,12.0,0,0,0
2020-04-01,2516,25,0.99,0.56,84,68.64,75.0,0,3.2,7.44,12.0,0,0,0
2020-04-02,2654,34,1.28,0.76,73.53,68.64,74.5,0,3.17,8.13,12.86,0,0,0
2020-04-03,2777,43,1.55,0.96,69.77,68.64,75.0,0,4.9,13.29,8.68,0,0,0
2020-04-04,2927,50,1.71,1.11,74,68.64,74.0,0,4.69,11.74,8.19,0,0,0
2020-04-05,3079,58,1.88,1.29,77.59,68.64,74.0,2,4.87,8.77,12.59,0,0,0
2020-04-06,3256,69,2.12,1.53,78.26,68.64,74.0,2,5.38,12.39,8.9,0,0,0
2020-04-07,3459,76,2.2,1.69,80.26,68.64,73.0,2,5.08,11.88,8.9,0,0,0
2020-04-08,3695,83,2.25,1.84,81.93,68.64,73.0,3,5.0,9.17,11.82,0,0,0
2020-04-09,3936,95,2.41,2.11,80,68.64,74.0,5,5.2,11.36,9.0,0,0,0
2020-04-10,4247,107,2.52,2.38,80.37,68.64,73.0,5,6.36,9.56,12.14,0,0,0
2020-04-11,4545,119,2.62,2.64,79.83,68.64,74.0,6,6.63,12.37,9.75,0,0,0
2020-04-12,4841,133,2.75,2.96,79.7,68.64,74.0,6,7.02,12.53,9.95,0,0,0
2020-04-13,5203,140,2.69,3.11,77.86,68.64,73.0,6,7.02,12.44,10.19,0,0,0
2020-04-14,5516,159,2.88,3.53,79.87,68.64,73.0,6,6.97,10.53,12.16,0,0,0
2020-04-15,5819,176,3.02,3.91,80.11,68.64,71.0,9,6.77,10.42,12.12,0,0,0
2020-04-16,6072,191,3.15,4.24,81.15,68.64,71.0,12,6.61,12.34,10.48,0,0,0
2020-04-17,6325,213,3.37,4.73,80.75,68.64,72.0,16,6.52,10.75,12.17,0,0,0
2020-04-18,6513,226,3.47,5.02,80.53,68.64,72.0,25,6.6,10.87,12.22,0,0,0
2020-04-19,6679,249,3.73,5.53,79.92,68.64,72.0,32,6.66,12.16,10.91,0,0,0
2020-04-20,6892,275,3.99,6.11,79.64,68.64,72.0,36,6.54,11.28,12.15,0,0,0
2020-04-21,7010,298,4.25,6.62,77.85,68.64,72.0,42,6.65,11.44,12.07,0,0,0
2020-04-22,7147,318,4.45,7.07,77.67,68.64,72.0,48,6.64,11.82,11.29,0,0,0
2020-04-23,7224,338,4.68,7.51,77.81,68.64,72.0,51,7.27,12.13,11.35,0,0,0
2020-04-24,7294,370,5.07,8.22,76.76,68.64,72.0,60,7.3,11.93,11.36,0,0,0
2020-04-25,7334,396,5.4,8.8,75.76,68.64,72.0,73,7.4,11.97,11.5,0,0,0
2020-04-26,7371,426,5.78,9.47,74.88,68.64,72.0,100,7.24,11.83,11.49,0,0,0
2020-04-27,7385,438,5.93,9.73,74.66,68.64,72.0,120,7.25,11.54,11.81,0,0,0
2020-04-28,7409,450,6.07,10,75.33,68.64,72.0,141,7.22,11.75,11.79,0,0,0
2020-04-29,7409,450,6.07,10,75.33,68.64,72.0,152,7.22,11.79,11.75,0,0,0
