Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1285,2,0.16,0.05,100,69.12,62.5,0,,36.0,,2,0,0
2020-03-25,1466,4,0.27,0.11,100,69.12,74.0,0,,12.5,,4,0,0
2020-03-26,1633,7,0.43,0.18,85.71,69.12,83.0,0,,,12.5,7,0,0
2020-03-27,1776,10,0.56,0.26,80,69.12,83.5,0,6,8,9,9,1,0
2020-03-28,1876,12,0.64,0.32,83.33,69.12,77.5,0,6,8,9,11,1,0
2020-03-29,1963,16,0.82,0.42,81.25,69.12,73.0,0,4.5,11.0,7.4,14,2,0
2020-03-30,2085,19,0.91,0.5,84.21,69.12,74.0,0,4.5,14.86,8.62,17,2,0
2020-03-31,2201,22,1,0.58,86.36,69.12,73.0,0,3.6,13.6,8.0,20,2,0
2020-04-01,2359,24,1.02,0.63,87.5,69.12,74.5,0,3.6,13.6,8.71,22,2,0
2020-04-02,2483,32,1.29,0.84,78.13,69.12,74.5,0,2.63,8.91,12.83,29,3,0
2020-04-03,2598,40,1.54,1.05,75,69.12,75.0,0,4.25,8.55,11.75,37,3,0
2020-04-04,2712,47,1.73,1.24,78.72,69.12,74.0,0,4.38,8.05,11.04,44,3,0
2020-04-05,2837,55,1.94,1.45,81.82,69.12,74.0,0,4.5600000000000005,8.59,12.0,50,5,0
2020-04-06,2979,66,2.22,1.74,81.82,69.12,74.0,0,5.3,11.84,8.74,61,5,0
2020-04-07,3128,73,2.33,1.92,83.56,69.12,73.0,0,5.14,8.57,11.18,68,5,0
2020-04-08,3277,80,2.44,2.11,85,69.12,73.0,1,5.24,11.37,9.01,75,5,0
2020-04-09,3426,91,2.66,2.39,83.52,69.12,74.0,3,4.86,10.76,8.71,86,5,0
2020-04-10,3560,103,2.89,2.71,83.5,69.12,73.0,5,5.95,9.19,11.42,98,5,0
2020-04-11,3669,115,3.13,3.03,82.61,69.12,74.0,6,6.31,11.52,9.46,110,5,0
2020-04-12,3754,127,3.38,3.34,82.68,69.12,74.0,7,6.52,9.73,11.73,120,5,2
2020-04-13,3863,134,3.47,3.53,80.6,69.12,73.0,8,6.57,9.95,11.72,127,5,2
2020-04-14,3937,153,3.89,4.03,82.35,69.12,73.0,10,6.7,11.35,10.39,146,5,2
2020-04-15,3999,169,4.23,4.45,82.84,69.12,71.0,13,6.46,11.22,10.2,162,5,2
2020-04-16,4047,179,4.42,4.71,83.24,69.12,71.0,22,6.31,10.45,11.41,172,5,2
2020-04-17,4090,195,4.77,5.13,83.08,69.12,72.0,28,6.19,11.29,10.76,188,5,2
2020-04-18,4101,204,4.97,5.37,82.84,69.12,71.5,36,6.22,11.0,11.24,197,5,2
2020-04-19,4102,217,5.29,5.71,81.57,69.12,72.0,47,6.25,11.11,11.22,210,5,2
2020-04-20,4111,227,5.52,5.97,81.94,69.12,72.0,59,6.15,11.21,11.38,220,5,2
2020-04-21,4113,237,5.76,6.24,81.01,69.12,72.0,70,6.09,11.19,11.53,230,5,2
2020-04-22,4116,239,5.81,6.29,81.17,69.12,72.0,74,6.09,11.57,11.19,232,5,2
