Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1199,2,0.17,0.06,100,64.8,62.5,0,,36.0,,2,0,0
2020-03-25,1388,4,0.29,0.11,100,64.8,62.0,0,5.0,12.5,-9.0,4,0,0
2020-03-26,1557,7,0.45,0.2,85.71,64.8,83.0,0,5.0,-9.0,12.5,7,0,0
2020-03-27,1697,10,0.59,0.29,80,64.8,83.5,0,5.0,8.33,-1.5,9,1,0
2020-03-28,1794,12,0.67,0.34,83.33,64.8,77.5,0,5.0,-1.5,8.33,11,1,0
2020-03-29,1885,16,0.85,0.46,81.25,64.8,73.0,0,5.67,8.0,8.4,14,2,0
2020-03-30,2000,19,0.95,0.54,84.21,64.8,74.0,0,5.67,9.71,10.8,17,2,0
2020-03-31,2097,22,1.05,0.63,86.36,64.8,73.0,0,4.33,10.75,8.4,20,2,0
2020-04-01,2221,24,1.08,0.69,87.5,64.8,74.5,0,4.33,9.45,10.75,22,2,0
2020-04-02,2316,32,1.38,0.91,78.13,64.8,73.0,0,3.22,9.0,10.91,29,3,0
2020-04-03,2394,40,1.67,1.14,75,64.8,74.5,0,4.54,9.45,11.94,37,3,0
2020-04-04,2471,47,1.9,1.34,78.72,64.8,74.0,0,4.59,8.68,11.17,44,3,0
2020-04-05,2537,55,2.17,1.57,81.82,64.8,74.0,2,4.74,12.41,9.24,50,5,0
2020-04-06,2597,65,2.5,1.86,81.54,64.8,73.0,4,5.42,12.17,9.49,60,5,0
2020-04-07,2661,71,2.67,2.03,83.1,64.8,73.0,4,5.24,9.45,11.71,66,5,0
2020-04-08,2728,77,2.82,2.2,84.42,64.8,73.0,7,5.32,11.72,9.83,72,5,0
2020-04-09,2774,87,3.14,2.49,82.76,64.8,73.0,10,5.46,11.44,9.63,82,5,0
2020-04-10,2814,99,3.52,2.83,82.83,64.8,72.0,12,6.49,10.27,12.08,94,5,0
2020-04-11,2880,111,3.85,3.17,81.98,64.8,73.0,13,6.79,12.18,10.41,106,5,0
2020-04-12,2934,121,4.12,3.46,81.82,64.8,73.0,16,7.06,12.03,10.49,114,5,2
2020-04-13,3050,128,4.2,3.66,79.69,64.8,72.0,17,7.07,11.95,10.81,121,5,2
2020-04-14,3160,146,4.62,4.17,81.51,64.8,71.0,21,6.98,11.69,11.12,139,5,2
2020-04-15,3216,159,4.94,4.54,81.76,64.8,71.0,29,6.92,11.16,11.91,152,5,2
2020-04-16,3236,165,5.1,4.71,81.82,64.8,71.0,47,6.8100000000000005,11.41,11.78,158,5,2
2020-04-17,3251,179,5.51,5.11,81.01,64.8,71.0,56,6.62,11.58,11.72,172,5,2
2020-04-18,3252,185,5.69,5.29,80.54,64.8,70.0,64,6.68,11.6,11.92,178,5,2
2020-04-19,3252,186,5.72,5.31,80.65,64.8,70.5,64,6.61,11.54,11.89,179,5,2
