Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1401,4,0.29,0.08,100,68.88,76.0,0,,36.0,11.0,0,0,0
2020-03-25,1590,6,0.38,0.12,100,68.88,75.5,0,,11.0,20.0,0,0,0
2020-03-26,1767,9,0.51,0.18,88.89,68.88,83.0,0,,20.0,11.0,0,0,0
2020-03-27,1909,12,0.63,0.24,83.33,68.88,83.5,0,6.0,11.75,9.67,0,0,0
2020-03-28,2017,14,0.69,0.28,85.71,68.88,77.5,0,6.0,11.75,9.67,0,0,0
2020-03-29,2115,18,0.85,0.36,83.33,68.88,73.0,0,4.5,9.14,12.0,0,0,0
2020-03-30,2254,22,0.98,0.44,81.82,68.88,75.5,0,4.5,13.33,9.6,0,0,0
2020-03-31,2372,25,1.05,0.5,84,68.88,74.0,0,4.5,12.38,8.62,0,0,0
2020-04-01,2575,27,1.05,0.54,85.19,68.88,75.0,0,4.5,9.43,12.38,0,0,0
2020-04-02,2718,36,1.32,0.72,75,68.88,74.5,0,3.38,12.58,9.19,0,0,0
2020-04-03,2841,45,1.58,0.9,71.11,68.88,75.0,0,4.85,9.48,12.89,0,0,0
2020-04-04,2993,52,1.74,1.04,75,68.88,74.0,0,5.0,12.22,8.86,0,0,0
2020-04-05,3142,60,1.91,1.2,78.33,68.88,74.0,2,5.16,9.34,13.43,0,0,0
2020-04-06,3334,72,2.16,1.44,79.17,68.88,74.0,2,5.65,9.39,13.33,0,0,0
2020-04-07,3544,79,2.23,1.58,81.01,68.88,73.0,2,5.72,12.72,9.26,0,0,0
2020-04-08,3780,87,2.3,1.74,82.76,68.88,73.0,2,5.8100000000000005,9.35,12.73,0,0,0
2020-04-09,4033,99,2.45,1.98,80.81,68.88,74.0,4,5.83,9.17,12.64,0,0,0
2020-04-10,4371,111,2.54,2.22,81.08,68.88,74.0,4,6.97,13.3,9.78,0,0,0
2020-04-11,4683,124,2.65,2.48,80.65,68.88,74.0,5,7.29,13.3,10.09,0,0,0
2020-04-12,4997,138,2.76,2.76,80.43,68.88,74.0,5,7.64,13.4,10.19,0,0,0
2020-04-13,5386,145,2.69,2.9,78.62,68.88,73.0,5,7.52,10.41,13.22,0,0,0
2020-04-14,5718,165,2.89,3.3,80,68.88,73.0,5,7.53,10.89,12.75,0,0,0
2020-04-15,6060,183,3.02,3.66,80.33,68.88,71.0,7,7.3,10.75,12.49,0,0,0
2020-04-16,6359,199,3.13,3.98,80.9,68.88,71.0,9,7.08,12.54,10.87,0,0,0
2020-04-17,6665,222,3.33,4.44,80.63,68.88,72.0,10,6.82,12.36,11.05,0,0,0
2020-04-18,6902,239,3.46,4.78,80.33,68.88,72.0,15,6.92,11.03,12.44,0,0,0
2020-04-19,7132,262,3.67,5.24,79.77,68.88,71.5,23,6.8100000000000005,12.22,11.04,0,0,0
2020-04-20,7463,293,3.93,5.86,79.86,68.88,72.0,25,6.44,12.18,11.35,0,0,0
2020-04-21,7646,318,4.16,6.36,77.99,68.88,71.5,29,6.55,11.49,12.1,0,0,0
2020-04-22,7836,340,4.34,6.8,77.94,68.88,72.0,34,6.54,11.31,11.89,0,0,0
2020-04-23,7966,361,4.53,7.22,77.84,68.88,72.0,36,6.92,11.39,12.05,0,0,0
2020-04-24,8111,401,4.94,8.02,77.06,68.88,72.0,42,6.86,11.38,11.76,0,0,0
2020-04-25,8210,435,5.3,8.7,75.86,68.88,72.0,47,6.92,11.42,11.79,0,0,0
2020-04-26,8288,485,5.85,9.7,75.26,68.88,72.0,49,6.71,11.64,11.28,0,0,0
2020-04-27,8340,515,6.18,10.3,75.15,68.88,72.0,60,6.72,11.3,11.63,0,0,0
2020-04-28,8383,548,6.54,10.96,75.55,68.88,72.0,68,6.58,11.29,11.56,0,0,0
2020-04-29,8425,587,6.97,11.74,75.13,68.88,72.0,93,6.5,11.53,11.22,0,0,0
2020-04-30,8451,631,7.47,12.62,74.01,68.88,72.0,116,6.5600000000000005,11.45,11.32,0,0,0
2020-05-01,8479,663,7.82,13.26,73,68.88,72.0,136,6.58,11.36,11.43,0,0,0
2020-05-02,8489,678,7.99,13.56,72.42,68.88,72.0,159,6.66,11.57,11.4,0,0,0
2020-05-03,8496,691,8.13,13.82,72.65,68.88,72.0,175,6.68,11.37,11.65,0,0,0
2020-05-04,8501,691,8.13,13.82,72.65,68.88,72.0,175,6.68,11.37,11.65,0,0,0
