Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1143,2,0.17,0.06,100,66.31,62.5,3,,36.0,,2,0,0
2020-03-25,1321,3,0.23,0.09,100,66.31,41.0,3,5.0,12.5,-9.0,3,0,0
2020-03-26,1477,6,0.41,0.18,83.33,66.31,78.0,3,5.0,-9.0,12.5,6,0,0
2020-03-27,1602,9,0.56,0.27,77.78,66.31,84.0,3,5.0,-1.5,8.33,8,1,0
2020-03-28,1682,11,0.65,0.33,81.82,66.31,72.0,3,5.0,8.33,-1.5,10,1,0
2020-03-29,1752,15,0.86,0.45,80,66.31,72.0,3,5.67,8.0,8.4,13,2,0
2020-03-30,1838,18,0.98,0.55,83.33,66.31,73.0,3,5.67,10.8,9.71,16,2,0
2020-03-31,1912,21,1.1,0.64,85.71,66.31,72.0,3,4.33,8.4,10.75,19,2,0
2020-04-01,1994,23,1.15,0.7,86.96,66.31,74.0,3,4.33,9.45,10.75,21,2,0
2020-04-02,2064,31,1.5,0.94,77.42,66.31,72.0,3,3.22,10.91,9.0,28,3,0
2020-04-03,2125,39,1.84,1.18,74.36,66.31,74.0,3,4.54,9.45,11.94,36,3,0
2020-04-04,2180,46,2.11,1.39,78.26,66.31,74.0,3,4.59,11.17,8.68,43,3,0
2020-04-05,2219,53,2.39,1.61,81.13,66.31,74.0,6,4.74,12.18,9.3,48,5,0
2020-04-06,2263,62,2.74,1.88,80.65,66.31,73.5,8,5.42,11.97,9.56,57,5,0
2020-04-07,2306,68,2.95,2.06,82.35,66.31,73.0,9,5.24,9.51,11.51,63,5,0
2020-04-08,2357,74,3.14,2.24,83.78,66.31,73.0,12,5.32,11.55,9.9,69,5,0
2020-04-09,2375,83,3.49,2.52,81.93,66.31,73.0,16,5.46,11.29,9.77,78,5,0
2020-04-10,2393,93,3.89,2.82,82.8,66.31,72.0,19,6.49,11.97,10.49,88,5,0
2020-04-11,2431,102,4.2,3.09,82.35,66.31,73.0,24,6.63,10.62,11.83,97,5,0
2020-04-12,2469,111,4.5,3.36,81.98,66.31,73.0,28,6.9,10.79,11.78,104,5,2
2020-04-13,2523,116,4.6,3.52,80.17,66.31,72.0,35,6.93,11.12,11.72,109,5,2
2020-04-14,2543,130,5.11,3.94,82.31,66.31,71.0,46,6.94,11.55,11.5,123,5,2
2020-04-15,2547,133,5.22,4.03,82.71,66.31,71.0,66,6.94,11.55,11.66,126,5,2
2020-04-16,2548,135,5.3,4.09,82.96,66.31,71.0,76,6.96,11.72,11.64,128,5,2
2020-04-17,2548,135,5.3,4.09,82.96,66.31,71.0,76,6.96,11.64,11.72,128,5,2
