Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1152,2,0.17,0.06,100,65.2,62.5,3,,,36.0,2,0,0
2020-03-25,1333,4,0.3,0.12,100,65.2,62.0,3,5.0,-9.0,12.5,4,0,0
2020-03-26,1493,7,0.47,0.21,85.71,65.2,83.0,3,5.0,-9.0,12.5,7,0,0
2020-03-27,1619,10,0.62,0.3,80,65.2,83.5,3,5.0,-1.5,8.33,9,1,0
2020-03-28,1702,12,0.71,0.36,83.33,65.2,77.5,3,5.0,-1.5,8.33,11,1,0
2020-03-29,1774,16,0.9,0.48,81.25,65.2,73.0,3,5.67,8.0,8.4,14,2,0
2020-03-30,1864,19,1.02,0.58,84.21,65.2,74.0,3,5.67,9.71,10.8,17,2,0
2020-03-31,1940,22,1.13,0.67,86.36,65.2,73.0,3,4.33,10.75,8.4,20,2,0
2020-04-01,2026,24,1.18,0.73,87.5,65.2,74.5,3,4.33,9.45,10.75,22,2,0
2020-04-02,2098,32,1.53,0.97,78.13,65.2,73.0,3,3.22,10.91,9.0,29,3,0
2020-04-03,2159,40,1.85,1.21,75,65.2,74.5,3,4.54,11.94,9.45,37,3,0
2020-04-04,2217,47,2.12,1.42,78.72,65.2,74.0,3,4.59,11.17,8.68,44,3,0
2020-04-05,2263,54,2.39,1.64,81.48,65.2,74.0,6,4.74,12.18,9.3,49,5,0
2020-04-06,2309,63,2.73,1.91,80.95,65.2,74.0,8,5.42,11.97,9.56,58,5,0
2020-04-07,2355,69,2.93,2.09,82.61,65.2,73.0,9,5.24,11.51,9.51,64,5,0
2020-04-08,2412,75,3.11,2.27,84,65.2,73.0,12,5.32,11.55,9.9,70,5,0
2020-04-09,2441,84,3.44,2.55,82.14,65.2,73.0,16,5.46,11.29,9.77,79,5,0
2020-04-10,2467,95,3.85,2.88,82.11,65.2,73.0,19,6.49,11.97,10.49,90,5,0
2020-04-11,2515,105,4.17,3.18,81.9,65.2,73.0,22,6.63,11.83,10.58,100,5,0
2020-04-12,2558,115,4.5,3.48,81.74,65.2,73.0,25,6.9,10.65,11.7,108,5,2
2020-04-13,2625,121,4.61,3.67,80.17,65.2,73.0,32,6.93,10.98,11.64,114,5,2
2020-04-14,2673,136,5.09,4.12,82.35,65.2,71.0,42,6.86,11.29,11.41,129,5,2
2020-04-15,2678,140,5.23,4.24,82.86,65.2,71.0,62,6.87,11.53,11.34,133,5,2
2020-04-16,2683,145,5.4,4.39,82.76,65.2,71.0,75,6.89,11.52,11.65,138,5,2
2020-04-17,2684,149,5.55,4.52,82.55,65.2,71.0,77,6.8100000000000005,11.44,11.79,142,5,2
