Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1124,2,0.18,0.06,100,66.31,62.5,3,,,36.0,2,0,0
2020-03-25,1298,3,0.23,0.09,100,66.31,41.0,3,5.0,12.5,-9.0,3,0,0
2020-03-26,1452,6,0.41,0.18,83.33,66.31,78.0,3,5.0,12.5,-9.0,6,0,0
2020-03-27,1573,9,0.57,0.27,77.78,66.31,84.0,3,5.0,8.0,-1.5,8,1,0
2020-03-28,1646,11,0.67,0.33,81.82,66.31,72.0,3,5.0,8.0,-1.5,10,1,0
2020-03-29,1712,15,0.88,0.45,80,66.31,72.0,3,5.67,8.0,8.17,13,2,0
2020-03-30,1794,18,1,0.55,83.33,66.31,73.0,3,5.67,10.8,9.38,16,2,0
2020-03-31,1865,21,1.13,0.64,85.71,66.31,72.0,3,4.33,8.27,10.75,19,2,0
2020-04-01,1947,23,1.18,0.7,86.96,66.31,74.0,3,4.33,9.25,10.75,21,2,0
2020-04-02,2016,31,1.54,0.94,77.42,66.31,72.0,3,3.22,10.91,8.88,28,3,0
2020-04-03,2075,39,1.88,1.18,74.36,66.31,74.0,3,4.54,9.35,11.94,36,3,0
2020-04-04,2128,46,2.16,1.39,78.26,66.31,74.0,3,4.59,11.17,8.62,43,3,0
2020-04-05,2161,53,2.45,1.61,81.13,66.31,74.0,6,4.74,9.24,12.18,48,5,0
2020-04-06,2200,62,2.82,1.88,80.65,66.31,73.5,8,5.42,11.97,9.5,57,5,0
2020-04-07,2240,68,3.04,2.06,82.35,66.31,73.0,9,5.24,9.46,11.51,63,5,0
2020-04-08,2287,74,3.24,2.24,83.78,66.31,73.0,12,5.32,11.55,9.85,69,5,0
2020-04-09,2300,83,3.61,2.52,81.93,66.31,73.0,16,5.46,9.72,11.29,78,5,0
2020-04-10,2313,93,4.02,2.82,82.8,66.31,72.0,19,6.49,11.97,10.44,88,5,0
2020-04-11,2341,102,4.36,3.09,82.35,66.31,73.0,24,6.6,11.87,10.58,97,5,0
2020-04-12,2359,111,4.71,3.36,81.98,66.31,73.0,28,6.88,11.82,10.75,104,5,2
2020-04-13,2390,116,4.85,3.52,80.17,66.31,72.0,34,6.91,11.08,11.75,109,5,2
2020-04-14,2409,130,5.4,3.94,82.31,66.31,71.0,45,6.92,11.47,11.59,123,5,2
2020-04-15,2412,133,5.51,4.03,82.71,66.31,71.0,64,6.93,11.69,11.52,126,5,2
2020-04-16,2412,135,5.6,4.09,82.96,66.31,71.0,74,6.94,11.69,11.67,128,5,2
2020-04-17,2412,135,5.6,4.09,82.96,66.31,71.0,74,6.94,11.69,11.67,128,5,2
