Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1401,4,0.29,0.08,100,68.95,76.0,0,,36.0,11.0,0,0,0
2020-03-25,1590,6,0.38,0.12,100,68.95,75.5,0,,11.0,20.0,0,0,0
2020-03-26,1765,9,0.51,0.18,88.89,68.95,83.0,0,,11.0,20.0,0,0,0
2020-03-27,1907,12,0.63,0.24,83.33,68.95,83.5,0,6.0,11.75,9.67,0,0,0
2020-03-28,2015,14,0.69,0.29,85.71,68.95,77.5,0,6.0,9.67,11.75,0,0,0
2020-03-29,2112,18,0.85,0.37,83.33,68.95,73.0,0,4.5,12.0,9.13,0,0,0
2020-03-30,2249,22,0.98,0.45,81.82,68.95,75.5,0,4.5,9.55,13.33,0,0,0
2020-03-31,2368,25,1.06,0.51,84,68.95,74.0,0,4.5,12.38,8.64,0,0,0
2020-04-01,2569,27,1.05,0.55,85.19,68.95,75.0,0,4.5,9.4,12.38,0,0,0
2020-04-02,2710,36,1.33,0.73,75,68.95,74.5,0,3.38,9.18,12.58,0,0,0
2020-04-03,2834,45,1.59,0.92,71.11,68.95,75.0,0,4.85,9.47,12.89,0,0,0
2020-04-04,2990,52,1.74,1.06,75,68.95,74.0,0,5.0,8.86,12.22,0,0,0
2020-04-05,3143,60,1.91,1.22,78.33,68.95,74.0,2,5.16,13.43,9.33,0,0,0
2020-04-06,3330,72,2.16,1.47,79.17,68.95,74.0,2,5.65,13.33,9.38,0,0,0
2020-04-07,3540,79,2.23,1.61,81.01,68.95,73.0,2,5.72,12.72,9.25,0,0,0
2020-04-08,3776,87,2.3,1.78,82.76,68.95,73.0,2,5.8100000000000005,12.73,9.34,0,0,0
2020-04-09,4024,99,2.46,2.02,80.81,68.95,74.0,4,5.83,12.64,9.16,0,0,0
2020-04-10,4361,111,2.55,2.27,81.08,68.95,74.0,4,6.97,13.3,9.77,0,0,0
2020-04-11,4672,124,2.65,2.53,80.65,68.95,74.0,5,7.29,13.3,10.08,0,0,0
2020-04-12,4982,138,2.77,2.82,80.43,68.95,74.0,5,7.64,13.4,10.18,0,0,0
2020-04-13,5369,145,2.7,2.96,78.62,68.95,73.0,5,7.52,10.4,13.22,0,0,0
2020-04-14,5703,165,2.89,3.37,80,68.95,73.0,5,7.53,12.66,10.88,0,0,0
2020-04-15,6041,183,3.03,3.73,80.33,68.95,71.0,7,7.3,12.38,10.74,0,0,0
2020-04-16,6339,199,3.14,4.06,80.9,68.95,71.0,9,7.08,10.86,12.44,0,0,0
2020-04-17,6643,222,3.34,4.53,80.63,68.95,72.0,10,6.82,12.27,11.04,0,0,0
2020-04-18,6876,239,3.48,4.88,80.33,68.95,72.0,15,6.92,11.05,12.31,0,0,0
2020-04-19,7107,262,3.69,5.35,79.77,68.95,71.5,23,6.84,11.05,12.11,0,0,0
2020-04-20,7430,293,3.94,5.98,79.86,68.95,72.0,25,6.47,12.08,11.36,0,0,0
2020-04-21,7603,318,4.18,6.49,77.99,68.95,71.5,29,6.61,12.04,11.49,0,0,0
2020-04-22,7785,340,4.37,6.94,77.94,68.95,72.0,34,6.59,11.83,11.32,0,0,0
2020-04-23,7906,361,4.57,7.37,77.84,68.95,72.0,36,6.96,11.39,11.99,0,0,0
2020-04-24,8037,401,4.99,8.18,77.06,68.95,72.0,42,6.9,11.4,11.73,0,0,0
2020-04-25,8117,434,5.35,8.86,76.04,68.95,72.0,48,6.93,11.44,11.75,0,0,0
2020-04-26,8189,484,5.91,9.88,75.41,68.95,72.0,50,6.72,11.29,11.61,0,0,0
2020-04-27,8233,514,6.24,10.49,75.29,68.95,72.0,61,6.73,11.6,11.36,0,0,0
2020-04-28,8272,547,6.61,11.16,75.69,68.95,72.0,69,6.58,11.39,11.4,0,0,0
2020-04-29,8310,584,7.03,11.92,75.34,68.95,72.0,97,6.53,11.32,11.37,0,0,0
2020-04-30,8335,625,7.5,12.76,74.4,68.95,72.0,120,6.58,11.31,11.44,0,0,0
2020-05-01,8363,654,7.82,13.35,73.24,68.95,72.0,137,6.59,11.48,11.22,0,0,0
2020-05-02,8372,666,7.96,13.59,72.82,68.95,72.0,155,6.66,11.24,11.6,0,0,0
2020-05-03,8379,677,8.08,13.82,73.26,68.95,72.0,165,6.66,11.65,11.2,0,0,0
