Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1402,3,0.21,0.06,100,68.7,84.0,0,,36.0,,0,0,0
2020-03-25,1589,5,0.31,0.1,100,68.7,83.0,0,,20.0,,0,0,0
2020-03-26,1763,8,0.45,0.17,87.5,68.7,83.5,0,,20.0,,0,0,0
2020-03-27,1905,11,0.58,0.23,81.82,68.7,84.0,0,6.0,11.75,9.0,0,0,0
2020-03-28,2011,13,0.65,0.27,84.62,68.7,83.0,0,6.0,11.75,9.0,0,0,0
2020-03-29,2109,17,0.81,0.35,82.35,68.7,74.0,0,4.5,12.0,9.13,0,0,0
2020-03-30,2248,21,0.93,0.44,80.95,68.7,77.0,0,4.5,9.55,13.33,0,0,0
2020-03-31,2366,24,1.01,0.5,83.33,68.7,75.5,0,4.5,12.38,8.64,0,0,0
2020-04-01,2565,26,1.01,0.54,84.62,68.7,76.0,0,4.5,12.38,9.4,0,0,0
2020-04-02,2707,35,1.29,0.73,74.29,68.7,75.0,0,3.38,9.18,12.58,0,0,0
2020-04-03,2831,44,1.55,0.92,70.45,68.7,75.0,0,4.85,12.89,9.47,0,0,0
2020-04-04,2986,51,1.71,1.06,74.51,68.7,74.0,0,5.0,8.86,12.22,0,0,0
2020-04-05,3136,59,1.88,1.23,77.97,68.7,74.0,2,5.16,9.33,13.43,0,0,0
2020-04-06,3320,71,2.14,1.48,78.87,68.7,74.0,2,5.65,9.38,13.33,0,0,0
2020-04-07,3525,78,2.21,1.63,80.77,68.7,73.5,2,5.72,12.72,9.25,0,0,0
2020-04-08,3762,86,2.29,1.79,82.56,68.7,73.5,2,5.8100000000000005,9.34,12.73,0,0,0
2020-04-09,4010,98,2.44,2.04,80.61,68.7,74.0,4,5.83,12.64,9.16,0,0,0
2020-04-10,4346,110,2.53,2.29,80.91,68.7,74.0,4,6.89,13.23,9.79,0,0,0
2020-04-11,4652,123,2.64,2.56,80.49,68.7,74.0,5,7.21,10.1,13.25,0,0,0
2020-04-12,4964,137,2.76,2.85,80.29,68.7,74.0,5,7.57,10.2,13.4,0,0,0
2020-04-13,5346,144,2.69,3,78.47,68.7,73.5,5,7.45,13.22,10.42,0,0,0
2020-04-14,5674,164,2.89,3.42,79.88,68.7,73.0,5,7.48,12.65,10.89,0,0,0
2020-04-15,6006,182,3.03,3.79,80.22,68.7,71.0,7,7.27,10.75,12.38,0,0,0
2020-04-16,6293,198,3.15,4.13,80.81,68.7,71.5,9,7.06,12.44,10.87,0,0,0
2020-04-17,6585,221,3.36,4.6,80.54,68.7,72.0,11,6.8,11.05,12.27,0,0,0
2020-04-18,6809,237,3.48,4.94,80.59,68.7,72.0,17,6.91,12.3,11.06,0,0,0
2020-04-19,7024,260,3.7,5.42,80,68.7,72.0,24,6.83,12.11,11.06,0,0,0
2020-04-20,7323,290,3.96,6.04,80,68.7,72.0,26,6.47,12.08,11.37,0,0,0
2020-04-21,7487,315,4.21,6.56,78.1,68.7,72.0,30,6.6,12.04,11.5,0,0,0
2020-04-22,7654,337,4.4,7.02,78.04,68.7,72.0,35,6.59,11.83,11.32,0,0,0
2020-04-23,7755,358,4.62,7.46,77.93,68.7,72.0,37,6.96,11.4,12.0,0,0,0
2020-04-24,7856,397,5.05,8.27,77.33,68.7,72.0,44,6.9,11.42,11.74,0,0,0
2020-04-25,7914,427,5.4,8.9,76.35,68.7,72.0,53,6.98,11.77,11.5,0,0,0
2020-04-26,7968,472,5.92,9.83,75.85,68.7,72.0,63,6.78,11.4,11.62,0,0,0
2020-04-27,7988,500,6.26,10.42,75.6,68.7,72.0,77,6.8,11.61,11.42,0,0,0
2020-04-28,8017,526,6.56,10.96,76.24,68.7,72.0,91,6.73,11.54,11.49,0,0,0
2020-04-29,8051,552,6.86,11.5,75.72,68.7,72.0,128,6.67,11.52,11.5,0,0,0
2020-04-30,8076,579,7.17,12.06,75.13,68.7,72.0,156,6.72,11.44,11.69,0,0,0
2020-05-01,8076,590,7.31,12.29,75.08,68.7,72.0,169,6.76,11.4,11.77,0,0,0
2020-05-02,8076,590,7.31,12.29,75.08,68.7,72.0,169,6.76,11.77,11.4,0,0,0
