Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1396,3,0.21,0.07,100,68.96,84.0,0,,36.0,,0,0,0
2020-03-25,1580,5,0.32,0.11,100,68.96,83.0,0,,20.0,,0,0,0
2020-03-26,1752,8,0.46,0.17,87.5,68.96,83.5,0,,,20.0,0,0,0
2020-03-27,1894,11,0.58,0.24,81.82,68.96,84.0,0,6.0,11.75,9.0,0,0,0
2020-03-28,2000,13,0.65,0.28,84.62,68.96,83.0,0,6.0,11.75,9.0,0,0,0
2020-03-29,2094,17,0.81,0.37,82.35,68.96,74.0,0,4.5,12.25,9.14,0,0,0
2020-03-30,2231,21,0.94,0.46,80.95,68.96,77.0,0,4.5,9.6,13.8,0,0,0
2020-03-31,2349,24,1.02,0.52,83.33,68.96,75.5,0,4.5,8.62,12.57,0,0,0
2020-04-01,2549,26,1.02,0.57,84.62,68.96,76.0,0,4.5,12.57,9.43,0,0,0
2020-04-02,2689,35,1.3,0.76,74.29,68.96,75.0,0,3.38,9.19,12.73,0,0,0
2020-04-03,2812,44,1.56,0.96,70.45,68.96,75.0,0,4.85,9.48,13.0,0,0,0
2020-04-04,2966,51,1.72,1.11,74.51,68.96,74.0,0,5.0,8.86,12.27,0,0,0
2020-04-05,3116,59,1.89,1.28,77.97,68.96,74.0,2,5.16,9.34,13.52,0,0,0
2020-04-06,3297,70,2.12,1.52,78.57,68.96,74.0,2,5.65,9.36,13.35,0,0,0
2020-04-07,3501,77,2.2,1.67,80.52,68.96,73.0,2,5.72,9.23,12.71,0,0,0
2020-04-08,3736,84,2.25,1.83,82.14,68.96,73.0,3,5.8100000000000005,9.47,12.71,0,0,0
2020-04-09,3984,96,2.41,2.09,80.21,68.96,74.0,5,5.83,12.54,9.26,0,0,0
2020-04-10,4315,108,2.5,2.35,80.56,68.96,73.5,5,6.89,13.15,9.9,0,0,0
2020-04-11,4620,121,2.62,2.63,80.17,68.96,74.0,6,7.05,13.18,10.12,0,0,0
2020-04-12,4929,135,2.74,2.93,80,68.96,74.0,6,7.42,13.34,10.22,0,0,0
2020-04-13,5307,142,2.68,3.09,78.17,68.96,73.0,6,7.32,13.16,10.45,0,0,0
2020-04-14,5635,161,2.86,3.5,80.12,68.96,73.0,6,7.45,10.96,12.67,0,0,0
2020-04-15,5959,178,2.99,3.87,80.34,68.96,71.0,9,7.28,12.42,10.83,0,0,0
2020-04-16,6242,193,3.09,4.2,81.35,68.96,71.0,12,7.12,12.43,10.86,0,0,0
2020-04-17,6525,215,3.3,4.67,80.93,68.96,72.0,16,6.85,12.26,11.06,0,0,0
2020-04-18,6741,228,3.38,4.96,80.7,68.96,72.0,25,6.92,12.35,11.15,0,0,0
2020-04-19,6945,251,3.61,5.46,80.08,68.96,72.0,32,6.83,11.14,12.14,0,0,0
2020-04-20,7218,278,3.85,6.04,79.86,68.96,72.0,37,6.48,12.17,11.51,0,0,0
2020-04-21,7367,301,4.09,6.54,78.07,68.96,72.0,43,6.61,12.12,11.68,0,0,0
2020-04-22,7524,322,4.28,7,77.95,68.96,72.0,49,6.64,11.51,11.89,0,0,0
2020-04-23,7612,342,4.49,7.43,78.07,68.96,72.0,52,7.03,12.05,11.56,0,0,0
2020-04-24,7694,376,4.89,8.17,77.13,68.96,72.0,63,6.96,11.77,11.5,0,0,0
2020-04-25,7740,403,5.21,8.76,76.18,68.96,72.0,74,7.04,11.61,11.8,0,0,0
2020-04-26,7785,437,5.61,9.5,75.06,68.96,72.0,97,6.86,11.64,11.55,0,0,0
2020-04-27,7800,454,5.82,9.87,75.11,68.96,72.0,119,6.85,11.64,11.63,0,0,0
2020-04-28,7825,470,6.01,10.22,75.53,68.96,72.0,143,6.78,11.58,11.73,0,0,0
2020-04-29,7855,486,6.19,10.57,75.93,68.96,72.0,179,6.7,11.54,11.78,0,0,0
2020-04-30,7861,492,6.26,10.7,75.81,68.96,72.0,187,6.72,11.53,11.89,0,0,0
