Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1376,2,0.15,0.05,100,68.6,62.5,0,,,6.0,2,0,0
2020-03-25,1561,4,0.26,0.09,100,68.6,74.0,0,,,5.0,4,0,0
2020-03-26,1727,7,0.41,0.16,85.71,68.6,83.0,0,,5.0,,7,0,0
2020-03-27,1867,10,0.54,0.23,80,68.6,83.5,0,,6.0,4.25,9,1,0
2020-03-28,1970,12,0.61,0.27,83.33,68.6,77.5,0,,5.0,6.0,11,1,0
2020-03-29,2057,16,0.78,0.36,81.25,68.6,73.0,0,3.5,5.25,10.0,14,2,0
2020-03-30,2189,20,0.91,0.45,80,68.6,75.5,0,3.5,13.33,6.92,18,2,0
2020-03-31,2306,23,1,0.52,82.61,68.6,74.0,0,3.2,6.6,12.0,21,2,0
2020-04-01,2492,25,1,0.57,84,68.6,75.0,0,3.2,12.0,7.44,23,2,0
2020-04-02,2630,34,1.29,0.77,73.53,68.6,74.5,0,3.17,7.95,12.86,31,3,0
2020-04-03,2749,42,1.53,0.95,71.43,68.6,75.0,0,4.9,13.62,8.76,39,3,0
2020-04-04,2891,49,1.69,1.11,75.51,68.6,74.0,0,4.69,11.89,8.23,46,3,0
2020-04-05,3037,57,1.88,1.3,78.95,68.6,74.0,2,4.87,8.83,12.76,52,5,0
2020-04-06,3207,68,2.12,1.55,79.41,68.6,74.0,2,5.38,12.52,8.96,63,5,0
2020-04-07,3406,75,2.2,1.7,81.33,68.6,73.0,2,5.08,11.97,8.95,70,5,0
2020-04-08,3627,82,2.26,1.86,82.93,68.6,73.0,3,5.0,9.22,11.89,77,5,0
2020-04-09,3853,93,2.41,2.11,81.72,68.6,74.0,5,5.2,11.42,9.15,88,5,0
2020-04-10,4136,105,2.54,2.39,81.9,68.6,73.0,5,6.36,12.2,9.71,100,5,0
2020-04-11,4413,117,2.65,2.66,81.2,68.6,74.0,6,6.63,9.8,12.44,112,5,0
2020-04-12,4693,131,2.79,2.98,80.92,68.6,74.0,6,7.02,12.6,10.0,124,5,2
2020-04-13,5032,138,2.74,3.14,78.99,68.6,73.0,6,7.02,12.49,10.24,131,5,2
2020-04-14,5322,157,2.95,3.57,80.89,68.6,73.0,6,6.97,10.58,12.2,150,5,2
2020-04-15,5603,174,3.11,3.95,81.03,68.6,71.0,9,6.77,10.49,12.12,167,5,2
2020-04-16,5830,189,3.24,4.3,82.01,68.6,71.0,12,6.61,10.55,12.34,182,5,2
2020-04-17,6048,211,3.49,4.8,81.52,68.6,72.0,16,6.52,12.21,10.81,204,5,2
2020-04-18,6207,223,3.59,5.07,80.72,68.6,72.0,25,6.61,10.98,12.18,216,5,2
2020-04-19,6346,246,3.88,5.59,80.08,68.6,72.0,32,6.67,12.16,11.05,239,5,2
2020-04-20,6521,272,4.17,6.18,79.78,68.6,72.0,36,6.55,12.15,11.42,265,5,2
2020-04-21,6639,295,4.44,6.7,77.97,68.6,72.0,43,6.66,12.11,11.57,288,5,2
2020-04-22,6769,315,4.65,7.16,77.78,68.6,72.0,49,6.65,11.9,11.44,308,5,2
2020-04-23,6838,334,4.88,7.59,78.14,68.6,72.0,54,7.28,11.5,11.91,327,5,2
2020-04-24,6904,363,5.26,8.25,77.13,68.6,72.0,65,7.35,11.75,11.57,356,5,2
2020-04-25,6942,387,5.57,8.8,76.23,68.6,72.0,79,7.46,11.83,11.76,380,5,2
2020-04-26,6975,410,5.88,9.32,75.61,68.6,72.0,107,7.32,11.77,11.84,403,5,2
2020-04-27,6985,417,5.97,9.48,75.3,68.6,72.0,124,7.33,11.76,11.88,410,5,2
2020-04-28,6985,417,5.97,9.48,75.3,68.6,72.0,130,7.33,11.76,11.88,410,5,2
