Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos hospitais privados,Obitos na residencia,Obitos hospitais publicos,Obitos sem informacao local
2020-03-24,1492,4,0.27,0.08,100,68.2,76.0,2,4,36,11,2,1,1,0
2020-03-25,1685,6,0.36,0.12,100,68.2,75.5,2,4,11,20,2,2,2,0
2020-03-26,1861,9,0.48,0.17,88.89,68.2,83.0,2,4,11,20,4,2,3,0
2020-03-27,2007,12,0.6,0.23,83.33,68.2,83.5,2,5.0,11.0,9.67,4,3,5,0
2020-03-28,2117,14,0.66,0.27,85.71,68.2,77.5,2,5.0,9.67,11.0,5,3,6,0
2020-03-29,2217,18,0.81,0.35,83.33,68.2,73.0,2,4.4,9.0,11.83,7,4,7,0
2020-03-30,2363,22,0.93,0.42,81.82,68.2,75.5,2,4.4,13.0,9.45,10,4,8,0
2020-03-31,2489,25,1,0.48,84,68.2,74.0,2,4.43,8.57,12.22,11,4,10,0
2020-04-01,2695,27,1,0.52,85.19,68.2,75.0,2,4.43,12.22,9.33,12,4,11,0
2020-04-02,2844,36,1.27,0.69,75,68.2,74.5,2,3.44,9.14,13.31,16,6,13,1
2020-04-03,2970,45,1.52,0.87,71.11,68.2,75.0,2,4.79,13.37,9.43,18,6,20,1
2020-04-04,3127,52,1.66,1,75,68.2,74.5,2,4.94,12.63,8.83,18,6,27,1
2020-04-05,3285,60,1.83,1.15,78.33,68.2,74.0,4,5.1,13.72,9.31,18,8,33,1
2020-04-06,3482,72,2.07,1.38,79.17,68.2,74.0,4,5.58,13.53,9.37,21,9,41,1
2020-04-07,3695,79,2.14,1.52,81.01,68.2,73.0,4,5.65,12.92,9.24,24,9,45,1
2020-04-08,3948,87,2.2,1.67,82.76,68.2,73.0,4,5.74,12.92,9.34,27,9,50,1
2020-04-09,4228,99,2.34,1.9,80.81,68.2,74.0,6,5.77,12.73,9.16,30,10,58,1
2020-04-10,4606,111,2.41,2.13,81.08,68.2,74.0,6,7.14,13.29,9.79,34,10,66,1
2020-04-11,4936,124,2.51,2.38,80.65,68.2,74.0,7,7.41,13.29,10.02,36,11,76,1
2020-04-12,5289,138,2.61,2.65,80.43,68.2,74.0,7,8.02,13.38,10.18,38,11,86,3
2020-04-13,5717,145,2.54,2.79,78.62,68.2,73.0,7,7.87,13.21,10.4,40,11,91,3
2020-04-14,6150,165,2.68,3.17,80,68.2,73.0,7,7.73,10.88,12.62,45,11,106,3
2020-04-15,6597,183,2.77,3.52,80.33,68.2,71.0,9,7.48,12.36,10.74,50,11,119,3
2020-04-16,7000,199,2.84,3.83,80.9,68.2,71.0,11,7.25,10.86,12.41,51,12,133,3
2020-04-17,7458,222,2.98,4.27,80.63,68.2,72.0,12,6.98,12.25,11.04,56,13,150,3
2020-04-18,7882,239,3.03,4.6,80.33,68.2,72.0,17,7.07,12.38,11.05,58,14,164,3
2020-04-19,8328,262,3.15,5.04,79.77,68.2,71.5,25,6.92,11.05,12.17,64,16,179,3
2020-04-20,8982,293,3.26,5.63,79.86,68.2,72.0,27,6.51,12.26,11.36,71,17,202,3
2020-04-21,9386,318,3.39,6.12,77.99,68.2,71.5,31,6.6,12.23,11.5,76,19,220,3
2020-04-22,9816,340,3.46,6.54,77.94,68.2,72.0,36,6.59,12.02,11.32,77,20,240,3
2020-04-23,10211,362,3.55,6.96,77.9,68.2,72.0,38,6.89,12.23,11.42,81,20,258,3
2020-04-24,10604,403,3.8,7.75,77.17,68.2,72.0,43,6.93,11.4,11.95,85,23,292,3
2020-04-25,10953,440,4.02,8.46,75.68,68.2,72.0,47,6.96,11.43,12.02,92,25,320,3
2020-04-26,11223,490,4.37,9.42,75.1,68.2,72.0,49,6.72,11.76,11.32,102,25,359,4
2020-04-27,11486,526,4.58,10.12,75.29,68.2,72.0,56,6.75,11.8,11.31,106,25,391,4
2020-04-28,11626,562,4.83,10.81,75.62,68.2,72.0,64,6.58,11.64,11.28,111,26,421,4
2020-04-29,11793,611,5.18,11.75,75.45,68.2,72.0,83,6.47,11.57,11.27,122,31,454,4
2020-04-30,11917,663,5.56,12.75,74.21,68.2,72.0,106,6.53,11.33,11.38,132,35,492,4
2020-05-01,12002,709,5.91,13.63,72.92,68.2,72.0,129,6.59,11.3,11.38,136,42,527,4
2020-05-02,12074,738,6.11,14.19,72.36,68.2,71.5,160,6.62,11.35,11.5,142,43,549,4
2020-05-03,12126,774,6.38,14.88,72.22,68.2,71.0,186,6.72,11.65,11.29,149,43,577,5
2020-05-04,12181,797,6.54,15.33,72.15,68.2,71.0,220,6.66,11.78,11.27,157,43,591,6
2020-05-05,12206,816,6.69,15.69,72.43,68.2,71.0,235,6.62,11.97,11.23,164,43,603,6
2020-05-06,12206,816,6.69,15.69,72.43,68.2,71.0,235,6.62,11.23,11.97,164,43,603,6
