Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1289,2,0.16,0.05,100,69.51,62.5,0,,6.0,,2,0,0
2020-03-25,1471,4,0.27,0.1,100,69.51,74.0,0,,5.0,,4,0,0
2020-03-26,1641,7,0.43,0.18,85.71,69.51,83.0,0,,5.0,,7,0,0
2020-03-27,1778,10,0.56,0.25,80,69.51,83.5,0,,,6.6,9,1,0
2020-03-28,1875,12,0.64,0.3,83.33,69.51,77.5,0,,,6.83,11,1,0
2020-03-29,1960,16,0.82,0.4,81.25,69.51,73.0,0,,,6.44,14,2,0
2020-03-30,2083,19,0.91,0.48,84.21,69.51,74.0,0,,18.0,7.58,17,2,0
2020-03-31,2192,22,1,0.55,86.36,69.51,73.0,0,,18.0,7.53,20,2,0
2020-04-01,2358,24,1.02,0.6,87.5,69.51,74.5,0,,18.0,8.31,22,2,0
2020-04-02,2488,33,1.33,0.83,75.76,69.51,74.0,0,,8.14,18.0,30,3,0
2020-04-03,2601,41,1.58,1.03,73.17,69.51,75.0,0,,18.0,8.79,38,3,0
2020-04-04,2726,48,1.76,1.2,75,69.51,74.0,0,,18.0,8.5,45,3,0
2020-04-05,2856,56,1.96,1.4,78.57,69.51,74.0,2,,18.0,8.8,51,5,0
2020-04-06,3005,67,2.23,1.68,79.1,69.51,74.0,2,,18.0,8.78,62,5,0
2020-04-07,3176,74,2.33,1.85,81.08,69.51,73.0,2,,18.0,8.83,69,5,0
2020-04-08,3355,81,2.41,2.03,82.72,69.51,73.0,3,,9.58,18.0,76,5,0
2020-04-09,3529,92,2.61,2.3,81.52,69.51,73.5,6,,15.5,9.63,87,5,0
2020-04-10,3718,104,2.8,2.6,81.73,69.51,73.0,7,,9.75,15.0,99,5,0
2020-04-11,3886,116,2.99,2.9,81.03,69.51,74.0,9,,15.0,9.72,111,5,0
2020-04-12,4046,129,3.19,3.23,81.4,69.51,74.0,9,,16.0,9.82,122,5,2
2020-04-13,4235,136,3.21,3.4,79.41,69.51,73.0,10,,10.09,16.0,129,5,2
2020-04-14,4367,155,3.55,3.88,80.65,69.51,73.0,11,,10.21,16.0,148,5,2
2020-04-15,4490,171,3.81,4.28,80.7,69.51,71.0,15,,16.0,10.06,164,5,2
2020-04-16,4570,183,4,4.58,81.42,69.51,71.0,23,,16.0,10.32,176,5,2
2020-04-17,4639,203,4.38,5.08,81.28,69.51,72.0,28,,16.0,10.65,196,5,2
2020-04-18,4668,213,4.56,5.33,80.75,69.51,72.0,37,,16.0,10.73,206,5,2
2020-04-19,4677,231,4.94,5.78,79.65,69.51,72.0,46,,17.2,10.81,224,5,2
2020-04-20,4704,250,5.31,6.25,80,69.51,72.0,52,,17.2,11.14,243,5,2
2020-04-21,4716,262,5.56,6.55,79.01,69.51,72.0,64,,11.39,17.2,255,5,2
2020-04-22,4744,269,5.67,6.73,79.18,69.51,72.0,76,,17.2,11.56,262,5,2
2020-04-23,4749,272,5.73,6.8,79.41,69.51,72.0,80,,11.61,17.2,265,5,2
2020-04-24,4749,272,5.73,6.8,79.41,69.51,72.0,80,,17.2,11.61,265,5,2
