Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1404,4,0.28,0.08,100,68.94,76.0,0,,11.0,36.0,0,0,0
2020-03-25,1592,6,0.38,0.12,100,68.94,75.5,0,,20.0,11.0,0,0,0
2020-03-26,1765,9,0.51,0.18,88.89,68.94,83.0,0,,20.0,11.0,0,0,0
2020-03-27,1908,12,0.63,0.24,83.33,68.94,83.5,0,6.0,9.67,11.75,0,0,0
2020-03-28,2015,14,0.69,0.29,85.71,68.94,77.5,0,6.0,11.75,9.67,0,0,0
2020-03-29,2110,18,0.85,0.37,83.33,68.94,73.0,0,4.5,9.13,12.0,0,0,0
2020-03-30,2248,22,0.98,0.45,81.82,68.94,75.5,0,4.5,9.55,13.33,0,0,0
2020-03-31,2367,25,1.06,0.51,84,68.94,74.0,0,4.5,8.64,12.38,0,0,0
2020-04-01,2568,27,1.05,0.55,85.19,68.94,75.0,0,4.5,12.38,9.4,0,0,0
2020-04-02,2707,36,1.33,0.73,75,68.94,74.5,0,3.38,9.18,12.58,0,0,0
2020-04-03,2832,45,1.59,0.92,71.11,68.94,75.0,0,4.85,9.47,12.89,0,0,0
2020-04-04,2987,52,1.74,1.06,75,68.94,74.0,0,5.0,8.86,12.22,0,0,0
2020-04-05,3138,60,1.91,1.22,78.33,68.94,74.0,2,5.16,9.33,13.43,0,0,0
2020-04-06,3326,72,2.16,1.47,79.17,68.94,74.0,2,5.65,9.38,13.33,0,0,0
2020-04-07,3535,79,2.23,1.61,81.01,68.94,73.0,2,5.72,12.72,9.25,0,0,0
2020-04-08,3772,87,2.31,1.78,82.76,68.94,73.0,2,5.8100000000000005,9.34,12.73,0,0,0
2020-04-09,4021,99,2.46,2.02,80.81,68.94,74.0,4,5.83,9.16,12.64,0,0,0
2020-04-10,4358,111,2.55,2.27,81.08,68.94,74.0,4,6.97,9.77,13.3,0,0,0
2020-04-11,4669,124,2.66,2.53,80.65,68.94,74.0,5,7.29,10.08,13.3,0,0,0
2020-04-12,4983,138,2.77,2.82,80.43,68.94,74.0,5,7.64,10.18,13.4,0,0,0
2020-04-13,5367,145,2.7,2.96,78.62,68.94,73.0,5,7.52,13.22,10.4,0,0,0
2020-04-14,5701,165,2.89,3.37,80,68.94,73.0,5,7.53,12.66,10.88,0,0,0
2020-04-15,6040,183,3.03,3.73,80.33,68.94,71.0,7,7.3,12.38,10.74,0,0,0
2020-04-16,6337,199,3.14,4.06,80.9,68.94,71.0,9,7.08,10.86,12.44,0,0,0
2020-04-17,6641,222,3.34,4.53,80.63,68.94,72.0,10,6.82,12.27,11.04,0,0,0
2020-04-18,6872,239,3.48,4.88,80.33,68.94,72.0,15,6.92,12.31,11.05,0,0,0
2020-04-19,7102,262,3.69,5.35,79.77,68.94,71.5,23,6.84,11.05,12.11,0,0,0
2020-04-20,7422,293,3.95,5.98,79.86,68.94,72.0,25,6.47,11.36,12.08,0,0,0
2020-04-21,7594,318,4.19,6.49,77.99,68.94,71.5,29,6.61,12.05,11.49,0,0,0
2020-04-22,7777,340,4.37,6.94,77.94,68.94,72.0,34,6.59,11.84,11.32,0,0,0
2020-04-23,7900,361,4.57,7.37,77.84,68.94,72.0,36,6.96,11.39,11.99,0,0,0
2020-04-24,8031,401,4.99,8.18,77.06,68.94,72.0,42,6.9,11.4,11.73,0,0,0
2020-04-25,8113,434,5.35,8.86,76.04,68.94,72.0,48,6.95,11.44,11.76,0,0,0
2020-04-26,8184,484,5.91,9.88,75.41,68.94,72.0,50,6.74,11.29,11.61,0,0,0
2020-04-27,8226,514,6.25,10.49,75.29,68.94,72.0,61,6.74,11.61,11.36,0,0,0
2020-04-28,8265,546,6.61,11.14,75.82,68.94,72.0,70,6.6,11.41,11.35,0,0,0
2020-04-29,8304,583,7.02,11.9,75.47,68.94,72.0,98,6.54,11.29,11.38,0,0,0
2020-04-30,8328,624,7.49,12.73,74.52,68.94,72.0,122,6.6,11.41,11.32,0,0,0
2020-05-01,8355,653,7.82,13.33,73.35,68.94,72.0,139,6.61,11.45,11.23,0,0,0
2020-05-02,8363,662,7.92,13.51,73.11,68.94,72.0,150,6.68,11.55,11.25,0,0,0
2020-05-03,8370,663,7.92,13.53,73.3,68.94,72.0,157,6.68,11.56,11.25,0,0,0
