Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1311,2,0.15,0.05,100,69.2,62.5,0,,6.0,,2,0,0
2020-03-25,1491,4,0.27,0.1,100,69.2,74.0,0,,,6.0,4,0,0
2020-03-26,1656,7,0.42,0.18,85.71,69.2,83.0,0,,6.0,,7,0,0
2020-03-27,1798,10,0.56,0.25,80,69.2,83.5,0,,6.0,4.33,9,1,0
2020-03-28,1902,12,0.63,0.3,83.33,69.2,77.5,0,,5.25,6.0,11,1,0
2020-03-29,1992,16,0.8,0.4,81.25,69.2,73.0,0,3.5,10.33,5.43,14,2,0
2020-03-30,2118,19,0.9,0.48,84.21,69.2,74.0,0,3.5,6.5600000000000005,12.75,17,2,0
2020-03-31,2232,22,0.99,0.55,86.36,69.2,73.0,0,3.2,6.25,11.86,20,2,0
2020-04-01,2402,24,1,0.6,87.5,69.2,74.5,0,3.2,7.31,11.86,22,2,0
2020-04-02,2528,33,1.31,0.83,75.76,69.2,74.0,0,3.17,7.95,12.63,30,3,0
2020-04-03,2644,41,1.55,1.03,73.17,69.2,75.0,0,4.9,8.12,12.07,38,3,0
2020-04-04,2774,48,1.73,1.2,77.08,69.2,74.0,0,4.69,7.59,10.74,45,3,0
2020-04-05,2903,56,1.93,1.4,80.36,69.2,74.0,2,4.87,11.73,8.36,51,5,0
2020-04-06,3061,67,2.19,1.68,80.6,69.2,74.0,2,5.65,11.71,8.57,62,5,0
2020-04-07,3236,74,2.29,1.85,82.43,69.2,73.0,2,5.3,11.41,8.6,69,5,0
2020-04-08,3423,81,2.37,2.03,83.95,69.2,73.0,3,5.5600000000000005,11.68,9.1,76,5,0
2020-04-09,3620,92,2.54,2.3,82.61,69.2,73.5,6,5.1,10.72,8.73,87,5,0
2020-04-10,3843,104,2.71,2.6,82.69,69.2,73.0,7,6.39,11.41,9.21,99,5,0
2020-04-11,4030,116,2.88,2.9,81.9,69.2,74.0,9,6.8100000000000005,9.32,11.65,111,5,0
2020-04-12,4200,129,3.07,3.23,82.17,69.2,74.0,9,7.02,11.7,9.53,122,5,2
2020-04-13,4418,136,3.08,3.4,80.15,69.2,73.0,10,7.04,9.81,11.69,129,5,2
2020-04-14,4573,155,3.39,3.88,81.94,69.2,73.0,10,6.77,10.08,11.38,148,5,2
2020-04-15,4738,171,3.61,4.28,81.87,69.2,71.0,14,6.52,9.86,11.31,164,5,2
2020-04-16,4840,184,3.8,4.6,82.61,69.2,71.5,21,6.3,11.51,10.08,177,5,2
2020-04-17,4935,204,4.13,5.1,82.84,69.2,72.0,26,6.18,11.33,10.35,197,5,2
2020-04-18,4980,215,4.32,5.38,82.33,69.2,72.0,35,6.2,10.39,11.15,208,5,2
2020-04-19,5001,234,4.68,5.85,81.2,69.2,72.0,43,6.26,11.09,10.5,227,5,2
2020-04-20,5038,255,5.06,6.38,81.57,69.2,72.0,49,6.23,10.83,11.07,248,5,2
2020-04-21,5066,269,5.31,6.73,80.3,69.2,72.0,60,6.17,11.07,11.07,262,5,2
2020-04-22,5095,280,5.5,7,80.71,69.2,72.0,72,6.15,10.98,11.08,273,5,2
2020-04-23,5118,287,5.61,7.18,80.14,69.2,72.0,84,6.11,10.97,11.32,280,5,2
2020-04-24,5121,293,5.72,7.33,80.2,69.2,72.0,92,6.13,11.31,10.87,286,5,2
