Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1395,4,0.29,0.08,100,68.86,76.0,0,,36.0,11.0,0,0,0
2020-03-25,1584,6,0.38,0.12,100,68.86,75.5,0,,11.0,20.0,0,0,0
2020-03-26,1760,9,0.51,0.18,88.89,68.86,83.0,0,,11.0,20.0,0,0,0
2020-03-27,1903,12,0.63,0.24,83.33,68.86,83.5,0,6.0,11.75,9.67,0,0,0
2020-03-28,2012,14,0.7,0.28,85.71,68.86,77.5,0,6.0,11.75,9.67,0,0,0
2020-03-29,2108,18,0.85,0.36,83.33,68.86,73.0,0,4.67,9.14,12.0,0,0,0
2020-03-30,2247,22,0.98,0.44,81.82,68.86,75.5,0,4.67,9.6,13.33,0,0,0
2020-03-31,2364,25,1.06,0.5,84,68.86,74.0,0,4.6,8.62,12.38,0,0,0
2020-04-01,2567,27,1.05,0.54,85.19,68.86,75.0,0,4.6,9.43,12.38,0,0,0
2020-04-02,2709,36,1.33,0.72,75,68.86,74.5,0,3.29,11.92,9.19,0,0,0
2020-04-03,2835,45,1.59,0.9,71.11,68.86,75.0,0,4.92,12.42,9.48,0,0,0
2020-04-04,2992,52,1.74,1.04,75,68.86,74.0,0,4.93,11.71,8.74,0,0,0
2020-04-05,3141,60,1.91,1.2,78.33,68.86,74.0,2,5.12,9.24,12.75,0,0,0
2020-04-06,3329,72,2.16,1.44,79.17,68.86,74.0,2,5.67,12.76,9.31,0,0,0
2020-04-07,3537,79,2.23,1.58,81.01,68.86,73.0,2,5.74,12.19,9.19,0,0,0
2020-04-08,3769,87,2.31,1.74,82.76,68.86,73.0,2,5.83,9.44,12.22,0,0,0
2020-04-09,4025,99,2.46,1.98,80.81,68.86,74.0,4,5.85,9.24,12.19,0,0,0
2020-04-10,4361,111,2.55,2.22,81.08,68.86,74.0,4,7.06,12.89,9.84,0,0,0
2020-04-11,4672,124,2.65,2.48,80.65,68.86,74.0,5,7.38,10.15,12.96,0,0,0
2020-04-12,4984,138,2.77,2.76,80.43,68.86,74.0,5,7.74,10.25,13.1,0,0,0
2020-04-13,5375,145,2.7,2.9,78.62,68.86,73.0,5,7.6,12.94,10.46,0,0,0
2020-04-14,5712,165,2.89,3.3,80,68.86,73.0,5,7.73,10.93,12.48,0,0,0
2020-04-15,6052,183,3.02,3.66,80.33,68.86,71.0,7,7.46,12.26,10.78,0,0,0
2020-04-16,6358,199,3.13,3.98,80.9,68.86,71.0,9,7.21,12.32,10.9,0,0,0
2020-04-17,6665,222,3.33,4.44,80.63,68.86,72.0,10,6.92,12.17,11.08,0,0,0
2020-04-18,6897,239,3.47,4.78,80.33,68.86,72.0,15,7.02,11.06,12.26,0,0,0
2020-04-19,7138,262,3.67,5.24,79.77,68.86,71.5,23,7.0,12.09,11.07,0,0,0
2020-04-20,7476,293,3.92,5.86,79.86,68.86,72.0,25,6.6,12.06,11.38,0,0,0
2020-04-21,7669,318,4.15,6.36,77.99,68.86,71.5,29,6.69,12.02,11.51,0,0,0
2020-04-22,7869,340,4.32,6.8,77.94,68.86,72.0,34,6.68,11.81,11.34,0,0,0
2020-04-23,8011,361,4.51,7.22,77.84,68.86,72.0,36,7.06,11.41,11.98,0,0,0
2020-04-24,8174,401,4.91,8.02,77.06,68.86,72.0,42,6.98,11.7,11.4,0,0,0
2020-04-25,8296,435,5.24,8.7,75.86,68.86,72.0,47,7.03,11.44,11.73,0,0,0
2020-04-26,8387,485,5.78,9.7,75.26,68.86,72.0,49,6.8100000000000005,11.29,11.58,0,0,0
2020-04-27,8453,515,6.09,10.3,75.15,68.86,72.0,60,6.78,11.32,11.58,0,0,0
2020-04-28,8501,548,6.45,10.96,75.55,68.86,72.0,68,6.63,11.51,11.31,0,0,0
2020-04-29,8549,588,6.88,11.76,75.17,68.86,72.0,94,6.5600000000000005,11.25,11.46,0,0,0
2020-04-30,8592,631,7.34,12.62,74.17,68.86,72.0,117,6.61,11.35,11.39,0,0,0
2020-05-01,8652,664,7.67,13.28,73.19,68.86,72.0,137,6.63,11.29,11.45,0,0,0
2020-05-02,8674,680,7.84,13.6,72.65,68.86,72.0,161,6.71,11.34,11.59,0,0,0
2020-05-03,8681,693,7.98,13.86,72.87,68.86,72.0,178,6.71,11.67,11.29,0,0,0
2020-05-04,8686,693,7.98,13.86,72.87,68.86,72.0,179,6.71,11.67,11.29,0,0,0
