Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1401,3,0.21,0.06,100,68.71,84.0,0,,,36.0,0,0,0
2020-03-25,1589,5,0.31,0.1,100,68.71,83.0,0,,,20.0,0,0,0
2020-03-26,1761,8,0.45,0.17,87.5,68.71,83.5,0,,20.0,,0,0,0
2020-03-27,1903,11,0.58,0.23,81.82,68.71,84.0,0,6.0,9.0,11.75,0,0,0
2020-03-28,2010,13,0.65,0.27,84.62,68.71,83.0,0,6.0,9.0,11.75,0,0,0
2020-03-29,2106,17,0.81,0.35,82.35,68.71,74.0,0,4.5,12.25,9.14,0,0,0
2020-03-30,2243,21,0.94,0.44,80.95,68.71,77.0,0,4.5,9.6,13.8,0,0,0
2020-03-31,2362,24,1.02,0.5,83.33,68.71,75.5,0,4.5,8.62,12.57,0,0,0
2020-04-01,2563,26,1.01,0.54,84.62,68.71,76.0,0,4.5,12.57,9.43,0,0,0
2020-04-02,2702,35,1.3,0.73,74.29,68.71,75.0,0,3.38,12.73,9.19,0,0,0
2020-04-03,2828,44,1.56,0.92,70.45,68.71,75.0,0,4.85,13.0,9.48,0,0,0
2020-04-04,2983,51,1.71,1.06,74.51,68.71,74.0,0,5.0,12.27,8.86,0,0,0
2020-04-05,3134,59,1.88,1.23,77.97,68.71,74.0,2,5.16,13.52,9.34,0,0,0
2020-04-06,3321,71,2.14,1.48,78.87,68.71,74.0,2,5.65,13.41,9.39,0,0,0
2020-04-07,3529,78,2.21,1.63,80.77,68.71,73.5,2,5.72,9.26,12.77,0,0,0
2020-04-08,3765,86,2.28,1.79,82.56,68.71,73.5,2,5.8100000000000005,9.35,12.78,0,0,0
2020-04-09,4014,98,2.44,2.04,80.61,68.71,74.0,4,5.83,9.17,12.68,0,0,0
2020-04-10,4353,110,2.53,2.29,80.91,68.71,74.0,4,6.89,13.28,9.8,0,0,0
2020-04-11,4661,123,2.64,2.56,80.49,68.71,74.0,5,7.21,13.29,10.11,0,0,0
2020-04-12,4976,137,2.75,2.85,80.29,68.71,74.0,5,7.57,10.21,13.44,0,0,0
2020-04-13,5357,144,2.69,3,78.47,68.71,73.5,5,7.45,13.25,10.43,0,0,0
2020-04-14,5688,164,2.88,3.42,79.88,68.71,73.0,5,7.48,12.67,10.91,0,0,0
2020-04-15,6021,182,3.02,3.79,80.22,68.71,71.0,7,7.27,12.39,10.76,0,0,0
2020-04-16,6309,198,3.14,4.13,80.81,68.71,71.5,9,7.06,12.45,10.88,0,0,0
2020-04-17,6605,221,3.35,4.6,80.54,68.71,72.0,11,6.8,11.06,12.28,0,0,0
2020-04-18,6832,237,3.47,4.94,80.59,68.71,72.0,17,6.91,12.31,11.05,0,0,0
2020-04-19,7053,260,3.69,5.42,80,68.71,72.0,25,6.83,12.11,11.05,0,0,0
2020-04-20,7362,290,3.94,6.04,80,68.71,72.0,27,6.47,11.36,12.08,0,0,0
2020-04-21,7530,315,4.18,6.56,78.1,68.71,72.0,31,6.6,12.04,11.49,0,0,0
2020-04-22,7700,337,4.38,7.02,78.04,68.71,72.0,36,6.59,11.31,11.83,0,0,0
2020-04-23,7812,358,4.58,7.46,77.93,68.71,72.0,38,6.96,11.39,12.0,0,0,0
2020-04-24,7934,397,5,8.27,77.33,68.71,72.0,45,6.9,11.74,11.38,0,0,0
2020-04-25,8011,427,5.33,8.9,76.35,68.71,72.0,54,6.98,11.77,11.46,0,0,0
2020-04-26,8074,472,5.85,9.83,75.85,68.71,72.0,64,6.78,11.62,11.36,0,0,0
2020-04-27,8107,500,6.17,10.42,75.6,68.71,72.0,78,6.8,11.61,11.38,0,0,0
2020-04-28,8141,526,6.46,10.96,76.24,68.71,72.0,92,6.73,11.46,11.41,0,0,0
2020-04-29,8179,554,6.77,11.54,75.63,68.71,72.0,127,6.66,11.47,11.38,0,0,0
2020-04-30,8204,582,7.09,12.13,75.09,68.71,72.0,155,6.71,11.32,11.64,0,0,0
2020-05-01,8231,594,7.22,12.38,75.08,68.71,72.0,171,6.75,11.71,11.25,0,0,0
2020-05-02,8231,595,7.23,12.4,74.96,68.71,72.0,171,6.75,11.26,11.73,0,0,0
