Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1302,2,0.15,0.05,100,69.62,62.5,0,,,36.0,2,0,0
2020-03-25,1484,4,0.27,0.1,100,69.62,74.0,0,,,12.5,4,0,0
2020-03-26,1652,7,0.42,0.18,85.71,69.62,83.0,0,,,12.5,7,0,0
2020-03-27,1796,10,0.56,0.25,80,69.62,83.5,0,6.0,10.0,7.8,9,1,0
2020-03-28,1901,12,0.63,0.3,83.33,69.62,77.5,0,6.0,7.8,10.0,11,1,0
2020-03-29,1987,16,0.81,0.4,81.25,69.62,73.0,0,4.5,11.43,7.62,14,2,0
2020-03-30,2112,19,0.9,0.48,84.21,69.62,74.0,0,4.5,14.0,8.56,17,2,0
2020-03-31,2230,22,0.99,0.55,86.36,69.62,73.0,0,3.6,13.23,8.05,20,2,0
2020-04-01,2395,24,1,0.6,87.5,69.62,74.5,0,3.6,13.23,8.65,22,2,0
2020-04-02,2524,33,1.31,0.83,75.76,69.62,74.0,0,2.63,8.54,13.0,30,3,0
2020-04-03,2641,41,1.55,1.03,73.17,69.62,75.0,0,4.25,12.04,8.31,38,3,0
2020-04-04,2768,48,1.73,1.2,77.08,69.62,74.0,0,4.38,7.9,11.37,45,3,0
2020-04-05,2897,56,1.93,1.4,80.36,69.62,74.0,2,4.5600000000000005,8.42,12.17,51,5,0
2020-04-06,3056,67,2.19,1.68,80.6,69.62,74.0,2,5.3,12.0,8.58,62,5,0
2020-04-07,3226,74,2.29,1.85,82.43,69.62,73.0,2,5.14,11.37,8.45,69,5,0
2020-04-08,3399,81,2.38,2.03,83.95,69.62,73.0,3,5.24,11.68,9.17,76,5,0
2020-04-09,3571,92,2.58,2.3,82.61,69.62,73.5,6,4.86,9.04,11.17,87,5,0
2020-04-10,3757,104,2.77,2.6,82.69,69.62,73.0,8,5.95,11.73,9.44,99,5,0
2020-04-11,3906,116,2.97,2.9,81.9,69.62,74.0,9,6.31,9.73,11.79,111,5,0
2020-04-12,4049,129,3.19,3.23,82.17,69.62,74.0,9,6.52,11.96,9.97,122,5,2
2020-04-13,4219,136,3.22,3.4,80.15,69.62,73.0,10,6.57,11.96,10.15,129,5,2
2020-04-14,4339,155,3.57,3.88,81.94,69.62,73.0,12,6.7,11.64,10.5,148,5,2
2020-04-15,4458,171,3.84,4.28,82.46,69.62,71.0,16,6.47,11.47,10.36,164,5,2
2020-04-16,4530,183,4.04,4.58,83.06,69.62,71.0,25,6.32,11.62,10.55,176,5,2
2020-04-17,4602,203,4.41,5.08,83.25,69.62,72.0,29,6.31,11.49,10.75,196,5,2
2020-04-18,4630,213,4.6,5.33,83.1,69.62,72.0,37,6.35,11.47,10.98,206,5,2
2020-04-19,4641,231,4.98,5.78,81.82,69.62,72.0,48,6.4,11.04,11.43,224,5,2
2020-04-20,4670,249,5.33,6.23,81.93,69.62,72.0,55,6.3,11.43,11.39,242,5,2
2020-04-21,4679,261,5.58,6.53,80.84,69.62,72.0,67,6.16,11.37,11.49,254,5,2
2020-04-22,4700,268,5.7,6.7,80.97,69.62,72.0,79,6.14,11.34,11.55,261,5,2
2020-04-23,4702,271,5.76,6.78,81.18,69.62,72.0,82,6.1,11.77,11.34,264,5,2
2020-04-24,4702,271,5.76,6.78,81.18,69.62,72.0,82,6.1,11.34,11.77,264,5,2
