Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1403,4,0.29,0.08,100,68.83,76.0,0,,11.0,36.0,0,0,0
2020-03-25,1592,6,0.38,0.13,100,68.83,75.5,0,,20.0,11.0,0,0,0
2020-03-26,1770,9,0.51,0.19,88.89,68.83,83.0,0,,11.0,20.0,0,0,0
2020-03-27,1910,12,0.63,0.25,83.33,68.83,83.5,0,6.0,9.67,11.75,0,0,0
2020-03-28,2017,14,0.69,0.29,85.71,68.83,77.5,0,6.0,11.75,9.67,0,0,0
2020-03-29,2114,18,0.85,0.38,83.33,68.83,73.0,0,4.5,11.83,9.13,0,0,0
2020-03-30,2252,22,0.98,0.46,81.82,68.83,75.5,0,4.5,9.73,13.29,0,0,0
2020-03-31,2371,25,1.05,0.52,84,68.83,74.0,0,4.5,8.79,12.44,0,0,0
2020-04-01,2571,27,1.05,0.56,85.19,68.83,75.0,0,4.5,9.53,12.44,0,0,0
2020-04-02,2712,36,1.33,0.75,75,68.83,74.5,0,3.38,12.62,9.27,0,0,0
2020-04-03,2837,45,1.59,0.94,71.11,68.83,75.0,0,4.85,12.89,9.53,0,0,0
2020-04-04,2993,52,1.74,1.08,75,68.83,74.0,0,5.0,12.25,8.92,0,0,0
2020-04-05,3144,60,1.91,1.25,78.33,68.83,74.0,2,5.16,9.38,13.41,0,0,0
2020-04-06,3333,72,2.16,1.5,79.17,68.83,74.0,2,5.65,9.42,13.32,0,0,0
2020-04-07,3537,79,2.23,1.65,81.01,68.83,73.0,2,5.72,9.29,12.73,0,0,0
2020-04-08,3773,87,2.31,1.81,82.76,68.83,73.0,2,5.8100000000000005,9.37,12.74,0,0,0
2020-04-09,4025,99,2.46,2.06,80.81,68.83,74.0,4,5.83,9.19,12.57,0,0,0
2020-04-10,4367,111,2.54,2.31,81.08,68.83,74.0,4,6.97,9.79,13.2,0,0,0
2020-04-11,4675,124,2.65,2.58,80.65,68.83,74.0,5,7.29,10.1,13.22,0,0,0
2020-04-12,4992,138,2.76,2.88,80.43,68.83,74.0,5,7.64,10.2,13.38,0,0,0
2020-04-13,5376,145,2.7,3.02,78.62,68.83,73.0,5,7.52,13.2,10.42,0,0,0
2020-04-14,5706,165,2.89,3.44,80,68.83,73.0,5,7.54,12.74,10.89,0,0,0
2020-04-15,6042,183,3.03,3.81,80.33,68.83,71.0,7,7.31,12.46,10.75,0,0,0
2020-04-16,6331,199,3.14,4.15,80.9,68.83,71.0,9,7.09,12.51,10.87,0,0,0
2020-04-17,6633,222,3.35,4.63,80.63,68.83,72.0,11,6.83,12.34,11.05,0,0,0
2020-04-18,6866,238,3.47,4.96,80.67,68.83,72.0,18,6.94,11.06,12.37,0,0,0
2020-04-19,7088,261,3.68,5.44,80.08,68.83,72.0,26,6.85,11.06,12.16,0,0,0
2020-04-20,7401,291,3.93,6.06,80.07,68.83,72.0,28,6.49,12.13,11.37,0,0,0
2020-04-21,7571,316,4.17,6.58,78.16,68.83,72.0,32,6.62,12.08,11.5,0,0,0
2020-04-22,7750,338,4.36,7.04,78.11,68.83,72.0,37,6.61,11.32,11.87,0,0,0
2020-04-23,7869,359,4.56,7.48,77.99,68.83,72.0,39,6.98,12.04,11.4,0,0,0
2020-04-24,7997,398,4.98,8.29,77.39,68.83,72.0,46,6.92,11.42,11.77,0,0,0
2020-04-25,8076,430,5.32,8.96,76.28,68.83,72.0,53,6.99,11.45,11.8,0,0,0
2020-04-26,8142,479,5.88,9.98,75.57,68.83,72.0,56,6.78,11.65,11.31,0,0,0
2020-04-27,8182,508,6.21,10.58,75.39,68.83,72.0,68,6.78,11.64,11.32,0,0,0
2020-04-28,8219,537,6.53,11.19,75.98,68.83,72.0,80,6.69,11.36,11.44,0,0,0
2020-04-29,8258,569,6.89,11.85,75.4,68.83,72.0,114,6.62,11.33,11.41,0,0,0
2020-04-30,8282,610,7.37,12.71,74.43,68.83,72.0,138,6.68,11.35,11.47,0,0,0
2020-05-01,8309,634,7.63,13.21,73.82,68.83,72.0,151,6.69,11.54,11.26,0,0,0
2020-05-02,8309,638,7.68,13.29,73.51,68.83,72.0,156,6.74,11.26,11.58,0,0,0
