Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos na hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1291,2,0.15,0.05,100,69.09,62.5,0,,36.0,,2,0,0
2020-03-25,1472,4,0.27,0.1,100,69.09,74.0,0,,,12.5,4,0,0
2020-03-26,1640,7,0.43,0.18,85.71,69.09,83.0,0,,,12.5,7,0,0
2020-03-27,1783,10,0.56,0.26,80,69.09,83.5,0,6,9,8,9,1,0
2020-03-28,1885,12,0.64,0.31,83.33,69.09,77.5,0,6,9,8,11,1,0
2020-03-29,1972,16,0.81,0.41,81.25,69.09,73.0,0,4.5,11.2,7.55,14,2,0
2020-03-30,2094,19,0.91,0.49,84.21,69.09,74.0,0,4.5,8.64,14.5,17,2,0
2020-03-31,2212,22,0.99,0.56,86.36,69.09,73.0,0,3.6,13.45,8.06,20,2,0
2020-04-01,2374,24,1.01,0.62,87.5,69.09,74.5,0,3.6,8.72,13.45,22,2,0
2020-04-02,2498,32,1.28,0.82,78.13,69.09,74.5,0,2.63,8.91,12.77,29,3,0
2020-04-03,2613,40,1.53,1.03,75,69.09,75.0,0,4.25,11.76,8.56,37,3,0
2020-04-04,2732,47,1.72,1.21,78.72,69.09,74.0,0,4.38,11.07,8.08,44,3,0
2020-04-05,2862,55,1.92,1.41,81.82,69.09,74.0,2,4.5600000000000005,12.0,8.6,50,5,0
2020-04-06,3013,66,2.19,1.69,81.82,69.09,74.0,2,5.3,11.85,8.74,61,5,0
2020-04-07,3176,73,2.3,1.87,83.56,69.09,73.0,2,5.14,11.2,8.58,68,5,0
2020-04-08,3341,80,2.39,2.05,85,69.09,73.0,3,5.24,11.55,9.17,75,5,0
2020-04-09,3504,91,2.6,2.33,83.52,69.09,74.0,6,4.86,8.87,10.93,86,5,0
2020-04-10,3667,103,2.81,2.64,83.5,69.09,73.0,8,5.95,9.31,11.55,98,5,0
2020-04-11,3799,115,3.03,2.95,82.61,69.09,74.0,9,6.31,9.63,11.64,110,5,0
2020-04-12,3923,127,3.24,3.26,82.68,69.09,74.0,10,6.52,9.88,11.83,120,5,2
2020-04-13,4064,134,3.3,3.44,80.6,69.09,73.0,11,6.57,11.81,10.09,127,5,2
2020-04-14,4167,153,3.67,3.92,82.35,69.09,73.0,13,6.7,11.44,10.5,146,5,2
2020-04-15,4262,169,3.97,4.33,82.84,69.09,71.0,17,6.46,11.3,10.31,162,5,2
2020-04-16,4320,179,4.14,4.59,83.24,69.09,71.0,27,6.31,10.55,11.48,172,5,2
2020-04-17,4374,195,4.46,5,83.08,69.09,72.0,33,6.19,11.36,10.84,188,5,2
2020-04-18,4396,204,4.64,5.23,82.84,69.09,71.5,42,6.22,11.07,11.31,197,5,2
2020-04-19,4402,217,4.93,5.56,81.57,69.09,72.0,54,6.25,11.18,11.28,210,5,2
2020-04-20,4424,227,5.13,5.82,81.94,69.09,72.0,66,6.15,11.48,11.27,220,5,2
2020-04-21,4428,237,5.35,6.08,81.01,69.09,72.0,77,6.02,11.59,11.21,230,5,2
2020-04-22,4437,239,5.39,6.13,81.17,69.09,72.0,81,6.02,11.2,11.63,232,5,2
2020-04-23,4437,239,5.39,6.13,81.17,69.09,72.0,81,6.02,11.63,11.2,232,5,2
