Data,idMunicipio,municipio,qtdConfirmado,tipo,Obitos
2020-03-20,230810,MAURITI,1,Confirmado,0
2020-03-20,231130,QUIXADA,2,Confirmado,0
2020-03-20,231220,SANTA QUITERIA,1,Confirmado,0
2020-03-20,231290,SOBRAL,6,Confirmado,0
2020-03-20,231340,TIANGUA,1,Confirmado,0
2020-03-21,230100,AQUIRAZ,22,Confirmado,0
2020-03-21,230110,ARACATI,2,Confirmado,0
2020-03-21,230195,BARREIRA,1,Confirmado,0
2020-03-21,230220,BEBERIBE,1,Confirmado,0
2020-03-21,230370,CAUCAIA,2,Confirmado,0
2020-03-21,230428,EUSEBIO,2,Confirmado,0
2020-03-21,230430,FARIAS BRITO,1,Confirmado,0
2020-03-21,230440,FORTALEZA,492,Confirmado,0
2020-03-21,230445,FORTIM,1,Confirmado,0
2020-03-21,230523,HORIZONTE,4,Confirmado,0
2020-03-21,230550,IGUATU,3,Confirmado,0
2020-03-21,230565,IPAPORANGA,1,Confirmado,0
2020-03-21,230590,IPUEIRAS,1,Confirmado,0
2020-03-21,230630,ITAPAJE,1,Confirmado,0
2020-03-21,230690,JAGUARIBE,1,Confirmado,0
2020-03-21,230730,JUAZEIRO DO NORTE,3,Confirmado,0
2020-03-21,230760,LIMOEIRO DO NORTE,2,Confirmado,0
2020-03-21,230765,MARACANAU,6,Confirmado,0
2020-03-21,230770,MARANGUAPE,2,Confirmado,0
2020-03-21,230810,MAURITI,1,Confirmado,0
2020-03-21,230850,MOMBACA,1,Confirmado,0
2020-03-21,231130,QUIXADA,4,Confirmado,0
2020-03-21,231220,SANTA QUITERIA,1,Confirmado,0
2020-03-21,231290,SOBRAL,9,Confirmado,0
2020-03-21,231340,TIANGUA,1,Confirmado,0
2020-03-22,230100,AQUIRAZ,28,Confirmado,0
2020-03-22,230110,ARACATI,3,Confirmado,0
2020-03-22,230195,BARREIRA,1,Confirmado,0
2020-03-22,230220,BEBERIBE,1,Confirmado,0
2020-03-22,230370,CAUCAIA,7,Confirmado,0
2020-03-22,230428,EUSEBIO,2,Confirmado,0
2020-03-22,230430,FARIAS BRITO,1,Confirmado,0
2020-03-22,230440,FORTALEZA,588,Confirmado,0
2020-03-22,230445,FORTIM,1,Confirmado,0
2020-03-22,230523,HORIZONTE,4,Confirmado,0
2020-03-22,230550,IGUATU,3,Confirmado,0
2020-03-22,230565,IPAPORANGA,1,Confirmado,0
2020-03-22,230590,IPUEIRAS,2,Confirmado,0
2020-03-22,230620,ITAICABA,1,Confirmado,0
2020-03-22,230625,ITAITINGA,1,Confirmado,0
2020-03-22,230630,ITAPAJE,1,Confirmado,0
2020-03-22,230690,JAGUARIBE,1,Confirmado,0
2020-03-22,230730,JUAZEIRO DO NORTE,3,Confirmado,0
2020-03-22,230760,LIMOEIRO DO NORTE,2,Confirmado,0
2020-03-22,230765,MARACANAU,6,Confirmado,0
2020-03-22,230770,MARANGUAPE,2,Confirmado,0
2020-03-22,230810,MAURITI,1,Confirmado,0
2020-03-22,230850,MOMBACA,1,Confirmado,0
2020-03-22,231130,QUIXADA,6,Confirmado,0
2020-03-22,231220,SANTA QUITERIA,1,Confirmado,0
2020-03-22,231290,SOBRAL,9,Confirmado,0
2020-03-22,231340,TIANGUA,1,Confirmado,0
2020-03-23,230100,AQUIRAZ,28,Confirmado,0
2020-03-23,230110,ARACATI,3,Confirmado,0
2020-03-23,230195,BARREIRA,1,Confirmado,0
2020-03-23,230220,BEBERIBE,2,Confirmado,0
2020-03-23,230350,CASCAVEL,1,Confirmado,0
2020-03-23,230370,CAUCAIA,11,Confirmado,0
2020-03-23,230420,CRATO,1,Confirmado,0
2020-03-23,230428,EUSEBIO,3,Confirmado,0
2020-03-23,230430,FARIAS BRITO,1,Confirmado,0
2020-03-23,230440,FORTALEZA,703,Confirmado,0
2020-03-23,230445,FORTIM,1,Confirmado,0
2020-03-23,230523,HORIZONTE,4,Confirmado,0
2020-03-23,230550,IGUATU,3,Confirmado,0
2020-03-23,230565,IPAPORANGA,1,Confirmado,0
2020-03-23,230590,IPUEIRAS,2,Confirmado,0
2020-03-23,230620,ITAICABA,1,Confirmado,0
2020-03-23,230625,ITAITINGA,1,Confirmado,0
2020-03-23,230630,ITAPAJE,1,Confirmado,0
2020-03-23,230640,ITAPIPOCA,1,Confirmado,0
2020-03-23,230690,JAGUARIBE,1,Confirmado,0
2020-03-23,230730,JUAZEIRO DO NORTE,3,Confirmado,0
2020-03-23,230760,LIMOEIRO DO NORTE,2,Confirmado,0
2020-03-23,230765,MARACANAU,8,Confirmado,0
2020-03-23,230770,MARANGUAPE,2,Confirmado,0
2020-03-23,230810,MAURITI,1,Confirmado,0
2020-03-23,230850,MOMBACA,1,Confirmado,0
2020-03-23,230940,NOVO ORIENTE,2,Confirmado,0
2020-03-23,230970,PACATUBA,1,Confirmado,0
2020-03-23,231130,QUIXADA,6,Confirmado,0
2020-03-23,231140,QUIXERAMOBIM,1,Confirmado,0
2020-03-23,231150,QUIXERE,1,Confirmado,0
2020-03-23,231220,SANTA QUITERIA,1,Confirmado,0
2020-03-23,231270,SENADOR POMPEU,1,Confirmado,0
2020-03-23,231290,SOBRAL,10,Confirmado,0
2020-03-23,231310,TABULEIRO DO NORTE,1,Confirmado,0
2020-03-23,231340,TIANGUA,2,Confirmado,0
2020-03-23,231350,TRAIRI,1,Confirmado,0
2020-03-24,230100,AQUIRAZ,28,Confirmado,0
2020-03-24,230110,ARACATI,3,Confirmado,0
2020-03-24,230195,BARREIRA,1,Confirmado,0
2020-03-24,230220,BEBERIBE,2,Confirmado,0
2020-03-24,230350,CASCAVEL,1,Confirmado,0
2020-03-24,230370,CAUCAIA,14,Confirmado,0
2020-03-24,230420,CRATO,1,Confirmado,0
2020-03-24,230428,EUSEBIO,4,Confirmado,0
2020-03-24,230430,FARIAS BRITO,1,Confirmado,0
2020-03-24,230440,FORTALEZA,829,Confirmado,2
2020-03-24,230445,FORTIM,1,Confirmado,0
2020-03-24,230523,HORIZONTE,4,Confirmado,0
2020-03-24,230550,IGUATU,3,Confirmado,0
2020-03-24,230565,IPAPORANGA,1,Confirmado,0
2020-03-24,230590,IPUEIRAS,2,Confirmado,0
2020-03-24,230620,ITAICABA,1,Confirmado,0
2020-03-24,230625,ITAITINGA,1,Confirmado,0
2020-03-24,230630,ITAPAJE,1,Confirmado,0
2020-03-24,230640,ITAPIPOCA,2,Confirmado,0
2020-03-24,230690,JAGUARIBE,3,Confirmado,0
2020-03-24,230730,JUAZEIRO DO NORTE,3,Confirmado,0
2020-03-24,230760,LIMOEIRO DO NORTE,2,Confirmado,0
2020-03-24,230765,MARACANAU,11,Confirmado,0
2020-03-24,230770,MARANGUAPE,2,Confirmado,0
2020-03-24,230810,MAURITI,1,Confirmado,0
2020-03-24,230850,MOMBACA,1,Confirmado,0
2020-03-24,230940,NOVO ORIENTE,2,Confirmado,0
2020-03-24,230970,PACATUBA,1,Confirmado,0
