Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,2607,116,2,0,16,10,2,0,33,0.0,CE
2020-02-16,2607,116,2,0,16,12,2,0,34,0.0,CE
2020-02-17,2607,116,2,0,17,14,2,0,37,0.0,CE
2020-02-18,2607,116,2,0,17,15,2,0,38,0.0,CE
2020-02-19,2607,116,2,0,19,15,2,0,40,0.0,CE
2020-02-20,2608,116,2,0,22,16,3,0,45,0.0,CE
2020-02-21,2608,116,2,0,24,17,3,0,49,0.0,CE
2020-02-22,2608,116,3,0,24,20,3,0,54,0.0,CE
2020-02-23,2608,116,3,0,27,21,4,0,61,0.0,CE
2020-02-24,2612,116,3,0,28,21,4,0,64,0.0,CE
2020-02-25,2612,117,4,0,29,21,4,0,73,0.0,CE
2020-02-26,2612,117,4,0,32,21,4,0,75,0.0,CE
2020-02-27,2612,120,5,0,33,21,4,0,79,0.0,CE
2020-02-28,2612,125,5,0,38,21,4,0,87,0.0,CE
2020-02-29,2612,129,7,0,40,21,4,0,92,0.0,CE
2020-03-01,2614,131,8,0,61,24,4,0,100,0.0,CE
2020-03-02,2630,132,9,0,72,27,5,0,108,0.0,CE
2020-03-03,2631,136,9,0,79,29,6,0,114,0.0,CE
2020-03-04,2637,141,10,0,89,31,6,0,136,0.0,CE
2020-03-05,2641,143,13,1,101,34,6,0,154,0.0,CE
2020-03-06,2651,149,15,1,116,36,7,0,162,0.0,CE
2020-03-07,2660,151,16,1,133,40,8,0,174,0.0,CE
2020-03-08,2662,151,19,3,143,44,10,0,192,0.0,CE
2020-03-09,2671,157,21,4,165,47,10,0,208,0.0,CE
2020-03-10,2677,165,26,4,196,51,11,0,242,0.0,CE
2020-03-11,2700,174,29,4,229,56,11,0,265,0.0,CE
2020-03-12,2738,189,33,8,281,73,11,0,293,0.0,CE
2020-03-13,2770,215,35,9,342,96,15,0,336,0.0,CE
2020-03-14,2824,232,39,11,438,129,17,0,385,0.0,CE
2020-03-15,2859,243,47,13,556,159,18,0,446,0.0,CE
2020-03-16,3000,321,60,13,780,216,22,0,538,0.0,CE
2020-03-17,3203,376,75,17,1032,283,23,0,648,0.0,CE
2020-03-18,3601,540,98,26,1511,401,26,0,777,0.0,CE
2020-03-19,3978,653,127,29,1914,495,28,0,903,0.0,CE
2020-03-20,4519,879,186,33,2471,686,36,0,1143,0.0,CE
2020-03-21,5009,1138,243,40,2970,853,39,0,1359,0.0,CE
2020-03-22,5478,1403,304,44,3449,997,45,0,1547,0.0,CE
2020-03-23,6050,1884,356,51,4091,1187,51,0,1827,0.0,CE
2020-03-24,6627,2286,395,53,4695,1407,58,4,2057,0.284,CE
2020-03-25,7119,2517,433,60,5209,1596,63,6,2284,0.376,CE
2020-03-26,7619,2832,469,63,5633,1770,69,9,2510,0.508,CE
2020-03-27,7999,3165,501,69,5914,1911,73,12,2782,0.628,CE
2020-03-28,8252,3350,543,73,6131,2018,74,14,3003,0.694,CE
2020-03-29,8515,3503,572,75,6327,2115,76,18,3239,0.851,CE
2020-03-30,8905,3867,608,80,6633,2253,79,22,3533,0.976,CE
2020-03-31,9276,4223,635,86,6826,2374,81,25,3765,1.053,CE
2020-04-01,9578,4584,680,95,7135,2576,86,27,4131,1.048,CE
2020-04-02,9845,5053,711,102,7337,2717,93,36,4397,1.325,CE
2020-04-03,10165,5481,748,110,7539,2843,94,45,4676,1.583,CE
2020-04-04,10410,5651,770,123,7722,2997,100,52,4913,1.735,CE
2020-04-05,10596,5812,809,131,7904,3148,105,60,5195,1.906,CE
2020-04-06,11002,6209,849,139,8156,3337,107,72,5585,2.158,CE
2020-04-07,11400,6631,892,145,8383,3546,110,79,5943,2.228,CE
2020-04-08,11864,7112,936,152,8624,3782,116,87,6276,2.3,CE
2020-04-09,12335,7439,992,161,8962,4031,116,99,6617,2.456,CE
2020-04-10,12677,7646,1059,168,9267,4368,121,111,7157,2.541,CE
2020-04-11,13136,7883,1118,175,9491,4679,123,124,7578,2.65,CE
2020-04-12,13386,8107,1180,179,9713,4993,125,138,8060,2.764,CE
2020-04-13,13906,8563,1259,189,10002,5375,128,145,8646,2.698,CE
2020-04-14,14450,9144,1332,192,10304,5706,131,165,9215,2.892,CE
2020-04-15,15098,9755,1431,196,10634,6043,134,183,9792,3.028,CE
2020-04-16,15892,10390,1531,198,10932,6340,135,199,10344,3.139,CE
2020-04-17,16787,11010,1636,202,11235,6640,139,222,10949,3.343,CE
2020-04-18,17319,11327,1761,206,11443,6875,141,238,11531,3.462,CE
2020-04-19,17645,11627,1893,209,11615,7101,144,261,12147,3.676,CE
2020-04-20,18517,12477,2146,212,11921,7419,146,291,13077,3.922,CE
2020-04-21,18871,12861,2344,212,12067,7590,148,316,13708,4.163,CE
2020-04-22,19731,13266,2567,214,12218,7770,149,338,14377,4.35,CE
2020-04-23,20535,14128,2801,214,12373,7890,150,359,15074,4.55,CE
2020-04-24,21242,15490,3052,214,12457,8018,150,398,15763,4.964,CE
2020-04-25,21621,16290,3310,214,12513,8101,150,430,16346,5.308,CE
2020-04-26,21925,16964,3523,214,12538,8168,150,479,16882,5.864,CE
2020-04-27,22890,18757,3755,214,12614,8209,150,508,17319,6.188,CE
2020-04-28,24096,20585,3965,214,12678,8246,150,537,17558,6.512,CE
2020-04-29,25234,22346,4128,214,12774,8285,150,570,17641,6.88,CE
2020-04-30,26160,23832,4463,214,12813,8308,150,610,17659,7.342,CE
