Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,2602,120,2,0,16,10,2,0,33,0.0,CE
2020-02-16,2602,120,2,0,16,12,2,0,34,0.0,CE
2020-02-17,2602,120,2,0,17,14,2,0,37,0.0,CE
2020-02-18,2602,120,2,0,17,15,2,0,38,0.0,CE
2020-02-19,2602,120,2,0,19,15,2,0,40,0.0,CE
2020-02-20,2603,120,2,0,22,16,3,0,45,0.0,CE
2020-02-21,2603,120,2,0,24,17,3,0,49,0.0,CE
2020-02-22,2603,120,3,0,24,20,3,0,54,0.0,CE
2020-02-23,2603,120,3,0,27,21,4,0,61,0.0,CE
2020-02-24,2607,120,3,0,28,21,4,0,64,0.0,CE
2020-02-25,2607,121,4,0,29,21,4,0,73,0.0,CE
2020-02-26,2607,121,4,0,32,21,4,0,75,0.0,CE
2020-02-27,2607,124,4,0,33,21,4,0,80,0.0,CE
2020-02-28,2607,129,4,0,38,21,4,0,88,0.0,CE
2020-02-29,2607,133,6,0,40,21,4,0,93,0.0,CE
2020-03-01,2609,135,7,0,61,24,4,0,101,0.0,CE
2020-03-02,2625,136,8,0,72,27,5,0,109,0.0,CE
2020-03-03,2626,140,8,0,79,29,6,0,115,0.0,CE
2020-03-04,2632,145,9,0,89,31,6,0,137,0.0,CE
2020-03-05,2636,147,12,1,101,34,6,0,155,0.0,CE
2020-03-06,2646,153,14,1,116,36,7,0,163,0.0,CE
2020-03-07,2655,155,15,1,133,39,8,0,176,0.0,CE
2020-03-08,2657,155,18,3,144,43,10,0,194,0.0,CE
2020-03-09,2666,161,19,4,166,46,10,0,211,0.0,CE
2020-03-10,2672,169,24,4,198,51,11,0,244,0.0,CE
2020-03-11,2695,178,27,4,231,56,11,0,267,0.0,CE
2020-03-12,2733,192,31,7,284,73,11,0,295,0.0,CE
2020-03-13,2765,217,32,8,349,93,15,0,338,0.0,CE
2020-03-14,2819,234,36,10,444,126,17,0,388,0.0,CE
2020-03-15,2854,245,44,12,562,156,18,0,449,0.0,CE
2020-03-16,2995,322,57,12,787,213,22,0,540,0.0,CE
2020-03-17,3198,377,73,16,1040,279,23,0,649,0.0,CE
2020-03-18,3596,540,97,24,1518,398,26,0,777,0.0,CE
2020-03-19,3973,650,126,27,1919,494,28,0,902,0.0,CE
2020-03-20,4514,878,185,31,2476,685,36,0,1141,0.0,CE
2020-03-21,5004,1139,242,38,2973,851,39,0,1360,0.0,CE
2020-03-22,5474,1404,302,42,3452,995,45,0,1549,0.0,CE
2020-03-23,6045,1884,354,49,4095,1182,51,0,1830,0.0,CE
2020-03-24,6623,2287,393,51,4700,1403,58,4,2057,0.285,CE
2020-03-25,7115,2518,431,58,5210,1592,63,6,2286,0.377,CE
2020-03-26,7617,2833,467,61,5635,1770,70,9,2509,0.508,CE
2020-03-27,7997,3164,499,67,5917,1910,74,12,2781,0.628,CE
2020-03-28,8251,3349,542,71,6135,2017,75,14,3000,0.694,CE
2020-03-29,8514,3503,571,73,6330,2114,77,18,3236,0.851,CE
2020-03-30,8904,3861,606,78,6641,2252,80,22,3532,0.977,CE
2020-03-31,9275,4218,633,84,6837,2371,82,25,3761,1.054,CE
2020-04-01,9579,4575,678,93,7149,2571,87,27,4128,1.05,CE
2020-04-02,9846,5041,707,101,7349,2712,94,36,4394,1.327,CE
2020-04-03,10168,5468,744,108,7551,2837,95,45,4675,1.586,CE
2020-04-04,10415,5637,764,123,7736,2993,101,52,4908,1.737,CE
2020-04-05,10603,5798,802,132,7919,3144,106,60,5189,1.908,CE
