Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,2407,128,3,0,16,9,2,0,33,0.0,CE
2020-02-16,2407,128,3,0,16,11,2,0,34,0.0,CE
2020-02-17,2407,128,3,0,17,13,2,0,37,0.0,CE
2020-02-18,2407,128,3,0,17,14,2,0,38,0.0,CE
2020-02-19,2407,128,3,0,19,14,2,0,40,0.0,CE
2020-02-20,2408,128,3,0,22,15,3,0,45,0.0,CE
2020-02-21,2408,128,3,0,24,16,3,0,49,0.0,CE
2020-02-22,2408,128,4,0,24,18,3,0,55,0.0,CE
2020-02-23,2408,128,4,0,27,19,4,0,62,0.0,CE
2020-02-24,2412,128,4,0,28,19,4,0,65,0.0,CE
2020-02-25,2412,129,6,0,29,19,4,0,73,0.0,CE
2020-02-26,2412,129,6,0,32,19,4,0,75,0.0,CE
2020-02-27,2412,132,6,0,33,19,4,0,80,0.0,CE
2020-02-28,2412,137,6,0,38,19,4,0,88,0.0,CE
2020-02-29,2412,141,8,0,40,19,4,0,93,0.0,CE
2020-03-01,2414,143,9,0,61,22,4,0,101,0.0,CE
2020-03-02,2430,144,11,0,72,25,5,0,108,0.0,CE
2020-03-03,2431,148,11,0,79,27,6,0,114,0.0,CE
2020-03-04,2437,153,12,0,89,29,6,0,136,0.0,CE
2020-03-05,2441,155,15,1,101,32,6,0,154,0.0,CE
2020-03-06,2451,161,17,1,116,34,7,0,162,0.0,CE
2020-03-07,2460,163,18,1,133,38,8,0,174,0.0,CE
2020-03-08,2462,163,21,3,143,42,11,0,192,0.0,CE
2020-03-09,2471,169,22,4,165,45,11,0,209,0.0,CE
2020-03-10,2477,177,27,4,196,49,12,0,243,0.0,CE
2020-03-11,2500,186,31,4,229,53,12,0,266,0.0,CE
2020-03-12,2538,201,35,8,281,70,12,0,294,0.0,CE
2020-03-13,2570,227,37,9,346,88,16,0,338,0.0,CE
2020-03-14,2624,244,41,11,443,121,18,0,387,0.0,CE
2020-03-15,2659,255,49,13,561,151,19,0,448,0.0,CE
2020-03-16,2799,333,61,13,786,207,23,0,541,0.0,CE
2020-03-17,3002,388,77,17,1039,273,24,0,650,0.0,CE
