Data,Exames realizados,Suspeitos,Positivo,Municios Afetados,Recuperados,Óbitos,Taxa de letalidade (%),Taxa de recuperacao final (%),Taxa de óbito final (%),Estado
2020-01-01,1252,44,127,3,0,0,0.0,0.0,0.0,CE
2020-01-02,1252,44,129,4,0,0,0.0,0.0,0.0,CE
2020-01-03,1252,44,129,4,0,0,0.0,0.0,0.0,CE
2020-01-04,1252,44,129,4,0,0,0.0,0.0,0.0,CE
2020-01-05,1252,44,130,4,0,0,0.0,0.0,0.0,CE
2020-01-06,1252,46,130,4,0,0,0.0,0.0,0.0,CE
2020-01-07,1252,46,130,4,0,0,0.0,0.0,0.0,CE
2020-01-08,1252,46,130,4,0,0,0.0,0.0,0.0,CE
2020-01-09,1252,46,131,4,0,0,0.0,0.0,0.0,CE
2020-01-10,1252,46,131,4,0,0,0.0,0.0,0.0,CE
2020-01-11,1252,46,131,4,0,0,0.0,0.0,0.0,CE
2020-01-12,1252,46,131,4,0,0,0.0,0.0,0.0,CE
2020-01-13,1252,47,131,4,0,0,0.0,0.0,0.0,CE
2020-01-14,1252,48,131,4,0,0,0.0,0.0,0.0,CE
2020-01-15,1252,50,131,4,0,0,0.0,0.0,0.0,CE
2020-01-16,1252,50,131,4,0,0,0.0,0.0,0.0,CE
2020-01-17,1252,50,131,4,0,0,0.0,0.0,0.0,CE
2020-01-18,1252,51,131,4,0,0,0.0,0.0,0.0,CE
2020-01-19,1252,52,131,4,0,0,0.0,0.0,0.0,CE
2020-01-20,1253,54,132,4,1,0,0.0,100.0,0.0,CE
2020-01-21,1253,54,132,4,1,0,0.0,100.0,0.0,CE
2020-01-22,1253,54,133,5,1,0,0.0,100.0,0.0,CE
2020-01-23,1253,55,133,5,1,0,0.0,100.0,0.0,CE
2020-01-24,1253,55,133,5,1,0,0.0,100.0,0.0,CE
2020-01-25,1253,56,133,5,1,0,0.0,100.0,0.0,CE
2020-01-26,1253,56,134,6,1,0,0.0,100.0,0.0,CE
2020-01-27,1253,56,134,6,1,0,0.0,100.0,0.0,CE
2020-01-28,1253,56,134,6,1,0,0.0,100.0,0.0,CE
2020-01-29,1253,56,134,6,1,0,0.0,100.0,0.0,CE
2020-01-30,1256,57,134,6,1,0,0.0,100.0,0.0,CE
2020-01-31,1256,58,134,6,1,0,0.0,100.0,0.0,CE
2020-02-01,1256,62,135,6,1,0,0.0,100.0,0.0,CE
2020-02-02,1256,66,136,6,1,0,0.0,100.0,0.0,CE
2020-02-03,1256,66,138,6,1,0,0.0,100.0,0.0,CE
2020-02-04,1258,68,138,6,2,0,0.0,100.0,0.0,CE
2020-02-05,1260,73,141,7,3,0,0.0,100.0,0.0,CE
2020-02-06,1260,76,142,8,3,0,0.0,100.0,0.0,CE
2020-02-07,1260,76,144,8,3,0,0.0,100.0,0.0,CE
2020-02-08,1261,77,144,8,4,0,0.0,100.0,0.0,CE
2020-02-09,1261,78,145,8,4,0,0.0,100.0,0.0,CE
2020-02-10,1261,78,146,8,4,0,0.0,100.0,0.0,CE
2020-02-11,1261,81,147,8,4,0,0.0,100.0,0.0,CE
2020-02-12,1263,83,148,8,5,0,0.0,100.0,0.0,CE
2020-02-13,1264,83,148,8,6,0,0.0,100.0,0.0,CE
2020-02-14,1266,87,151,8,6,0,0.0,100.0,0.0,CE
2020-02-15,1269,94,152,8,7,0,0.0,100.0,0.0,CE
2020-02-16,1269,94,153,8,7,0,0.0,100.0,0.0,CE
2020-02-17,1269,97,154,8,7,0,0.0,100.0,0.0,CE
2020-02-18,1269,98,155,8,7,0,0.0,100.0,0.0,CE
2020-02-19,1270,103,156,8,7,0,0.0,100.0,0.0,CE
2020-02-20,1271,112,156,8,7,0,0.0,100.0,0.0,CE
2020-02-21,1271,115,158,8,7,0,0.0,100.0,0.0,CE
2020-02-22,1272,118,163,9,7,0,0.0,100.0,0.0,CE
2020-02-23,1272,128,165,10,7,0,0.0,100.0,0.0,CE
2020-02-24,1273,132,167,10,7,0,0.0,100.0,0.0,CE
2020-02-25,1273,148,169,11,7,0,0.0,100.0,0.0,CE
2020-02-26,1273,154,170,11,7,0,0.0,100.0,0.0,CE
2020-02-27,1273,163,171,11,7,0,0.0,100.0,0.0,CE
2020-02-28,1273,170,172,11,7,0,0.0,100.0,0.0,CE
2020-02-29,1273,177,173,11,7,0,0.0,100.0,0.0,CE
2020-03-01,1275,203,178,11,7,0,0.0,100.0,0.0,CE
2020-03-02,1282,219,182,11,9,0,0.0,100.0,0.0,CE
2020-03-03,1282,237,186,12,9,0,0.0,100.0,0.0,CE
2020-03-04,1284,265,190,12,9,0,0.0,100.0,0.0,CE
2020-03-05,1284,302,196,12,9,0,0.0,100.0,0.0,CE
2020-03-06,1284,320,199,12,9,0,0.0,100.0,0.0,CE
2020-03-07,1289,340,206,14,9,0,0.0,100.0,0.0,CE
2020-03-08,1292,376,217,17,9,0,0.0,100.0,0.0,CE
2020-03-09,1299,417,229,18,9,0,0.0,100.0,0.0,CE
2020-03-10,1299,482,256,19,9,0,0.0,100.0,0.0,CE
2020-03-11,1319,528,280,19,9,0,0.0,100.0,0.0,CE
2020-03-12,1340,587,319,21,9,0,0.0,100.0,0.0,CE
2020-03-13,1368,689,374,24,9,0,0.0,100.0,0.0,CE
2020-03-14,1423,794,427,27,9,0,0.0,100.0,0.0,CE
2020-03-15,1479,944,505,31,10,0,0.0,100.0,0.0,CE
2020-03-16,1697,1159,619,34,12,0,0.0,100.0,0.0,CE
2020-03-17,1906,1404,736,37,14,0,0.0,100.0,0.0,CE
2020-03-18,2283,1677,897,42,17,0,0.0,100.0,0.0,CE
2020-03-19,2713,1963,1042,49,21,0,0.0,100.0,0.0,CE
2020-03-20,3276,2401,1267,57,22,0,0.0,100.0,0.0,CE
2020-03-21,3816,2734,1430,59,27,0,0.0,100.0,0.0,CE
2020-03-22,4304,3061,1567,61,28,0,0.0,100.0,0.0,CE
2020-03-23,5006,3418,1732,67,32,0,0.0,100.0,0.0,CE
2020-03-24,5744,3661,1900,72,41,3,0.158,93.182,6.817999999999998,CE
2020-03-25,6342,3894,2076,77,45,5,0.241,90.0,10.0,CE
2020-03-26,6936,4100,2227,83,52,8,0.359,86.667,13.332999999999998,CE
2020-03-27,7436,4331,2368,87,67,11,0.465,85.897,14.102999999999994,CE
2020-03-28,7757,4536,2488,89,75,13,0.523,85.227,14.772999999999996,CE
2020-03-29,8028,4744,2602,91,78,17,0.653,82.105,17.894999999999996,CE
2020-03-30,8568,5027,2762,94,82,21,0.76,79.612,20.388000000000005,CE
2020-03-31,8971,5237,2888,94,98,24,0.831,80.328,19.671999999999997,CE
2020-04-01,9364,5589,3139,100,123,26,0.828,82.55,17.450000000000003,CE
2020-04-02,9730,5854,3303,107,188,35,1.06,84.305,15.694999999999993,CE
2020-04-03,10072,6136,3461,110,255,44,1.271,85.284,14.715999999999994,CE
2020-04-04,10339,6352,3635,113,309,51,1.403,85.833,14.167000000000002,CE
2020-04-05,10507,6620,3839,119,378,59,1.537,86.499,13.501000000000005,CE
2020-04-06,10964,6953,4065,121,458,71,1.747,86.578,13.421999999999997,CE
2020-04-07,11446,7275,4304,122,565,78,1.812,87.869,12.131,CE
2020-04-08,11960,7572,4579,126,678,86,1.878,88.743,11.257000000000005,CE
2020-04-09,12571,7879,4885,128,781,98,2.006,88.851,11.149000000000001,CE
2020-04-10,12945,8349,5350,137,842,110,2.056,88.445,11.555000000000007,CE
2020-04-11,13383,8719,5723,138,925,123,2.149,88.263,11.736999999999995,CE
2020-04-12,13647,9167,6119,142,971,137,2.239,87.635,12.364999999999995,CE
2020-04-13,14305,9663,6586,142,1090,145,2.202,88.259,11.741,CE
2020-04-14,15066,10102,7108,145,1246,165,2.321,88.306,11.694000000000003,CE
2020-04-15,15785,10613,7686,149,1499,183,2.381,89.12,10.879999999999995,CE
2020-04-16,16583,11054,8182,151,1807,199,2.432,90.08,9.920000000000002,CE
2020-04-17,17520,11521,8762,151,2114,223,2.545,90.458,9.542000000000002,CE
2020-04-18,18087,11971,9325,153,2301,239,2.563,90.591,9.409000000000006,CE
2020-04-19,18455,12440,9956,155,2497,263,2.642,90.471,9.528999999999996,CE
2020-04-20,19568,13295,11033,160,2722,295,2.674,90.222,9.778000000000006,CE
2020-04-21,20233,13841,11718,161,2984,324,2.765,90.206,9.793999999999997,CE
2020-04-22,21391,14459,12504,162,3419,349,2.791,90.738,9.262,CE
2020-04-23,22762,15152,13333,163,3828,373,2.798,91.121,8.879000000000005,CE
2020-04-24,24107,15882,14303,165,4250,422,2.95,90.967,9.033000000000001,CE
2020-04-25,24862,16700,15299,165,4622,465,3.039,90.859,9.141000000000005,CE
2020-04-26,25473,17474,16155,169,5011,519,3.213,90.615,9.385000000000005,CE
2020-04-27,26925,18458,17099,170,5475,566,3.31,90.631,9.369,CE
2020-04-28,28531,19338,18128,172,5992,609,3.359,90.774,9.225999999999999,CE
2020-04-29,30401,20142,18988,173,6401,672,3.539,90.499,9.501000000000005,CE
2020-04-30,32606,21275,20115,174,7218,750,3.729,90.587,9.412999999999997,CE
2020-05-01,33951,22951,21412,177,7779,823,3.844,90.432,9.567999999999998,CE
2020-05-02,35253,24142,22392,177,8262,895,3.997,90.226,9.774000000000001,CE
2020-05-03,36152,25340,23164,177,8731,980,4.231,89.908,10.091999999999999,CE
2020-05-04,38879,26975,24082,177,9637,1065,4.422,90.049,9.950999999999993,CE
2020-05-05,41524,28541,24947,178,10572,1142,4.578,90.251,9.748999999999995,CE
2020-05-06,43980,29890,25642,178,11373,1224,4.773,90.283,9.716999999999999,CE
2020-05-07,46468,31351,26285,178,12092,1299,4.942,90.299,9.700999999999993,CE
2020-05-08,49293,32898,26867,179,12858,1380,5.136,90.308,9.691999999999993,CE
2020-05-09,50628,34400,27351,180,13340,1470,5.375,90.074,9.926000000000002,CE
2020-05-10,51326,36090,27669,180,13654,1545,5.584,89.835,10.165000000000006,CE
2020-05-11,54469,37652,28035,180,14238,1626,5.8,89.75,10.25,CE
2020-05-12,57465,38870,28352,180,14691,1704,6.01,89.607,10.393,CE
2020-05-13,60496,39860,28610,180,15054,1756,6.138,89.554,10.445999999999998,CE
2020-05-14,63565,40726,28851,180,15449,1793,6.215,89.601,10.399000000000001,CE
2020-05-15,66423,41566,29139,180,15761,1819,6.242,89.653,10.346999999999994,CE
2020-05-16,67534,42119,29228,180,15925,1839,6.292,89.648,10.352000000000004,CE
2020-05-17,68615,42531,29519,180,16049,1872,6.342,89.554,10.445999999999998,CE
2020-05-18,71216,42886,29569,180,16195,1883,6.368,89.584,10.415999999999997,CE
2020-05-19,72814,43116,29602,180,16287,1887,6.375,89.617,10.382999999999996,CE
2020-05-20,73228,43302,29604,180,16297,1887,6.374,89.623,10.376999999999995,CE
