Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,2569,119,2,0,16,10,2,0,33,0.0,CE
2020-02-16,2569,119,2,0,16,12,2,0,34,0.0,CE
2020-02-17,2569,119,2,0,17,14,2,0,37,0.0,CE
2020-02-18,2569,119,2,0,17,15,2,0,38,0.0,CE
2020-02-19,2569,119,2,0,19,15,2,0,40,0.0,CE
2020-02-20,2570,119,2,0,22,16,3,0,45,0.0,CE
2020-02-21,2570,119,2,0,24,17,3,0,49,0.0,CE
2020-02-22,2570,119,3,0,24,20,3,0,54,0.0,CE
2020-02-23,2570,119,3,0,27,21,4,0,61,0.0,CE
2020-02-24,2574,119,3,0,28,21,4,0,64,0.0,CE
2020-02-25,2574,120,4,0,29,21,4,0,73,0.0,CE
2020-02-26,2574,120,4,0,32,21,4,0,75,0.0,CE
2020-02-27,2574,123,4,0,33,21,4,0,80,0.0,CE
2020-02-28,2574,128,4,0,38,21,4,0,88,0.0,CE
2020-02-29,2574,132,6,0,40,21,4,0,93,0.0,CE
2020-03-01,2576,134,7,0,61,24,4,0,101,0.0,CE
2020-03-02,2592,135,9,0,72,27,5,0,109,0.0,CE
2020-03-03,2593,139,9,0,79,29,6,0,115,0.0,CE
2020-03-04,2599,144,10,0,89,31,6,0,137,0.0,CE
2020-03-05,2603,146,13,1,101,34,6,0,155,0.0,CE
2020-03-06,2613,152,15,1,116,36,7,0,163,0.0,CE
2020-03-07,2622,154,16,1,133,40,8,0,175,0.0,CE
2020-03-08,2624,154,19,3,142,44,10,0,193,0.0,CE
2020-03-09,2633,160,21,4,164,47,10,0,209,0.0,CE
2020-03-10,2639,168,26,4,196,51,11,0,243,0.0,CE
2020-03-11,2662,177,30,4,229,55,11,0,266,0.0,CE
2020-03-12,2700,192,34,8,281,72,11,0,294,0.0,CE
2020-03-13,2732,218,36,9,342,95,15,0,336,0.0,CE
2020-03-14,2786,235,40,11,438,128,17,0,385,0.0,CE
2020-03-15,2821,246,48,13,556,158,18,0,446,0.0,CE
2020-03-16,2962,324,61,13,780,215,22,0,538,0.0,CE
2020-03-17,3165,379,76,17,1033,281,23,0,648,0.0,CE
2020-03-18,3563,545,100,25,1511,399,26,0,777,0.0,CE
2020-03-19,3940,658,129,28,1914,492,28,0,904,0.0,CE
2020-03-20,4481,882,187,32,2472,680,36,0,1145,0.0,CE
2020-03-21,4972,1140,244,39,2971,847,39,0,1361,0.0,CE
2020-03-22,5443,1402,306,43,3450,991,45,0,1550,0.0,CE
2020-03-23,6014,1880,357,50,4092,1180,51,0,1833,0.0,CE
2020-03-24,6592,2284,397,52,4696,1401,57,3,2060,0.214,CE
2020-03-25,7084,2515,435,59,5211,1589,62,5,2288,0.315,CE
2020-03-26,7584,2830,474,62,5635,1761,68,8,2513,0.454,CE
2020-03-27,7964,3163,507,67,5916,1903,72,11,2782,0.578,CE
