Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,5167,81,4,0,16,9,2,0,32,0.0,CE
2020-02-16,5167,81,4,0,16,11,2,0,33,0.0,CE
2020-02-17,5167,81,4,0,17,12,2,0,37,0.0,CE
2020-02-18,5167,81,4,0,17,13,2,0,38,0.0,CE
2020-02-19,5167,81,4,0,19,13,2,0,40,0.0,CE
2020-02-20,5167,81,4,0,22,14,3,0,45,0.0,CE
2020-02-21,5167,81,4,0,25,15,3,0,48,0.0,CE
2020-02-22,5167,81,6,0,25,17,3,0,51,0.0,CE
2020-02-23,5167,81,6,0,28,18,4,0,58,0.0,CE
2020-02-24,5167,81,6,0,29,18,4,0,61,0.0,CE
2020-02-25,5167,82,8,0,29,18,4,0,70,0.0,CE
2020-02-26,5167,82,8,0,32,18,4,0,72,0.0,CE
2020-02-27,5167,85,8,0,33,18,4,0,76,0.0,CE
2020-02-28,5167,90,8,0,37,18,4,0,84,0.0,CE
2020-02-29,5167,94,10,0,39,18,4,0,89,0.0,CE
2020-03-01,5169,96,10,0,57,20,4,0,97,0.0,CE
2020-03-02,5184,97,12,0,67,23,5,0,105,0.0,CE
2020-03-03,5185,101,12,0,74,25,6,0,110,0.0,CE
2020-03-04,5191,106,13,0,83,27,6,0,133,0.0,CE
2020-03-05,5195,108,16,1,94,30,6,0,152,0.0,CE
2020-03-06,5205,114,18,1,109,32,7,0,158,0.0,CE
2020-03-07,5214,116,19,1,126,36,8,0,170,0.0,CE
2020-03-08,5215,116,22,3,135,40,11,0,188,0.0,CE
2020-03-09,5224,122,23,4,155,42,11,0,207,0.0,CE
2020-03-10,5230,130,27,4,185,45,11,0,243,0.0,CE
2020-03-11,5253,139,31,4,217,49,11,0,267,0.0,CE
2020-03-12,5291,153,35,7,268,64,11,0,298,0.0,CE
2020-03-13,5322,178,36,8,333,83,15,0,340,0.0,CE
2020-03-14,5376,195,39,10,428,116,17,0,389,0.0,CE
2020-03-15,5411,206,45,12,544,146,18,0,450,0.0,CE
2020-03-16,5551,284,58,12,764,199,21,0,542,0.0,CE
2020-03-17,5754,340,74,16,1014,264,22,0,653,0.0,CE
2020-03-18,6149,507,99,24,1489,381,25,0,782,0.0,CE
2020-03-19,6527,620,129,26,1888,474,27,0,906,0.0,CE
2020-03-20,7071,846,185,30,2440,663,36,0,1150,0.0,CE
2020-03-21,7561,1108,245,38,2933,831,39,0,1372,0.0,CE
2020-03-22,8037,1372,309,42,3412,971,44,0,1567,0.0,CE
2020-03-23,8607,1857,367,50,4052,1159,49,0,1852,0.0,CE
2020-03-24,9185,2258,413,53,4657,1382,54,2,2076,0.145,CE
2020-03-25,9677,2490,457,60,5166,1564,60,4,2306,0.256,CE
2020-03-26,10177,2805,495,63,5587,1732,66,7,2534,0.404,CE
2020-03-27,10554,3145,529,69,5866,1873,70,10,2806,0.534,CE
2020-03-28,10806,3331,573,74,6079,1978,71,12,3030,0.607,CE
2020-03-29,11067,3487,605,76,6276,2070,73,16,3266,0.773,CE
2020-03-30,11459,3856,637,81,6574,2207,77,20,3564,0.906,CE
2020-03-31,11831,4221,667,86,6765,2321,79,23,3790,0.991,CE
2020-04-01,12136,4585,716,94,7072,2516,84,25,4152,0.994,CE
2020-04-02,12398,5048,751,102,7269,2654,91,34,4414,1.281,CE
2020-04-03,12713,5482,787,109,7467,2777,92,43,4696,1.548,CE
2020-04-04,12957,5655,812,122,7637,2927,98,50,4941,1.708,CE
2020-04-05,13145,5819,854,129,7811,3079,103,58,5221,1.884,CE
2020-04-06,13547,6219,899,136,8060,3256,105,69,5614,2.119,CE
2020-04-07,13935,6645,946,142,8286,3459,108,76,5966,2.197,CE
2020-04-08,14395,7133,998,149,8521,3695,113,83,6285,2.246,CE
2020-04-09,14795,7474,1064,158,8853,3936,113,95,6613,2.414,CE
2020-04-10,15127,7683,1158,166,9141,4247,117,107,7118,2.519,CE
2020-04-11,15509,7928,1236,174,9355,4545,120,119,7526,2.618,CE
2020-04-12,15750,8153,1328,178,9570,4841,123,133,7977,2.747,CE
2020-04-13,16191,8633,1436,187,9851,5203,127,140,8532,2.691,CE
2020-04-14,16621,9236,1549,191,10121,5516,130,159,9056,2.883,CE
2020-04-15,17150,9859,1678,195,10406,5819,132,176,9554,3.025,CE
2020-04-16,17759,10507,1824,197,10677,6072,133,191,10051,3.146,CE
2020-04-17,18365,11127,1994,201,10950,6325,136,213,10578,3.368,CE
2020-04-18,18862,11446,2209,205,11112,6513,138,226,11040,3.47,CE
2020-04-19,19169,11750,2426,208,11235,6679,138,249,11528,3.728,CE
2020-04-20,19803,12619,2755,211,11445,6892,139,275,12243,3.99,CE
2020-04-21,20152,13016,2997,211,11544,7010,141,298,12721,4.251,CE
2020-04-22,20768,13439,3284,213,11631,7147,141,318,13200,4.449,CE
2020-04-23,21335,14391,3555,213,11749,7224,141,338,13707,4.679,CE
2020-04-24,21955,15848,3817,213,11819,7294,141,370,14216,5.073,CE
2020-04-25,22570,16702,4057,213,11853,7334,141,396,14576,5.4,CE
2020-04-26,23080,17441,4201,213,11867,7371,141,426,14872,5.779,CE
2020-04-27,23854,19292,4416,213,11920,7385,141,438,15030,5.931,CE
2020-04-28,24687,21074,4671,213,11946,7409,141,450,15072,6.074,CE
2020-04-29,25017,21598,4920,213,11946,7409,141,450,15072,6.074,CE
