Data,Exames realizados,Suspeitos,Positivo,Municios Afetados,Recuperados,Óbitos,Taxa de letalidade (%),Taxa de recuperacao final (%),Taxa de óbito final (%),Estado
2020-01-01,1233,41,127,3,0,0,0.0,0.0,0.0,CE
2020-01-02,1233,41,127,3,0,0,0.0,0.0,0.0,CE
2020-01-03,1233,41,127,3,0,0,0.0,0.0,0.0,CE
2020-01-04,1233,41,127,3,0,0,0.0,0.0,0.0,CE
2020-01-05,1233,41,128,3,0,0,0.0,0.0,0.0,CE
2020-01-06,1233,42,128,3,0,0,0.0,0.0,0.0,CE
2020-01-07,1235,42,128,3,0,0,0.0,0.0,0.0,CE
2020-01-08,1235,42,128,3,0,0,0.0,0.0,0.0,CE
2020-01-09,1235,42,129,3,0,0,0.0,0.0,0.0,CE
2020-01-10,1235,42,129,3,0,0,0.0,0.0,0.0,CE
2020-01-11,1235,42,129,3,0,0,0.0,0.0,0.0,CE
2020-01-12,1235,42,129,3,0,0,0.0,0.0,0.0,CE
2020-01-13,1235,43,129,3,0,0,0.0,0.0,0.0,CE
2020-01-14,1235,44,129,3,0,0,0.0,0.0,0.0,CE
2020-01-15,1235,46,129,3,0,0,0.0,0.0,0.0,CE
2020-01-16,1235,46,129,3,0,0,0.0,0.0,0.0,CE
2020-01-17,1235,46,129,3,0,0,0.0,0.0,0.0,CE
2020-01-18,1235,47,129,3,0,0,0.0,0.0,0.0,CE
2020-01-19,1235,48,129,3,0,0,0.0,0.0,0.0,CE
2020-01-20,1236,50,130,3,1,0,0.0,100.0,0.0,CE
2020-01-21,1236,50,130,3,1,0,0.0,100.0,0.0,CE
2020-01-22,1236,50,131,4,1,0,0.0,100.0,0.0,CE
2020-01-23,1236,51,131,4,1,0,0.0,100.0,0.0,CE
2020-01-24,1236,51,131,4,1,0,0.0,100.0,0.0,CE
2020-01-25,1236,52,131,4,1,0,0.0,100.0,0.0,CE
2020-01-26,1236,52,132,5,1,0,0.0,100.0,0.0,CE
2020-01-27,1236,52,132,5,1,0,0.0,100.0,0.0,CE
2020-01-28,1236,52,132,5,1,0,0.0,100.0,0.0,CE
2020-01-29,1236,52,132,5,1,0,0.0,100.0,0.0,CE
2020-01-30,1239,53,132,5,1,0,0.0,100.0,0.0,CE
2020-01-31,1239,54,132,5,1,0,0.0,100.0,0.0,CE
2020-02-01,1239,58,133,5,1,0,0.0,100.0,0.0,CE
2020-02-02,1239,62,134,5,1,0,0.0,100.0,0.0,CE
2020-02-03,1239,62,136,5,1,0,0.0,100.0,0.0,CE
2020-02-04,1241,64,136,5,2,0,0.0,100.0,0.0,CE
2020-02-05,1242,69,138,5,2,0,0.0,100.0,0.0,CE
2020-02-06,1242,71,139,6,2,0,0.0,100.0,0.0,CE
2020-02-07,1242,71,141,6,2,0,0.0,100.0,0.0,CE
2020-02-08,1243,72,141,6,3,0,0.0,100.0,0.0,CE
