Data,Exames realizados,Suspeitos,Positivo,Municios Afetados,Recuperados,Óbitos,Taxa de letalidade (%),Taxa de recuperacao final (%),Taxa de óbito final (%),Estado
2020-01-01,1235,68,134,4,0,0,0.0,0.0,0.0,CE
2020-01-02,1235,68,134,4,0,0,0.0,0.0,0.0,CE
2020-01-03,1235,68,134,4,0,0,0.0,0.0,0.0,CE
2020-01-04,1235,68,134,4,0,0,0.0,0.0,0.0,CE
2020-01-05,1235,68,135,4,0,0,0.0,0.0,0.0,CE
2020-01-06,1235,69,135,4,0,0,0.0,0.0,0.0,CE
2020-01-07,1237,69,135,4,0,0,0.0,0.0,0.0,CE
2020-01-08,1237,69,135,4,0,0,0.0,0.0,0.0,CE
2020-01-09,1237,69,136,4,0,0,0.0,0.0,0.0,CE
2020-01-10,1237,69,136,4,0,0,0.0,0.0,0.0,CE
2020-01-11,1237,69,136,4,0,0,0.0,0.0,0.0,CE
2020-01-12,1237,69,136,4,0,0,0.0,0.0,0.0,CE
2020-01-13,1237,69,136,4,0,0,0.0,0.0,0.0,CE
2020-01-14,1237,69,136,4,0,0,0.0,0.0,0.0,CE
2020-01-15,1237,71,136,4,0,0,0.0,0.0,0.0,CE
2020-01-16,1237,71,136,4,0,0,0.0,0.0,0.0,CE
2020-01-17,1237,71,136,4,0,0,0.0,0.0,0.0,CE
2020-01-18,1237,72,136,4,0,0,0.0,0.0,0.0,CE
2020-01-19,1237,73,136,4,0,0,0.0,0.0,0.0,CE
2020-01-20,1238,76,137,4,1,0,0.0,100.0,0.0,CE
2020-01-21,1238,76,137,4,1,0,0.0,100.0,0.0,CE
2020-01-22,1238,76,138,5,1,0,0.0,100.0,0.0,CE
2020-01-23,1238,77,138,5,1,0,0.0,100.0,0.0,CE
2020-01-24,1238,77,138,5,1,0,0.0,100.0,0.0,CE
2020-01-25,1238,77,138,5,1,0,0.0,100.0,0.0,CE
2020-01-26,1238,77,139,6,1,0,0.0,100.0,0.0,CE
2020-01-27,1238,77,139,6,1,0,0.0,100.0,0.0,CE
2020-01-28,1238,77,139,6,1,0,0.0,100.0,0.0,CE
2020-01-29,1238,77,139,6,1,0,0.0,100.0,0.0,CE
2020-01-30,1241,78,139,6,1,0,0.0,100.0,0.0,CE
2020-01-31,1241,79,139,6,1,0,0.0,100.0,0.0,CE
2020-02-01,1241,82,139,6,1,0,0.0,100.0,0.0,CE
2020-02-02,1241,86,139,6,1,0,0.0,100.0,0.0,CE
2020-02-03,1241,87,140,6,1,0,0.0,100.0,0.0,CE
2020-02-04,1243,89,140,6,2,0,0.0,100.0,0.0,CE
2020-02-05,1244,91,140,6,2,0,0.0,100.0,0.0,CE
2020-02-06,1244,93,140,6,2,0,0.0,100.0,0.0,CE
2020-02-07,1244,93,142,6,2,0,0.0,100.0,0.0,CE
2020-02-08,1245,93,143,6,3,0,0.0,100.0,0.0,CE
2020-02-09,1245,94,144,6,3,0,0.0,100.0,0.0,CE
2020-02-10,1245,94,144,6,3,0,0.0,100.0,0.0,CE
2020-02-11,1245,97,145,6,3,0,0.0,100.0,0.0,CE
2020-02-12,1245,100,146,6,3,0,0.0,100.0,0.0,CE
2020-02-13,1246,100,146,6,4,0,0.0,100.0,0.0,CE
2020-02-14,1246,103,148,6,4,0,0.0,100.0,0.0,CE
2020-02-15,1246,105,148,6,4,0,0.0,100.0,0.0,CE
2020-02-16,1246,105,149,6,4,0,0.0,100.0,0.0,CE
2020-02-17,1246,108,150,6,4,0,0.0,100.0,0.0,CE
2020-02-18,1246,109,151,6,4,0,0.0,100.0,0.0,CE
2020-02-19,1246,111,151,6,4,0,0.0,100.0,0.0,CE
2020-02-20,1247,117,152,7,4,0,0.0,100.0,0.0,CE
2020-02-21,1247,121,153,7,4,0,0.0,100.0,0.0,CE
2020-02-22,1247,124,158,9,4,0,0.0,100.0,0.0,CE
2020-02-23,1247,131,160,10,4,0,0.0,100.0,0.0,CE
2020-02-24,1251,136,161,10,4,0,0.0,100.0,0.0,CE
2020-02-25,1251,145,163,11,4,0,0.0,100.0,0.0,CE
2020-02-26,1251,149,163,11,4,0,0.0,100.0,0.0,CE
2020-02-27,1251,157,164,11,4,0,0.0,100.0,0.0,CE
2020-02-28,1251,168,165,11,4,0,0.0,100.0,0.0,CE
2020-02-29,1251,175,166,11,4,0,0.0,100.0,0.0,CE
2020-03-01,1253,190,170,11,4,0,0.0,100.0,0.0,CE
2020-03-02,1260,203,175,11,6,0,0.0,100.0,0.0,CE
2020-03-03,1260,218,177,11,6,0,0.0,100.0,0.0,CE
2020-03-04,1262,242,179,11,6,0,0.0,100.0,0.0,CE
2020-03-05,1262,263,183,11,6,0,0.0,100.0,0.0,CE
2020-03-06,1262,280,185,12,6,0,0.0,100.0,0.0,CE
2020-03-07,1267,297,187,12,6,0,0.0,100.0,0.0,CE
2020-03-08,1270,318,191,14,6,0,0.0,100.0,0.0,CE
2020-03-09,1277,337,198,15,6,0,0.0,100.0,0.0,CE
