Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-01-06,3019,115,0,0,3,2,2,0,1,0.0,CE
2020-01-07,3021,115,0,0,3,2,2,0,1,0.0,CE
2020-01-08,3021,115,0,0,3,2,2,0,1,0.0,CE
2020-01-09,3021,115,0,0,3,3,2,0,1,0.0,CE
2020-01-10,3021,115,0,0,4,3,2,0,1,0.0,CE
2020-01-11,3021,115,0,0,4,3,2,0,1,0.0,CE
2020-01-12,3021,115,0,0,4,3,2,0,1,0.0,CE
2020-01-13,3021,115,0,0,4,3,2,0,1,0.0,CE
2020-01-14,3021,115,0,0,5,3,2,0,1,0.0,CE
2020-01-15,3021,115,0,0,5,3,2,0,3,0.0,CE
2020-01-16,3021,115,0,0,5,3,2,0,3,0.0,CE
2020-01-17,3021,115,0,0,5,3,2,0,3,0.0,CE
2020-01-18,3021,115,0,0,5,3,2,0,4,0.0,CE
2020-01-19,3021,115,0,0,6,3,2,0,5,0.0,CE
2020-01-20,3022,115,0,0,7,4,2,0,8,0.0,CE
2020-01-21,3022,115,0,0,8,4,2,0,8,0.0,CE
2020-01-22,3022,115,0,0,8,5,3,0,8,0.0,CE
2020-01-23,3022,115,0,0,8,6,3,0,11,0.0,CE
2020-01-24,3022,115,0,0,8,6,3,0,11,0.0,CE
2020-01-25,3022,115,0,0,8,6,3,0,11,0.0,CE
2020-01-26,3022,115,0,0,9,7,4,0,11,0.0,CE
2020-01-27,3022,115,0,0,10,7,4,0,11,0.0,CE
2020-01-28,3022,115,0,0,10,7,4,0,11,0.0,CE
2020-01-29,3022,115,0,0,10,7,4,0,11,0.0,CE
2020-01-30,3025,115,0,0,13,7,4,0,12,0.0,CE
2020-01-31,3025,115,0,0,13,7,4,0,13,0.0,CE
2020-02-01,3025,115,1,0,13,7,4,0,15,0.0,CE
2020-02-02,3025,115,1,0,15,7,4,0,19,0.0,CE
2020-02-03,3025,115,1,0,16,8,4,0,20,0.0,CE
2020-02-04,3027,115,1,0,18,8,4,0,22,0.0,CE
2020-02-05,3028,115,1,0,22,8,4,0,22,0.0,CE
2020-02-06,3028,115,1,0,22,8,4,0,23,0.0,CE
2020-02-07,3028,116,1,0,22,10,4,0,23,0.0,CE
2020-02-08,3028,116,1,0,23,10,4,0,23,0.0,CE
2020-02-09,3028,116,1,0,24,11,4,0,25,0.0,CE
2020-02-10,3028,116,1,0,24,11,4,0,25,0.0,CE
2020-02-11,3028,116,1,0,24,12,4,0,28,0.0,CE
2020-02-12,3028,116,1,0,24,13,4,0,31,0.0,CE
2020-02-13,3029,116,1,0,24,13,4,0,31,0.0,CE
2020-02-14,3030,116,2,0,24,15,4,0,33,0.0,CE
2020-02-15,3030,116,3,0,27,15,4,0,35,0.0,CE
2020-02-16,3030,116,3,0,28,16,4,0,36,0.0,CE
2020-02-17,3030,116,3,0,31,18,4,0,39,0.0,CE
2020-02-18,3030,116,3,0,31,19,4,0,40,0.0,CE
2020-02-19,3030,116,3,0,33,19,4,0,42,0.0,CE
2020-02-20,3031,116,3,0,34,20,5,0,48,0.0,CE
2020-02-21,3031,116,3,0,37,21,5,0,53,0.0,CE
2020-02-22,3032,116,3,0,40,26,7,0,56,0.0,CE
2020-02-23,3032,116,3,0,43,27,8,0,63,0.0,CE
2020-02-24,3036,116,3,0,44,28,9,0,68,0.0,CE
2020-02-25,3036,117,4,0,49,30,10,0,76,0.0,CE
2020-02-26,3036,117,4,0,52,30,10,0,79,0.0,CE
2020-02-27,3036,120,5,0,53,30,10,0,83,0.0,CE
2020-02-28,3036,126,5,0,63,30,10,0,89,0.0,CE
2020-02-29,3036,130,7,0,65,30,10,0,93,0.0,CE
2020-03-01,3036,135,8,0,87,34,10,0,103,0.0,CE
2020-03-02,3045,140,9,0,96,38,10,0,112,0.0,CE
2020-03-03,3045,147,10,0,107,40,10,0,119,0.0,CE
2020-03-04,3047,154,11,0,113,42,10,0,142,0.0,CE
2020-03-05,3047,156,12,1,124,46,10,0,161,0.0,CE
2020-03-06,3047,165,14,1,132,48,11,0,171,0.0,CE
2020-03-07,3052,170,16,1,148,50,11,0,182,0.0,CE
2020-03-08,3054,171,19,3,157,54,12,0,200,0.0,CE
2020-03-09,3060,176,20,4,179,60,13,0,216,0.0,CE
2020-03-10,3060,189,25,4,208,67,14,0,248,0.0,CE
2020-03-11,3076,201,28,5,239,72,15,0,270,0.0,CE
2020-03-12,3087,219,28,9,277,90,15,0,294,0.0,CE
2020-03-13,3103,253,28,10,337,116,18,0,329,0.0,CE
2020-03-14,3124,270,30,12,433,150,20,0,374,0.0,CE
2020-03-15,3150,279,40,14,557,189,22,0,430,0.0,CE
2020-03-16,3285,340,53,14,789,254,25,0,515,0.0,CE
2020-03-17,3457,375,66,20,1039,330,27,0,614,0.0,CE
2020-03-18,3760,501,84,28,1521,459,32,0,740,0.0,CE
2020-03-19,4108,597,105,30,1937,560,35,0,874,0.0,CE
2020-03-20,4628,793,150,34,2531,770,41,0,1120,0.0,CE
2020-03-21,5090,1032,202,42,3039,943,42,0,1326,0.0,CE
2020-03-22,5504,1263,256,46,3505,1098,48,0,1511,0.0,CE
2020-03-23,6112,1712,294,52,4163,1289,52,0,1781,0.0,CE
2020-03-24,6726,2075,320,54,4767,1519,59,5,1998,0.329,CE
2020-03-25,7227,2302,347,61,5291,1724,65,7,2211,0.406,CE
2020-03-26,7752,2600,374,64,5724,1912,73,10,2415,0.523,CE
2020-03-27,8156,2909,405,70,6022,2061,77,13,2668,0.631,CE
2020-03-28,8379,3066,438,74,6255,2180,79,15,2873,0.688,CE
2020-03-29,8605,3199,465,77,6442,2294,81,19,3091,0.828,CE
2020-03-30,8973,3497,490,83,6750,2446,84,23,3381,0.94,CE
2020-03-31,9360,3815,508,92,6939,2570,86,26,3594,1.012,CE
2020-04-01,9657,4142,556,101,7283,2790,91,28,3955,1.004,CE
2020-04-02,9986,4583,580,108,7490,2939,99,37,4233,1.259,CE
2020-04-03,10300,4993,624,115,7684,3075,100,46,4511,1.496,CE
2020-04-04,10545,5143,649,127,7883,3236,104,53,4729,1.638,CE
2020-04-05,10720,5290,685,137,8098,3425,108,61,4991,1.781,CE
2020-04-06,11147,5671,718,145,8387,3634,110,73,5339,2.009,CE
2020-04-07,11579,6053,754,151,8637,3855,112,80,5663,2.075,CE
2020-04-08,12070,6490,788,159,8868,4113,118,88,5972,2.14,CE
2020-04-09,12630,6794,832,172,9195,4397,119,100,6281,2.274,CE
2020-04-10,13027,6980,896,184,9549,4810,126,112,6768,2.328,CE
2020-04-11,13496,7193,947,191,9794,5163,130,125,7151,2.421,CE
2020-04-12,13716,7394,999,197,10060,5531,133,139,7591,2.513,CE
2020-04-13,14248,7810,1055,211,10407,5977,135,146,8102,2.443,CE
2020-04-14,14855,8330,1102,216,10785,6451,141,166,8597,2.573,CE
2020-04-15,15514,8872,1180,222,11250,6952,144,184,9125,2.647,CE
2020-04-16,16348,9434,1245,231,11614,7396,146,200,9624,2.704,CE
2020-04-17,17277,9977,1307,238,12008,7916,149,223,10114,2.817,CE
2020-04-18,17845,10254,1367,249,12340,8411,152,240,10573,2.853,CE
2020-04-19,18170,10511,1439,254,12622,8976,155,263,11070,2.93,CE
2020-04-20,19141,11207,1597,264,13329,9802,159,295,11987,3.01,CE
2020-04-21,19618,11502,1706,266,13695,10367,161,320,12547,3.087,CE
2020-04-22,20634,11931,1839,273,14115,10947,162,343,13190,3.133,CE
2020-04-23,21747,12565,1990,274,14507,11518,163,365,13906,3.169,CE
2020-04-24,22959,13455,2209,276,14912,12160,163,409,14677,3.363,CE
2020-04-25,23683,13860,2460,280,15329,12766,163,447,15486,3.501,CE
2020-04-26,24270,14191,2687,281,15740,13233,165,498,16274,3.763,CE
2020-04-27,25679,15275,2996,281,16153,13687,166,537,17215,3.923,CE
2020-04-28,27155,16407,3346,283,16547,14054,167,576,18022,4.098,CE
2020-04-29,28764,17650,3614,285,16836,14318,168,633,18733,4.421,CE
2020-04-30,30450,19144,4023,286,17108,14579,168,697,19603,4.781,CE
2020-05-01,31444,19872,4457,286,17268,14740,168,750,20516,5.088,CE
2020-05-02,32332,20670,4756,286,17391,14868,168,805,21126,5.414,CE
2020-05-03,33216,21442,4979,287,17462,14955,168,858,21699,5.737,CE
2020-05-04,35126,23503,5231,287,17584,15053,168,907,22238,6.025,CE
2020-05-05,37250,25537,5511,287,17706,15139,168,958,22575,6.328,CE
2020-05-06,38993,27708,5751,287,17776,15192,168,986,22773,6.49,CE
2020-05-07,40336,29832,6004,287,17848,15224,168,1008,22810,6.621,CE
2020-05-08,41385,30550,6481,287,17866,15243,168,1017,22814,6.672,CE
2020-05-09,41476,30565,6496,287,17866,15243,168,1017,22814,6.672,CE
