Data,Exames realizados,Suspeitos,Positivo,Municios Afetados,Recuperados,Óbitos,Taxa de letalidade (%),Taxa de recuperacao final (%),Taxa de óbito final (%),Estado
2020-01-01,545,53,133,4,0,0,0.0,0.0,0.0,CE
2020-01-02,545,53,133,4,0,0,0.0,0.0,0.0,CE
2020-01-03,545,53,133,4,0,0,0.0,0.0,0.0,CE
2020-01-04,545,53,133,4,0,0,0.0,0.0,0.0,CE
2020-01-05,545,53,134,4,0,0,0.0,0.0,0.0,CE
2020-01-06,545,54,134,4,0,0,0.0,0.0,0.0,CE
2020-01-07,547,54,134,4,0,0,0.0,0.0,0.0,CE
2020-01-08,547,54,134,4,0,0,0.0,0.0,0.0,CE
2020-01-09,547,54,135,4,0,0,0.0,0.0,0.0,CE
2020-01-10,547,54,135,4,0,0,0.0,0.0,0.0,CE
2020-01-11,547,54,135,4,0,0,0.0,0.0,0.0,CE
2020-01-12,547,54,135,4,0,0,0.0,0.0,0.0,CE
2020-01-13,547,54,135,4,0,0,0.0,0.0,0.0,CE
2020-01-14,547,54,135,4,0,0,0.0,0.0,0.0,CE
2020-01-15,547,56,135,4,0,0,0.0,0.0,0.0,CE
2020-01-16,547,56,135,4,0,0,0.0,0.0,0.0,CE
2020-01-17,547,56,135,4,0,0,0.0,0.0,0.0,CE
2020-01-18,547,57,135,4,0,0,0.0,0.0,0.0,CE
2020-01-19,547,58,135,4,0,0,0.0,0.0,0.0,CE
2020-01-20,548,61,136,4,1,0,0.0,100.0,0.0,CE
2020-01-21,548,61,136,4,1,0,0.0,100.0,0.0,CE
2020-01-22,548,61,137,5,1,0,0.0,100.0,0.0,CE
2020-01-23,548,62,138,5,1,0,0.0,100.0,0.0,CE
2020-01-24,548,62,138,5,1,0,0.0,100.0,0.0,CE
2020-01-25,548,62,138,5,1,0,0.0,100.0,0.0,CE
2020-01-26,548,62,139,6,1,0,0.0,100.0,0.0,CE
2020-01-27,548,62,139,6,1,0,0.0,100.0,0.0,CE
2020-01-28,548,62,139,6,1,0,0.0,100.0,0.0,CE
2020-01-29,548,62,139,6,1,0,0.0,100.0,0.0,CE
2020-01-30,551,63,139,6,1,0,0.0,100.0,0.0,CE
2020-01-31,551,64,139,6,1,0,0.0,100.0,0.0,CE
2020-02-01,551,67,139,6,1,0,0.0,100.0,0.0,CE
2020-02-02,551,71,139,6,1,0,0.0,100.0,0.0,CE
2020-02-03,551,72,140,6,1,0,0.0,100.0,0.0,CE
2020-02-04,553,74,140,6,2,0,0.0,100.0,0.0,CE
2020-02-05,554,74,140,6,2,0,0.0,100.0,0.0,CE
2020-02-06,554,75,140,6,2,0,0.0,100.0,0.0,CE
2020-02-07,554,75,142,6,2,0,0.0,100.0,0.0,CE
2020-02-08,554,75,142,6,2,0,0.0,100.0,0.0,CE
2020-02-09,554,76,143,6,2,0,0.0,100.0,0.0,CE
2020-02-10,554,76,143,6,2,0,0.0,100.0,0.0,CE
2020-02-11,554,79,144,6,2,0,0.0,100.0,0.0,CE
2020-02-12,554,81,145,6,2,0,0.0,100.0,0.0,CE
2020-02-13,555,81,145,6,3,0,0.0,100.0,0.0,CE
