Data,Exames realizados,Suspeitos,Positivo,Municios Afetados,Recuperados,Óbitos,Taxa de letalidade (%),Taxa de recuperacao final (%),Taxa de óbito final (%),Estado
2020-01-01,1215,64,133,4,0,0,0.0,0.0,0.0,CE
2020-01-02,1215,64,133,4,0,0,0.0,0.0,0.0,CE
2020-01-03,1215,64,133,4,0,0,0.0,0.0,0.0,CE
2020-01-04,1215,64,133,4,0,0,0.0,0.0,0.0,CE
2020-01-05,1215,64,134,4,0,0,0.0,0.0,0.0,CE
2020-01-06,1215,65,134,4,0,0,0.0,0.0,0.0,CE
2020-01-07,1217,65,134,4,0,0,0.0,0.0,0.0,CE
2020-01-08,1217,65,134,4,0,0,0.0,0.0,0.0,CE
2020-01-09,1217,65,135,4,0,0,0.0,0.0,0.0,CE
2020-01-10,1217,65,135,4,0,0,0.0,0.0,0.0,CE
2020-01-11,1217,65,135,4,0,0,0.0,0.0,0.0,CE
2020-01-12,1217,65,135,4,0,0,0.0,0.0,0.0,CE
2020-01-13,1217,65,135,4,0,0,0.0,0.0,0.0,CE
2020-01-14,1217,65,135,4,0,0,0.0,0.0,0.0,CE
2020-01-15,1217,67,135,4,0,0,0.0,0.0,0.0,CE
2020-01-16,1217,67,135,4,0,0,0.0,0.0,0.0,CE
2020-01-17,1217,67,135,4,0,0,0.0,0.0,0.0,CE
2020-01-18,1217,68,135,4,0,0,0.0,0.0,0.0,CE
2020-01-19,1217,69,135,4,0,0,0.0,0.0,0.0,CE
2020-01-20,1218,72,136,4,1,0,0.0,100.0,0.0,CE
2020-01-21,1218,72,136,4,1,0,0.0,100.0,0.0,CE
2020-01-22,1218,72,137,5,1,0,0.0,100.0,0.0,CE
2020-01-23,1218,73,137,5,1,0,0.0,100.0,0.0,CE
2020-01-24,1218,73,137,5,1,0,0.0,100.0,0.0,CE
2020-01-25,1218,73,137,5,1,0,0.0,100.0,0.0,CE
2020-01-26,1218,73,138,6,1,0,0.0,100.0,0.0,CE
2020-01-27,1218,73,138,6,1,0,0.0,100.0,0.0,CE
2020-01-28,1218,73,138,6,1,0,0.0,100.0,0.0,CE
2020-01-29,1218,73,138,6,1,0,0.0,100.0,0.0,CE
2020-01-30,1221,74,138,6,1,0,0.0,100.0,0.0,CE
2020-01-31,1221,75,138,6,1,0,0.0,100.0,0.0,CE
2020-02-01,1221,78,138,6,1,0,0.0,100.0,0.0,CE
2020-02-02,1221,82,138,6,1,0,0.0,100.0,0.0,CE
2020-02-03,1221,82,140,6,1,0,0.0,100.0,0.0,CE
2020-02-04,1223,84,140,6,2,0,0.0,100.0,0.0,CE
2020-02-05,1224,86,140,6,2,0,0.0,100.0,0.0,CE
2020-02-06,1224,88,140,6,2,0,0.0,100.0,0.0,CE
2020-02-07,1224,88,142,6,2,0,0.0,100.0,0.0,CE
2020-02-08,1225,88,143,6,3,0,0.0,100.0,0.0,CE
2020-02-09,1225,89,144,6,3,0,0.0,100.0,0.0,CE
2020-02-10,1225,89,144,6,3,0,0.0,100.0,0.0,CE
2020-02-11,1225,92,145,6,3,0,0.0,100.0,0.0,CE
2020-02-12,1225,95,146,6,3,0,0.0,100.0,0.0,CE
2020-02-13,1226,95,146,6,4,0,0.0,100.0,0.0,CE
2020-02-14,1226,98,148,6,4,0,0.0,100.0,0.0,CE
2020-02-15,1226,100,148,6,4,0,0.0,100.0,0.0,CE
2020-02-16,1226,100,149,6,4,0,0.0,100.0,0.0,CE
2020-02-17,1226,103,150,6,4,0,0.0,100.0,0.0,CE
2020-02-18,1226,104,151,6,4,0,0.0,100.0,0.0,CE
2020-02-19,1226,106,151,6,4,0,0.0,100.0,0.0,CE
2020-02-20,1227,112,152,7,4,0,0.0,100.0,0.0,CE
2020-02-21,1227,116,153,7,4,0,0.0,100.0,0.0,CE
2020-02-22,1227,119,158,9,4,0,0.0,100.0,0.0,CE
2020-02-23,1227,126,160,10,4,0,0.0,100.0,0.0,CE
2020-02-24,1231,130,162,10,4,0,0.0,100.0,0.0,CE
2020-02-25,1231,139,164,11,4,0,0.0,100.0,0.0,CE
2020-02-26,1231,143,164,11,4,0,0.0,100.0,0.0,CE
2020-02-27,1231,151,165,11,4,0,0.0,100.0,0.0,CE
2020-02-28,1231,162,166,11,4,0,0.0,100.0,0.0,CE
2020-02-29,1231,169,167,11,4,0,0.0,100.0,0.0,CE
2020-03-01,1233,184,171,11,4,0,0.0,100.0,0.0,CE
2020-03-02,1240,196,176,11,6,0,0.0,100.0,0.0,CE
2020-03-03,1240,211,178,11,6,0,0.0,100.0,0.0,CE
2020-03-04,1242,235,180,11,6,0,0.0,100.0,0.0,CE
2020-03-05,1242,256,184,11,6,0,0.0,100.0,0.0,CE
2020-03-06,1242,273,186,12,6,0,0.0,100.0,0.0,CE
2020-03-07,1247,290,188,12,6,0,0.0,100.0,0.0,CE
2020-03-08,1250,311,192,14,6,0,0.0,100.0,0.0,CE
2020-03-09,1257,330,199,15,6,0,0.0,100.0,0.0,CE
2020-03-10,1257,370,206,16,6,0,0.0,100.0,0.0,CE
2020-03-11,1277,397,211,17,6,0,0.0,100.0,0.0,CE
2020-03-12,1298,432,228,17,6,0,0.0,100.0,0.0,CE
2020-03-13,1327,489,252,20,7,0,0.0,100.0,0.0,CE
2020-03-14,1382,542,288,22,7,0,0.0,100.0,0.0,CE
2020-03-15,1438,606,329,24,7,0,0.0,100.0,0.0,CE
2020-03-16,1658,738,395,27,10,0,0.0,100.0,0.0,CE
2020-03-17,1861,856,470,28,11,0,0.0,100.0,0.0,CE
2020-03-18,2228,1084,604,33,14,0,0.0,100.0,0.0,CE
2020-03-19,2653,1291,705,36,18,0,0.0,100.0,0.0,CE
2020-03-20,3213,1687,914,43,20,0,0.0,100.0,0.0,CE
2020-03-21,3749,2070,1091,44,25,0,0.0,100.0,0.0,CE
2020-03-22,4229,2443,1247,49,27,0,0.0,100.0,0.0,CE
2020-03-23,4923,3016,1443,53,30,0,0.0,100.0,0.0,CE
2020-03-24,5660,3448,1673,60,40,3,0.179,93.023,6.977000000000004,CE
2020-03-25,6262,3820,1882,66,45,5,0.266,90.0,10.0,CE
2020-03-26,6853,4145,2074,74,52,8,0.386,86.667,13.332999999999998,CE
2020-03-27,7360,4383,2231,78,65,11,0.493,85.526,14.474000000000004,CE
2020-03-28,7682,4592,2353,80,73,13,0.552,84.884,15.116,CE
2020-03-29,7952,4802,2472,82,77,17,0.688,81.915,18.084999999999994,CE
2020-03-30,8491,5090,2629,85,83,21,0.799,79.808,20.191999999999993,CE
2020-03-31,8896,5302,2760,87,103,24,0.87,81.102,18.897999999999996,CE
2020-04-01,9290,5669,2995,92,127,26,0.868,83.007,16.992999999999995,CE
2020-04-02,9661,5942,3154,101,196,35,1.11,84.848,15.152000000000001,CE
2020-04-03,10005,6239,3303,103,260,44,1.332,85.526,14.474000000000004,CE
2020-04-04,10275,6466,3468,106,313,51,1.471,85.989,14.010999999999996,CE
2020-04-05,10440,6739,3659,109,383,59,1.612,86.652,13.347999999999999,CE
2020-04-06,10897,7080,3875,111,460,71,1.832,86.629,13.370999999999995,CE
2020-04-07,11383,7403,4101,113,568,78,1.902,87.926,12.073999999999998,CE
2020-04-08,11897,7700,4364,119,685,86,1.971,88.846,11.153999999999996,CE
2020-04-09,12513,8013,4654,120,790,98,2.106,88.964,11.036000000000001,CE
2020-04-10,12889,8498,5085,129,855,110,2.163,88.601,11.399000000000001,CE
2020-04-11,13324,8878,5449,133,937,123,2.257,88.396,11.604,CE
2020-04-12,13585,9323,5826,136,981,137,2.352,87.746,12.254000000000005,CE
2020-04-13,14236,9834,6288,137,1100,145,2.306,88.353,11.647000000000006,CE
2020-04-14,14986,10289,6778,142,1255,165,2.434,88.38,11.620000000000005,CE
2020-04-15,15699,10799,7315,145,1502,183,2.502,89.139,10.861000000000004,CE
2020-04-16,16497,11282,7793,147,1812,199,2.554,90.104,9.896,CE
2020-04-17,17424,11765,8350,150,2118,222,2.659,90.513,9.486999999999995,CE
2020-04-18,17982,12230,8858,152,2304,239,2.698,90.602,9.397999999999996,CE
2020-04-19,18346,12716,9457,155,2506,262,2.77,90.535,9.465000000000003,CE
2020-04-20,19402,13630,10383,159,2724,294,2.832,90.258,9.742000000000004,CE
2020-04-21,19986,14200,11014,160,2975,320,2.905,90.288,9.712000000000003,CE
2020-04-22,21045,14871,11697,162,3403,344,2.941,90.819,9.180999999999997,CE
2020-04-23,22234,15627,12394,164,3804,367,2.961,91.201,8.799000000000007,CE
2020-04-24,23536,16460,13191,164,4209,415,3.146,91.025,8.974999999999994,CE
2020-04-25,24276,17391,13974,165,4582,456,3.263,90.949,9.051000000000002,CE
2020-04-26,24875,18288,14645,168,4982,508,3.469,90.747,9.253,CE
2020-04-27,26270,19427,15310,169,5414,553,3.612,90.732,9.268,CE
2020-04-28,27833,20469,15958,171,5909,596,3.735,90.838,9.162000000000006,CE
2020-04-29,29620,21423,16434,173,6244,656,3.992,90.493,9.507000000000005,CE
2020-04-30,31594,22678,17012,173,6892,727,4.273,90.458,9.542000000000002,CE
2020-05-01,32795,24262,17477,174,7303,791,4.526,90.227,9.772999999999996,CE
2020-05-02,33971,25371,17799,174,7666,854,4.798,89.977,10.022999999999996,CE
2020-05-03,34754,26439,18003,174,7955,922,5.121,89.614,10.385999999999996,CE
2020-05-04,37008,27690,18239,174,8332,990,5.428,89.38,10.620000000000005,CE
2020-05-05,39279,28695,18439,174,8686,1053,5.711,89.188,10.811999999999998,CE
2020-05-06,41300,29459,18593,174,8963,1111,5.975,88.972,11.028000000000006,CE
2020-05-07,43129,30070,18705,174,9237,1162,6.212,88.826,11.174000000000007,CE
2020-05-08,45047,30523,18812,174,9468,1211,6.437,88.66,11.340000000000003,CE
2020-05-09,45798,30862,18876,174,9576,1263,6.691,88.348,11.652000000000001,CE
2020-05-10,46307,31086,18891,174,9689,1301,6.887,88.162,11.837999999999994,CE
