Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-01-06,2662,170,0,0,2,1,1,0,1,0.0,CE
2020-01-07,2662,170,0,0,2,1,1,0,1,0.0,CE
2020-01-08,2662,170,0,0,2,1,1,0,1,0.0,CE
2020-01-09,2662,170,0,0,2,2,1,0,1,0.0,CE
2020-01-10,2662,170,0,0,3,2,1,0,1,0.0,CE
2020-01-11,2662,170,0,0,3,2,1,0,1,0.0,CE
2020-01-12,2662,170,0,0,3,2,1,0,1,0.0,CE
2020-01-13,2662,170,0,0,3,2,1,0,1,0.0,CE
2020-01-14,2662,170,0,0,4,2,1,0,1,0.0,CE
2020-01-15,2662,170,0,0,4,2,1,0,2,0.0,CE
2020-01-16,2662,170,0,0,4,2,1,0,2,0.0,CE
2020-01-17,2662,170,0,0,4,2,1,0,2,0.0,CE
2020-01-18,2662,170,0,0,4,2,1,0,3,0.0,CE
2020-01-19,2662,170,0,0,5,2,1,0,4,0.0,CE
2020-01-20,2663,170,0,0,6,2,1,0,8,0.0,CE
2020-01-21,2663,170,0,0,6,2,1,0,8,0.0,CE
2020-01-22,2663,170,1,0,6,2,1,0,8,0.0,CE
2020-01-23,2663,170,2,0,6,2,1,0,9,0.0,CE
2020-01-24,2663,170,2,0,6,2,1,0,9,0.0,CE
2020-01-25,2663,170,2,0,6,2,1,0,9,0.0,CE
2020-01-26,2663,170,2,0,7,2,1,0,10,0.0,CE
2020-01-27,2663,170,2,0,7,2,1,0,10,0.0,CE
2020-01-28,2663,170,2,0,7,2,1,0,10,0.0,CE
2020-01-29,2663,170,2,0,7,2,1,0,10,0.0,CE
2020-01-30,2663,170,2,0,8,2,1,0,10,0.0,CE
2020-01-31,2663,170,2,0,9,2,1,0,10,0.0,CE
2020-02-01,2663,170,2,0,9,3,2,0,12,0.0,CE
2020-02-02,2663,170,2,0,11,3,2,0,15,0.0,CE
2020-02-03,2663,170,2,0,12,4,2,0,15,0.0,CE
2020-02-04,2663,170,2,0,13,4,2,0,18,0.0,CE
2020-02-05,2663,170,2,0,14,4,2,0,18,0.0,CE
2020-02-06,2663,170,2,0,14,4,2,0,18,0.0,CE
2020-02-07,2663,171,2,0,14,5,2,0,19,0.0,CE
2020-02-08,2663,171,2,0,14,5,2,0,19,0.0,CE
2020-02-09,2663,171,2,0,15,5,2,0,21,0.0,CE
2020-02-10,2663,171,2,0,15,5,2,0,21,0.0,CE
2020-02-11,2663,171,2,0,15,6,2,0,23,0.0,CE
2020-02-12,2663,171,2,0,15,7,2,0,26,0.0,CE
2020-02-13,2664,171,2,0,15,7,2,0,26,0.0,CE
2020-02-14,2664,171,3,0,15,9,2,0,29,0.0,CE
2020-02-15,2664,171,3,0,18,9,2,0,31,0.0,CE
2020-02-16,2664,171,3,0,18,11,2,0,32,0.0,CE
2020-02-17,2664,171,3,0,19,13,2,0,35,0.0,CE
2020-02-18,2664,171,3,0,19,14,2,0,36,0.0,CE
2020-02-19,2664,171,3,0,21,14,2,0,38,0.0,CE
2020-02-20,2665,171,3,0,24,15,3,0,43,0.0,CE
