Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-02-15,2452,121,3,0,16,9,2,0,33,0.0,CE
2020-02-16,2452,121,3,0,16,11,2,0,34,0.0,CE
2020-02-17,2452,121,3,0,17,13,2,0,37,0.0,CE
2020-02-18,2452,121,3,0,17,14,2,0,38,0.0,CE
2020-02-19,2452,121,3,0,19,14,2,0,40,0.0,CE
2020-02-20,2453,121,3,0,22,15,3,0,45,0.0,CE
2020-02-21,2453,121,3,0,24,16,3,0,49,0.0,CE
2020-02-22,2453,121,4,0,24,19,3,0,54,0.0,CE
2020-02-23,2453,121,4,0,27,20,4,0,61,0.0,CE
2020-02-24,2457,121,4,0,28,20,4,0,64,0.0,CE
2020-02-25,2457,122,5,0,29,20,4,0,73,0.0,CE
2020-02-26,2457,122,5,0,32,20,4,0,75,0.0,CE
2020-02-27,2457,125,5,0,33,20,4,0,80,0.0,CE
2020-02-28,2457,130,5,0,38,20,4,0,88,0.0,CE
2020-02-29,2457,134,7,0,40,20,4,0,93,0.0,CE
2020-03-01,2459,136,8,0,61,23,4,0,101,0.0,CE
2020-03-02,2475,137,10,0,72,26,5,0,109,0.0,CE
2020-03-03,2476,141,10,0,79,28,6,0,115,0.0,CE
2020-03-04,2482,146,11,0,89,30,6,0,137,0.0,CE
2020-03-05,2486,148,14,1,101,33,6,0,155,0.0,CE
2020-03-06,2496,154,16,1,116,35,7,0,163,0.0,CE
2020-03-07,2505,156,17,1,133,39,8,0,175,0.0,CE
2020-03-08,2507,156,20,3,142,43,10,0,193,0.0,CE
2020-03-09,2516,162,21,4,164,46,10,0,210,0.0,CE
2020-03-10,2522,170,26,4,195,50,11,0,245,0.0,CE
2020-03-11,2545,179,29,4,228,55,11,0,268,0.0,CE
2020-03-12,2583,194,33,8,280,72,11,0,296,0.0,CE
2020-03-13,2615,220,35,9,342,94,15,0,338,0.0,CE
2020-03-14,2669,237,39,11,439,127,17,0,387,0.0,CE
2020-03-15,2704,248,47,13,557,157,18,0,448,0.0,CE
2020-03-16,2844,326,59,13,781,214,22,0,541,0.0,CE
2020-03-17,3047,381,74,17,1034,279,23,0,652,0.0,CE
2020-03-18,3444,548,98,25,1512,396,26,0,782,0.0,CE
2020-03-19,3820,661,126,28,1917,491,28,0,908,0.0,CE
2020-03-20,4360,887,183,32,2473,678,36,0,1151,0.0,CE
2020-03-21,4850,1148,240,39,2974,846,39,0,1367,0.0,CE
2020-03-22,5322,1413,301,43,3454,991,45,0,1556,0.0,CE
2020-03-23,5892,1896,352,51,4096,1180,51,0,1837,0.0,CE
2020-03-24,6470,2299,392,54,4699,1402,58,3,2064,0.214,CE
2020-03-25,6961,2531,431,61,5211,1589,63,5,2294,0.315,CE
2020-03-26,7459,2845,467,64,5637,1763,69,8,2521,0.454,CE
2020-03-27,7837,3179,498,69,5921,1905,73,11,2790,0.577,CE
2020-03-28,8092,3363,538,73,6141,2011,74,13,3012,0.646,CE
2020-03-29,8355,3517,567,75,6337,2109,76,17,3248,0.806,CE
2020-03-30,8747,3874,600,80,6649,2248,80,21,3544,0.934,CE
2020-03-31,9118,4227,627,86,6842,2366,82,24,3777,1.014,CE
2020-04-01,9422,4587,673,96,7151,2565,87,26,4144,1.014,CE
2020-04-02,9688,5054,701,105,7351,2707,94,35,4408,1.293,CE
2020-04-03,10007,5484,740,112,7551,2831,95,44,4689,1.554,CE
2020-04-04,10255,5654,761,127,7735,2986,101,51,4923,1.708,CE
2020-04-05,10442,5814,799,136,7918,3136,105,59,5205,1.881,CE
2020-04-06,10848,6211,840,143,8172,3320,107,71,5597,2.139,CE
2020-04-07,11242,6634,884,149,8399,3525,110,78,5954,2.213,CE
2020-04-08,11703,7115,933,156,8639,3762,116,86,6282,2.286,CE
2020-04-09,12177,7441,991,165,8978,4010,116,98,6621,2.444,CE
2020-04-10,12518,7651,1061,173,9283,4346,121,110,7160,2.531,CE
2020-04-11,12978,7888,1126,182,9508,4652,123,123,7581,2.644,CE
2020-04-12,13226,8112,1190,186,9728,4964,125,137,8065,2.76,CE
2020-04-13,13746,8572,1277,195,10020,5346,128,144,8641,2.694,CE
2020-04-14,14287,9155,1355,199,10323,5674,131,164,9207,2.89,CE
2020-04-15,14930,9764,1462,203,10653,6006,134,182,9781,3.03,CE
2020-04-16,15726,10400,1573,204,10950,6293,135,198,10332,3.146,CE
2020-04-17,16621,11017,1703,208,11248,6585,139,221,10932,3.356,CE
2020-04-18,17159,11333,1854,212,11453,6809,141,237,11505,3.481,CE
2020-04-19,17482,11635,2018,215,11621,7024,144,260,12098,3.702,CE
2020-04-20,18357,12495,2321,218,11925,7323,146,290,12994,3.96,CE
2020-04-21,18715,12884,2549,218,12070,7487,148,315,13607,4.207,CE
2020-04-22,19577,13291,2820,220,12218,7654,149,337,14241,4.403,CE
2020-04-23,20393,14174,3085,220,12368,7755,149,358,14936,4.616,CE
2020-04-24,21139,15553,3370,220,12449,7856,149,397,15625,5.053,CE
2020-04-25,21680,16385,3658,220,12497,7914,149,427,16206,5.396,CE
2020-04-26,22068,17090,3892,220,12522,7968,149,472,16738,5.924,CE
2020-04-27,23135,18938,4158,220,12590,7988,149,500,17179,6.259,CE
2020-04-28,24377,20785,4370,220,12646,8017,149,526,17425,6.561,CE
2020-04-29,25524,22572,4532,220,12743,8051,149,552,17510,6.856,CE
2020-04-30,26414,24043,4844,220,12781,8076,149,579,17526,7.169,CE
2020-05-01,26752,24344,5144,220,12781,8076,149,590,17526,7.306,CE
2020-05-02,26786,24373,5174,220,12781,8076,149,590,17526,7.306,CE
