Data,Exames realizados,Suspeitos,Positivo,Municios Afetados,Recuperados,Óbitos,Taxa de letalidade (%),Taxa de recuperacao final (%),Taxa de óbito final (%),Estado
2020-01-01,1668,336,127,4,0,0,0.0,0.0,0.0,CE
2020-01-02,1668,336,127,4,0,0,0.0,0.0,0.0,CE
2020-01-03,1668,336,127,4,0,0,0.0,0.0,0.0,CE
2020-01-04,1668,336,127,4,0,0,0.0,0.0,0.0,CE
2020-01-05,1668,336,128,4,0,0,0.0,0.0,0.0,CE
2020-01-06,1668,337,128,4,0,0,0.0,0.0,0.0,CE
2020-01-07,1670,337,128,4,0,0,0.0,0.0,0.0,CE
2020-01-08,1670,337,128,4,0,0,0.0,0.0,0.0,CE
2020-01-09,1670,337,129,4,0,0,0.0,0.0,0.0,CE
2020-01-10,1670,337,129,4,0,0,0.0,0.0,0.0,CE
2020-01-11,1670,337,129,4,0,0,0.0,0.0,0.0,CE
2020-01-12,1670,337,129,4,0,0,0.0,0.0,0.0,CE
2020-01-13,1670,338,129,4,0,0,0.0,0.0,0.0,CE
2020-01-14,1670,338,129,4,0,0,0.0,0.0,0.0,CE
2020-01-15,1670,340,129,4,0,0,0.0,0.0,0.0,CE
2020-01-16,1670,340,129,4,0,0,0.0,0.0,0.0,CE
2020-01-17,1670,340,129,4,0,0,0.0,0.0,0.0,CE
2020-01-18,1670,341,129,4,0,0,0.0,0.0,0.0,CE
2020-01-19,1670,342,129,4,0,0,0.0,0.0,0.0,CE
2020-01-20,1671,344,130,4,1,0,0.0,100.0,0.0,CE
2020-01-21,1671,344,130,4,1,0,0.0,100.0,0.0,CE
2020-01-22,1671,344,131,5,1,0,0.0,100.0,0.0,CE
2020-01-23,1671,345,131,5,1,0,0.0,100.0,0.0,CE
2020-01-24,1671,345,131,5,1,0,0.0,100.0,0.0,CE
2020-01-25,1671,345,131,5,1,0,0.0,100.0,0.0,CE
2020-01-26,1671,345,132,6,1,0,0.0,100.0,0.0,CE
2020-01-27,1671,345,132,6,1,0,0.0,100.0,0.0,CE
2020-01-28,1671,345,132,6,1,0,0.0,100.0,0.0,CE
2020-01-29,1671,345,132,6,1,0,0.0,100.0,0.0,CE
2020-01-30,1674,346,132,6,1,0,0.0,100.0,0.0,CE
2020-01-31,1674,347,132,6,1,0,0.0,100.0,0.0,CE
2020-02-01,1674,352,132,6,1,0,0.0,100.0,0.0,CE
2020-02-02,1674,356,133,6,1,0,0.0,100.0,0.0,CE
2020-02-03,1674,356,135,6,1,0,0.0,100.0,0.0,CE
2020-02-04,1676,359,135,6,2,0,0.0,100.0,0.0,CE
2020-02-05,1677,362,136,6,2,0,0.0,100.0,0.0,CE
2020-02-06,1677,364,137,6,2,0,0.0,100.0,0.0,CE
2020-02-07,1677,364,139,6,2,0,0.0,100.0,0.0,CE
2020-02-08,1678,365,139,6,3,0,0.0,100.0,0.0,CE
2020-02-09,1678,366,139,6,3,0,0.0,100.0,0.0,CE
2020-02-10,1678,366,139,6,3,0,0.0,100.0,0.0,CE
2020-02-11,1678,370,140,6,3,0,0.0,100.0,0.0,CE
2020-02-12,1678,372,141,6,3,0,0.0,100.0,0.0,CE
