Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-01-06,2918,101,0,0,3,2,2,0,1,0.0,CE
2020-01-07,2918,101,0,0,3,2,2,0,1,0.0,CE
2020-01-08,2918,101,0,0,3,2,2,0,1,0.0,CE
2020-01-09,2918,101,0,0,3,3,2,0,1,0.0,CE
2020-01-10,2918,101,0,0,4,3,2,0,1,0.0,CE
2020-01-11,2918,101,0,0,4,3,2,0,1,0.0,CE
2020-01-12,2918,101,0,0,4,3,2,0,1,0.0,CE
2020-01-13,2918,101,0,0,4,3,2,0,1,0.0,CE
2020-01-14,2918,101,0,0,5,3,2,0,1,0.0,CE
2020-01-15,2918,101,0,0,5,3,2,0,3,0.0,CE
2020-01-16,0,101,0,0,5,3,2,0,3,0.0,CE
2020-01-20,768,40,0,0,1,1,1,0,0.0,CE
2020-01-21,1312,47,0,0,5,1,1,0,0.0,CE
2020-01-22,2250,64,0,0,6,2,2,0,1,0.0,CE
2020-01-23,2517,99,0,0,7,5,2,0,4,0.0,CE
2020-01-24,2571,101,0,0,8,6,3,0,7,0.0,CE
2020-01-25,2936,102,0,0,8,6,3,0,9,0.0,CE
2020-01-26,2965,111,0,0,9,7,4,0,11,0.0,CE
2020-01-27,2965,111,0,0,10,7,4,0,11,0.0,CE
2020-01-28,2965,111,0,0,10,7,4,0,11,0.0,CE
2020-01-29,2965,111,0,0,10,7,4,0,11,0.0,CE
2020-01-30,2968,111,0,0,13,7,4,0,12,0.0,CE
2020-01-31,2968,111,0,0,13,7,4,0,13,0.0,CE
2020-02-01,2968,111,1,0,13,7,4,0,15,0.0,CE
2020-02-02,2968,111,1,0,15,7,4,0,19,0.0,CE
2020-02-03,2968,111,1,0,16,8,4,0,20,0.0,CE
2020-02-04,2970,111,1,0,18,8,4,0,22,0.0,CE
2020-02-05,2971,111,1,0,22,8,4,0,22,0.0,CE
2020-02-06,2971,111,1,0,22,8,4,0,23,0.0,CE
2020-02-07,2971,112,1,0,22,10,4,0,23,0.0,CE
2020-02-08,2971,112,1,0,23,11,4,0,23,0.0,CE
2020-02-09,2971,112,1,0,24,11,4,0,25,0.0,CE
2020-02-10,2971,112,1,0,24,11,4,0,25,0.0,CE
2020-02-11,2971,112,1,0,24,12,4,0,28,0.0,CE
2020-02-12,2971,112,1,0,24,13,4,0,31,0.0,CE
2020-02-13,2972,112,1,0,24,13,4,0,31,0.0,CE
2020-02-14,2973,112,2,0,24,15,4,0,33,0.0,CE
2020-02-15,2973,112,3,0,27,15,4,0,35,0.0,CE
2020-02-16,2973,112,3,0,27,16,4,0,36,0.0,CE
2020-02-17,2973,112,3,0,30,18,4,0,39,0.0,CE
2020-02-18,2973,112,3,0,30,19,4,0,40,0.0,CE
2020-02-19,2973,112,3,0,32,19,4,0,42,0.0,CE
2020-02-20,2974,112,3,0,33,20,5,0,48,0.0,CE
2020-02-21,2974,112,3,0,36,21,5,0,53,0.0,CE
2020-02-22,2975,112,3,0,39,26,7,0,56,0.0,CE
2020-02-23,2975,112,3,0,42,27,8,0,63,0.0,CE
