Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-01-06,2684,90,0,0,2,1,1,0,1,0.0,CE
2020-01-07,2684,90,0,0,2,1,1,0,1,0.0,CE
2020-01-08,2684,90,0,0,2,1,1,0,1,0.0,CE
2020-01-09,2684,90,0,0,2,2,1,0,1,0.0,CE
2020-01-10,2684,90,0,0,3,2,1,0,1,0.0,CE
2020-01-11,2684,90,0,0,3,2,1,0,1,0.0,CE
2020-01-12,2684,90,0,0,3,2,1,0,1,0.0,CE
2020-01-13,2684,90,0,0,3,2,1,0,1,0.0,CE
2020-01-14,2684,90,0,0,4,2,1,0,1,0.0,CE
2020-01-15,2684,90,0,0,4,2,1,0,2,0.0,CE
2020-01-16,2684,90,0,0,4,2,1,0,2,0.0,CE
2020-01-17,2684,90,0,0,4,2,1,0,2,0.0,CE
2020-01-18,2684,90,0,0,4,2,1,0,3,0.0,CE
2020-01-19,2684,90,0,0,5,2,1,0,4,0.0,CE
2020-01-20,2685,90,0,0,6,3,1,0,7,0.0,CE
2020-01-21,2685,90,0,0,7,3,1,0,7,0.0,CE
2020-01-22,2685,90,1,0,7,3,1,0,7,0.0,CE
2020-01-23,2685,90,1,0,7,4,1,0,9,0.0,CE
2020-01-24,2685,90,1,0,7,4,1,0,9,0.0,CE
2020-01-25,2685,90,1,0,7,4,1,0,9,0.0,CE
2020-01-26,2685,90,1,0,8,5,2,0,9,0.0,CE
2020-01-27,2685,90,1,0,8,5,2,0,9,0.0,CE
2020-01-28,2685,90,1,0,8,5,2,0,9,0.0,CE
2020-01-29,2685,90,1,0,8,5,2,0,9,0.0,CE
2020-01-30,2685,90,1,0,9,5,2,0,9,0.0,CE
2020-01-31,2685,90,1,0,10,5,2,0,9,0.0,CE
2020-02-01,2685,90,1,0,10,5,2,0,12,0.0,CE
2020-02-02,2685,90,1,0,12,5,2,0,15,0.0,CE
